scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_5_market,match_url
2025-08-29 11:23:48 UTC,2020-03-08 11:00:00 UTC,Hobro,Esbjerg,Superliga 2019/2020,1,1,"0:0, 1:1",DS Arena,Hobro,Denmark,"[{'odds_over': '4.20', 'odds_under': '1.21', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '4.30', 'odds_under': '1.21', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '3.90', 'odds_under': '1.22', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '4.43', 'odds_under': '1.23', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '4.30(22)', 'odds_under': '1.23(13)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '4.30(22)', 'odds_under': '1.23(13)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '4.30(22)', 'odds_under': '1.23(13)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/hobro-esbjerg-Y9Oheylf/
2025-08-29 11:23:48 UTC,2019-09-15 10:00:00 UTC,Aarhus,Aalborg,Superliga 2019/2020,3,0,"2:0, 1:0",Ceres Park,Aarhus,Denmark,"[{'odds_over': '3.46', 'odds_under': '1.28', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '3.75', 'odds_under': '1.28', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '3.30', 'odds_under': '1.28', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '3.55', 'odds_under': '1.32', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '3.95(200)', 'odds_under': '1.32(642)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.95(200)', 'odds_under': '1.32(642)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.95(200)', 'odds_under': '1.32(642)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/aarhus-aalborg-U7SzTZb3/
2025-08-29 11:23:48 UTC,2019-09-29 14:00:00 UTC,Midtjylland,Odense,Superliga 2019/2020,0,1,"0:0, 0:1",MCH Arena,Herning,Denmark,"[{'odds_over': '2.70', 'odds_under': '1.43', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.88', 'odds_under': '1.42', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '2.60', 'odds_under': '1.44', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '2.92', 'odds_under': '1.43', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.96(244)', 'odds_under': '1.44(63)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.96(244)', 'odds_under': '1.44(63)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.96(244)', 'odds_under': '1.44(63)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/midtjylland-odense-dOLcYUzq/
2025-08-29 11:23:47 UTC,2020-06-21 16:00:00 UTC,Brondby,FC Copenhagen,Superliga 2019/2020,1,1,"0:0, 1:1",Brøndby Stadion,Brondby,Denmark,"[{'odds_over': '3.43', 'odds_under': '1.34', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '3.35', 'odds_under': '1.33', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '3.00', 'odds_under': '1.34', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '3.39', 'odds_under': '1.36', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '3.45(24)', 'odds_under': '1.37(189)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.45(24)', 'odds_under': '1.37(189)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.45(24)', 'odds_under': '1.37(189)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/brondby-fc-copenhagen-tbpV2FR6/
2025-08-29 11:24:22 UTC,2020-06-01 18:00:00 UTC,Aarhus,Odense,Superliga 2019/2020,1,0,"0:0, 1:0",Ceres Park,Aarhus,Denmark,"[{'odds_over': '3.67', 'odds_under': '1.30', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '3.55', 'odds_under': '1.30', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '3.25', 'odds_under': '1.30', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '3.72', 'odds_under': '1.31', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '3.75(182)', 'odds_under': '1.35(473)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.75(182)', 'odds_under': '1.35(473)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.75(182)', 'odds_under': '1.35(473)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/aarhus-odense-j59iGxQJ/
2025-08-29 11:24:22 UTC,2019-08-03 14:00:00 UTC,Sonderjyske,FC Copenhagen,Superliga 2019/2020,1,2,"0:1, 1:1",Haderslev Football Stadium,Haderslev,Denmark,"[{'odds_over': '2.45', 'odds_under': '1.51', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.70', 'odds_under': '1.48', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '2.50', 'odds_under': '1.48', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '2.69', 'odds_under': '1.50', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.76(777)', 'odds_under': '1.54(38)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.76(777)', 'odds_under': '1.54(38)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.76(777)', 'odds_under': '1.54(38)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/sonderjyske-fc-copenhagen-EPX5lmQm/
2025-08-29 11:24:22 UTC,2020-03-02 18:00:00 UTC,Midtjylland,Sonderjyske,Superliga 2019/2020,3,0,"3:0, 0:0",MCH Arena,Herning,Denmark,"[{'odds_over': '2.43', 'odds_under': '1.53', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.55', 'odds_under': '1.52', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '2.50', 'odds_under': '1.48', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '2.51', 'odds_under': '1.56', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.47', 'odds_under': '1.58', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.58(184)', 'odds_under': '1.60(448)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.58(184)', 'odds_under': '1.60(448)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.58(184)', 'odds_under': '1.60(448)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/midtjylland-sonderjyske-MDqEqvkr/
2025-08-29 11:24:22 UTC,2020-02-23 15:00:00 UTC,Silkeborg,FC Copenhagen,Superliga 2019/2020,1,1,"1:0, 0:1",Jysk Park,Silkeborg,Denmark,"[{'odds_over': '2.67', 'odds_under': '1.52', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.60', 'odds_under': '1.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '2.45', 'odds_under': '1.48', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '2.66', 'odds_under': '1.50', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.72', 'odds_under': '1.49', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.82(20)', 'odds_under': '1.52(19)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.82(20)', 'odds_under': '1.52(19)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.82(20)', 'odds_under': '1.52(19)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/silkeborg-fc-copenhagen-Qsbrk0RK/
2025-08-29 11:24:57 UTC,2019-12-01 15:00:00 UTC,Esbjerg,Aarhus,Superliga 2019/2020,1,2,"0:1, 1:1",Blue Water Arena,Esbjerg,Denmark,"[{'odds_over': '3.26', 'odds_under': '1.31', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '3.40', 'odds_under': '1.30', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '3.10', 'odds_under': '1.33', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '3.57', 'odds_under': '1.31', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '3.60(69)', 'odds_under': '1.33(189)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.60(69)', 'odds_under': '1.33(189)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.60(69)', 'odds_under': '1.33(189)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/esbjerg-aarhus-lGei1uSq/
2025-08-29 11:24:56 UTC,2019-10-25 17:00:00 UTC,Esbjerg,Midtjylland,Superliga 2019/2020,1,2,"0:0, 1:2",Blue Water Arena,Esbjerg,Denmark,"[{'odds_over': '3.32', 'odds_under': '1.30', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '3.50', 'odds_under': '1.30', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '3.20', 'odds_under': '1.30', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '3.54', 'odds_under': '1.32', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '3.70(381)', 'odds_under': '1.35(188)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.70(381)', 'odds_under': '1.35(188)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.70(381)', 'odds_under': '1.35(188)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/esbjerg-midtjylland-lvjVQPjU/
