scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market
2025-08-16 10:07:02 UTC,2019-10-26 16:30:00 UTC,Burnley,Chelsea,Premier League 2019/2020,2,4,"0:2, 2:2",Turf Moor,Burnley,England,"[{'odds_over': '2.60', 'odds_under': '1.49', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 10:07:02 UTC,2020-07-11 11:30:00 UTC,Norwich,West Ham,Premier League 2019/2020,0,4,"0:2, 0:2",Carrow Road,Norwich,England,"[{'odds_over': '2.55', 'odds_under': '1.48', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 10:07:24 UTC,2019-11-10 14:00:00 UTC,Wolves,Aston Villa,Premier League 2019/2020,2,1,"1:0, 1:1",Molineux Stadium,Wolverhampton,England,"[{'odds_over': '2.55', 'odds_under': '1.48', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 10:07:24 UTC,2019-09-28 11:30:00 UTC,Sheffield Utd,Liverpool,Premier League 2019/2020,0,1,"0:0, 0:1",Bramall Lane,Sheffield,England,"[{'odds_over': '2.02', 'odds_under': '1.79', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 10:07:46 UTC,2020-07-04 14:00:00 UTC,Manchester Utd,Bournemouth,Premier League 2019/2020,5,2,"3:1, 2:1",Old Trafford,Manchester,England,"[{'odds_over': '1.84', 'odds_under': '1.91', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 10:07:46 UTC,2020-01-01 17:30:00 UTC,Manchester City,Everton,Premier League 2019/2020,2,1,"0:0, 2:1",Etihad Stadium,Manchester,England,"[{'odds_over': '1.65', 'odds_under': '2.17', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 10:08:06 UTC,2019-08-24 14:00:00 UTC,Sheffield Utd,Leicester,Premier League 2019/2020,1,2,"0:1, 1:1",Bramall Lane,Sheffield,England,"[{'odds_over': '3.05', 'odds_under': '1.36', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 10:08:07 UTC,2020-03-07 15:00:00 UTC,Sheffield Utd,Norwich,Premier League 2019/2020,1,0,"1:0, 0:0",Bramall Lane,Sheffield,England,"[{'odds_over': '2.85', 'odds_under': '1.39', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 10:08:28 UTC,2020-07-13 19:00:00 UTC,Manchester Utd,Southampton,Premier League 2019/2020,2,2,"2:1, 0:1",Old Trafford,Manchester,England,"[{'odds_over': '1.73', 'odds_under': '2.04', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 10:08:30 UTC,2019-11-08 20:00:00 UTC,Norwich,Watford,Premier League 2019/2020,0,2,"0:1, 0:1",Carrow Road,Norwich,England,"[{'odds_over': '2.09', 'odds_under': '1.70', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
