scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market
2025-08-22 09:37:53 UTC,2022-03-19 17:30:00 UTC,Seraing,Leuven,Jupiler Pro League 2021/2022,1,1,"0:0, 1:1",Stade du Pairay,Seraing,Belgium,"[{'odds_over': '2.12', 'odds_under': '1.76', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.13', 'odds_under': '1.68', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 09:42:46 UTC,2022-03-19 19:45:00 UTC,Antwerp,Waregem,Jupiler Pro League 2021/2022,1,0,"0:0, 1:0",Bosuilstadion,Antwerp,Belgium,"[{'odds_over': '1.85', 'odds_under': '2.00', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.80', 'odds_under': '1.96', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 09:36:52 UTC,2022-03-20 12:30:00 UTC,Club Brugge KV,Genk,Jupiler Pro League 2021/2022,3,1,"1:1, 2:0",Jan Breydel Stadion,Brugge,Belgium,"[{'odds_over': '1.94', 'odds_under': '1.90', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.86', 'odds_under': '1.90', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 09:41:31 UTC,2022-03-20 15:00:00 UTC,Kortrijk,St. Liege,Jupiler Pro League 2021/2022,0,1,"0:0, 0:1",Guldensporen Stadion,Kortrijk,Belgium,"[{'odds_over': '2.91', 'odds_under': '1.44', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.80', 'odds_under': '1.41', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 09:43:36 UTC,2022-03-20 17:30:00 UTC,Gent,Anderlecht,Jupiler Pro League 2021/2022,1,0,"0:0, 1:0",Planet Group Arena,Gent,Belgium,"[{'odds_over': '2.63', 'odds_under': '1.51', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.40', 'odds_under': '1.53', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 09:43:47 UTC,2022-03-20 20:00:00 UTC,St. Truiden,Beerschot VA,Jupiler Pro League 2021/2022,3,2,"2:1, 1:1",Daio Wasabi Stayen,Sint-Truiden,Belgium,"[{'odds_over': '2.76', 'odds_under': '1.48', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.50', 'odds_under': '1.49', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 09:43:26 UTC,2022-04-01 18:45:00 UTC,Beerschot VA,Club Brugge KV,Jupiler Pro League 2021/2022,1,3,"0:1, 1:2",Olympisch Stadion,Antwerp,Belgium,"[{'odds_over': '1.74', 'odds_under': '2.15', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.66', 'odds_under': '2.15', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 09:39:40 UTC,2022-04-02 14:15:00 UTC,Waregem,St. Truiden,Jupiler Pro League 2021/2022,0,2,"0:0, 0:2",Elindus Arena,Waregem,Belgium,"[{'odds_over': '2.97', 'odds_under': '1.42', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.90', 'odds_under': '1.38', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 09:36:53 UTC,2022-04-02 16:30:00 UTC,KV Mechelen,Kortrijk,Jupiler Pro League 2021/2022,3,2,"1:1, 2:1",AFAS-stadion Achter de Kazerne,Mechelen,Belgium,"[{'odds_over': '2.00', 'odds_under': '1.86', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.97', 'odds_under': '1.79', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 09:37:13 UTC,2022-04-02 16:30:00 UTC,Oostende,Seraing,Jupiler Pro League 2021/2022,2,2,"1:1, 1:1",AlbertPark,Oostende,Belgium,"[{'odds_over': '3.05', 'odds_under': '1.41', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.00', 'odds_under': '1.36', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
