scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market,match_url
2025-08-27 13:59:05 UTC,2024-08-10 19:30:00 UTC,FC Porto,Gil Vicente,Liga Portugal 2024/2025,3,0,"1:0, 2:0",Estádio do Dragão,Porto,Portugal,"[{'odds_over': '1.80', 'odds_under': '1.91', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.86', 'odds_under': '1.95', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.87', 'odds_under': '1.83', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}, {'odds_over': '1.85', 'odds_under': '1.95', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/fc-porto-gil-vicente-4MpEcYyJ/
2025-08-27 13:59:05 UTC,2025-05-10 17:00:00 UTC,Benfica,Sporting CP,Liga Portugal 2024/2025,1,1,"0:1, 1:0",Estádio da Luz,Lisbon,Portugal,"[{'odds_over': '2.25', 'odds_under': '1.60', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.25', 'odds_under': '1.59', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.25', 'odds_under': '1.55', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}, {'odds_over': '2.35', 'odds_under': '1.60', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/benfica-sporting-lisbon-hbsS1cE7/
2025-08-27 13:59:05 UTC,2025-02-10 20:15:00 UTC,Arouca,Rio Ave,Liga Portugal 2024/2025,1,1,"0:0, 1:1",Estádio Municipal de Arouca,Arouca,Portugal,"[{'odds_over': '2.65', 'odds_under': '1.42', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.75', 'odds_under': '1.41', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.80', 'odds_under': '1.37', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}, {'odds_over': '2.80', 'odds_under': '1.40', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/arouca-rio-ave-rHkFXQSI/
2025-08-27 13:59:05 UTC,2024-08-11 17:00:00 UTC,Famalicao,Benfica,Liga Portugal 2024/2025,2,0,"1:0, 1:0",Estadio Municipal de Famalicao,Vila Nova de Famalicao,Portugal,"[{'odds_over': '1.88', 'odds_under': '1.83', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.17', 'odds_under': '1.70', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.15', 'odds_under': '1.62', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}, {'odds_over': '2.12', 'odds_under': '1.72', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/famalicao-benfica-2HCvEgMa/
2025-08-27 13:59:20 UTC,2024-11-03 20:30:00 UTC,FC Porto,Estoril,Liga Portugal 2024/2025,4,0,"2:0, 2:0",Estádio do Dragão,Porto,Portugal,"[{'odds_over': '1.58', 'odds_under': '2.23', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.64', 'odds_under': '2.23', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.60', 'odds_under': '2.15', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}, {'odds_over': '1.65', 'odds_under': '2.22', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/fc-porto-estoril-dAfCDy16/
2025-08-27 13:59:20 UTC,2024-12-07 18:00:00 UTC,Santa Clara,Rio Ave,Liga Portugal 2024/2025,1,0,"1:0, 0:0",Estádio de São Miguel,Ponta Delgada,Portugal,"[{'odds_over': '2.83', 'odds_under': '1.38', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.00', 'odds_under': '1.37', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.95', 'odds_under': '1.33', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}, {'odds_over': '3.10', 'odds_under': '1.38', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/santa-clara-rio-ave-OCdnKtJE/
2025-08-27 13:59:20 UTC,2024-09-28 17:00:00 UTC,Casa Pia,Vitoria Guimaraes,Liga Portugal 2024/2025,1,1,"1:0, 0:1",Estádio Municipal de Rio Maior,Rio Maior,Portugal,"[{'odds_over': '3.60', 'odds_under': '1.24', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.90', 'odds_under': '1.26', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.70', 'odds_under': '1.22', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}, {'odds_over': '3.80', 'odds_under': '1.28', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/casa-pia-vitoria-guimaraes-n1x9erON/
2025-08-27 13:59:21 UTC,2025-01-12 15:30:00 UTC,Nacional,FC Porto,Liga Portugal 2024/2025,2,0,"2:0, 0:0",Estádio da Madeira,Funchal,Portugal,"[{'odds_over': '2.30', 'odds_under': '1.55', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.18', 'odds_under': '1.61', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.35', 'odds_under': '1.50', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/nacional-fc-porto-ETXbakzJ/
2025-08-27 13:59:36 UTC,2024-08-25 19:30:00 UTC,Braga,Moreirense,Liga Portugal 2024/2025,3,1,"1:0, 2:1",Estádio Municipal de Braga,Braga,Portugal,"[{'odds_over': '2.46', 'odds_under': '1.48', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.57', 'odds_under': '1.51', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.45', 'odds_under': '1.48', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}, {'odds_over': '2.55', 'odds_under': '1.50', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/braga-moreirense-W6gI7C0J/
2025-08-27 13:59:37 UTC,2025-04-07 19:15:00 UTC,Rio Ave,Boavista,Liga Portugal 2024/2025,0,2,"0:1, 0:1",Estádio da Capital do Móvel,Paos de Ferreira,Portugal,"[{'odds_over': '2.46', 'odds_under': '1.49', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.51', 'odds_under': '1.49', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.45', 'odds_under': '1.47', 'bookmaker_name': 'Fuksiarz.pl', 'period': 'FullTime'}, {'odds_over': '2.50', 'odds_under': '1.50', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/portugal/liga-portugal-2024-2025/rio-ave-boavista-t2MZVMAc/
