scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market
2025-08-21 17:00:35 UTC,2022-07-30 11:00:00 UTC,Livingston,Rangers,Premiership 2022/2023,1,2,"1:0, 0:2",The Home of the Set Fare Arena,Livingston,Scotland,"[{'odds_over': '2.30', 'odds_under': '1.57', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.42', 'odds_under': '1.55', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.30', 'odds_under': '1.56', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 16:56:58 UTC,2022-07-30 14:00:00 UTC,St Johnstone,Hibernian,Premiership 2022/2023,0,1,"0:0, 0:1",McDiarmid Park,Perth,Scotland,"[{'odds_over': '3.90', 'odds_under': '1.23', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '4.20', 'odds_under': '1.22', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.85', 'odds_under': '1.24', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 17:20:49 UTC,2022-07-30 14:00:00 UTC,Hearts,Ross County,Premiership 2022/2023,2,1,"0:0, 2:1",Tynecastle Park,Edinburgh,Scotland,"[{'odds_over': '2.42', 'odds_under': '1.52', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.37', 'odds_under': '1.57', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.35', 'odds_under': '1.56', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 17:25:09 UTC,2022-07-30 14:00:00 UTC,Kilmarnock,Dundee Utd,Premiership 2022/2023,1,1,"0:1, 1:0",Rugby Park,Kilmarnock,Scotland,"[{'odds_over': '3.35', 'odds_under': '1.30', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.40', 'odds_under': '1.31', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.35', 'odds_under': '1.30', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 16:46:57 UTC,2022-07-31 14:00:00 UTC,St. Mirren,Motherwell,Premiership 2022/2023,0,1,"0:1, 0:0",The SMISA Stadium,Paisley,Scotland,"[{'odds_over': '3.30', 'odds_under': '1.30', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.75', 'odds_under': '1.26', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.85', 'odds_under': '1.24', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 17:08:32 UTC,2022-07-31 15:30:00 UTC,Celtic,Aberdeen,Premiership 2022/2023,2,0,"1:0, 1:0",Celtic Park,Glasgow,Scotland,"[{'odds_over': '1.88', 'odds_under': '1.86', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.70', 'odds_under': '2.12', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.74', 'odds_under': '2.04', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 16:45:26 UTC,2022-08-06 14:00:00 UTC,Aberdeen,St. Mirren,Premiership 2022/2023,4,1,"3:0, 1:1",Pittodrie Stadium,Aberdeen,Scotland,"[{'odds_over': '3.20', 'odds_under': '1.32', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.55', 'odds_under': '1.29', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.30', 'odds_under': '1.31', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 16:45:48 UTC,2022-08-06 14:00:00 UTC,Motherwell,St Johnstone,Premiership 2022/2023,1,2,"0:1, 1:1",Fir Park,Motherwell,Scotland,"[{'odds_over': '3.70', 'odds_under': '1.25', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '4.10', 'odds_under': '1.23', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '4.10', 'odds_under': '1.21', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 17:05:57 UTC,2022-08-06 14:00:00 UTC,Rangers,Kilmarnock,Premiership 2022/2023,2,0,"0:0, 2:0",Ibrox Stadium,Glasgow,Scotland,"[{'odds_over': '1.85', 'odds_under': '1.88', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.82', 'odds_under': '1.95', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.81', 'odds_under': '1.95', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 17:15:42 UTC,2022-08-06 14:00:00 UTC,Ross County,Celtic,Premiership 2022/2023,1,3,"0:0, 1:3",Global Energy Stadium,Dingwall,Scotland,"[{'odds_over': '1.80', 'odds_under': '1.94', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.77', 'odds_under': '2.02', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.74', 'odds_under': '2.03', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
