scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_5_market
2025-08-22 18:59:09 UTC,2019-10-06 12:00:00 UTC,Odense,Horsens,Superliga 2019/2020,3,0,"2:0, 1:0",Nature Energy Park,Odense,Denmark,"[{""odds_over"": ""3.4"", ""odds_under"": ""1.32"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.3"", ""odds_under"": ""1.31"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.55"", ""odds_under"": ""1.27"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""3.3"", ""odds_under"": ""1.3"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
2025-08-22 18:59:10 UTC,2019-08-25 10:00:00 UTC,Lyngby,Randers FC,Superliga 2019/2020,2,0,"1:0, 1:0",Lyngby Stadion,Kongens Lyngby,Denmark,"[{""odds_over"": ""2.75"", ""odds_under"": ""1.46"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.68"", ""odds_under"": ""1.45"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.5"", ""odds_under"": ""1.49"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""2.55"", ""odds_under"": ""1.5"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
2025-08-22 18:59:35 UTC,2019-09-01 16:00:00 UTC,Midtjylland,Brondby,Superliga 2019/2020,1,0,"1:0, 0:0",MCH Arena,Herning,Denmark,"[{""odds_over"": ""2.3"", ""odds_under"": ""1.62"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.27"", ""odds_under"": ""1.6"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.25"", ""odds_under"": ""1.6"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""2.25"", ""odds_under"": ""1.6"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
2025-08-22 18:59:37 UTC,2019-10-27 11:00:00 UTC,Hobro,Silkeborg,Superliga 2019/2020,1,1,"1:1, 0:0",DS Arena,Hobro,Denmark,"[{""odds_over"": ""2.55"", ""odds_under"": ""1.52"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.52"", ""odds_under"": ""1.5"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.7"", ""odds_under"": ""1.43"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""2.5"", ""odds_under"": ""1.5"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
2025-08-22 19:00:01 UTC,2020-07-03 17:00:00 UTC,Esbjerg,Horsens,Superliga 2019/2020,1,2,"1:1, 0:1",Blue Water Arena,Esbjerg,Denmark,"[{""odds_over"": ""2.65"", ""odds_under"": ""1.48"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.83"", ""odds_under"": ""1.41"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.6"", ""odds_under"": ""1.46"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""2.6"", ""odds_under"": ""1.45"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
2025-08-22 19:00:03 UTC,2020-06-13 15:00:00 UTC,Hobro,Horsens,Superliga 2019/2020,1,1,"1:1, 0:0",DS Arena,Hobro,Denmark,"[{""odds_over"": ""3.9"", ""odds_under"": ""1.24"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.85"", ""odds_under"": ""1.25"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""4.0"", ""odds_under"": ""1.22"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""3.9"", ""odds_under"": ""1.22"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
2025-08-22 19:00:27 UTC,2020-07-19 16:00:00 UTC,Brondby,Aalborg,Superliga 2019/2020,0,1,"0:1, 0:0",Brøndby Stadion,Brondby,Denmark,"[{""odds_over"": ""3.05"", ""odds_under"": ""1.38"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.91"", ""odds_under"": ""1.39"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.95"", ""odds_under"": ""1.37"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""2.95"", ""odds_under"": ""1.35"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
2025-08-22 19:00:28 UTC,2020-02-23 17:00:00 UTC,Aalborg,Brondby,Superliga 2019/2020,3,2,"0:0, 3:2",Aalborg Portland Park,Aalborg,Denmark,"[{""odds_over"": ""3.2"", ""odds_under"": ""1.33"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.0"", ""odds_under"": ""1.37"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.3"", ""odds_under"": ""1.31"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""3.2"", ""odds_under"": ""1.3"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
2025-08-22 19:00:53 UTC,2019-10-28 18:00:00 UTC,Aarhus,FC Copenhagen,Superliga 2019/2020,1,2,"0:1, 1:1",Ceres Park,Aarhus,Denmark,"[{""odds_over"": ""3.4"", ""odds_under"": ""1.32"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.15"", ""odds_under"": ""1.34"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.35"", ""odds_under"": ""1.3"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""3.3"", ""odds_under"": ""1.3"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
2025-08-22 19:00:54 UTC,2019-11-09 15:00:00 UTC,Horsens,Silkeborg,Superliga 2019/2020,2,1,"1:1, 1:0",Nordstern Arena Horsens,Horsens,Denmark,"[{""odds_over"": ""2.75"", ""odds_under"": ""1.46"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.71"", ""odds_under"": ""1.44"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.7"", ""odds_under"": ""1.42"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}, {""odds_over"": ""2.65"", ""odds_under"": ""1.45"", ""bookmaker_name"": ""STS.pl"", ""period"": ""FullTime""}]"
