scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market
2025-08-16 11:20:03 UTC,2024-03-16 15:00:00 UTC,Burnley,Brentford,Premier League 2023/2024,2,1,"1:0, 1:1",Turf Moor,Burnley,England,"[{'odds_over': '2.14', 'odds_under': '1.66', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.28', 'odds_under': '1.63', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.15', 'odds_under': '1.70', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 11:20:02 UTC,2023-12-16 15:00:00 UTC,Newcastle,Fulham,Premier League 2023/2024,3,0,"0:0, 3:0",St. James' Park,Newcastle,England,"[{'odds_over': '2.25', 'odds_under': '1.60', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.34', 'odds_under': '1.63', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.32', 'odds_under': '1.60', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 11:20:25 UTC,2023-08-21 19:00:00 UTC,Crystal Palace,Arsenal,Premier League 2023/2024,0,1,"0:0, 0:1",Selhurst Park,London,England,"[{'odds_over': '2.81', 'odds_under': '1.44', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.95', 'odds_under': '1.45', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.95', 'odds_under': '1.40', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 11:20:24 UTC,2024-04-06 14:00:00 UTC,Fulham,Newcastle,Premier League 2023/2024,0,1,"0:0, 0:1",Craven Cottage,London,England,"[{'odds_over': '1.87', 'odds_under': '1.87', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.93', 'odds_under': '1.88', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.95', 'odds_under': '1.85', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 11:20:45 UTC,2024-03-30 15:00:00 UTC,Bournemouth,Everton,Premier League 2023/2024,2,1,"0:0, 2:1",Vitality Stadium,Bournemouth,England,"[{'odds_over': '1.94', 'odds_under': '1.80', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.99', 'odds_under': '1.82', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.15', 'odds_under': '1.70', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 11:20:46 UTC,2024-02-10 12:30:00 UTC,Manchester City,Everton,Premier League 2023/2024,2,0,"0:0, 2:0",Etihad Stadium,Manchester,England,"[{'odds_over': '1.74', 'odds_under': '2.02', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.80', 'odds_under': '2.01', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.80', 'odds_under': '2.02', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 11:21:07 UTC,2023-12-26 12:30:00 UTC,Newcastle,Nottingham,Premier League 2023/2024,1,3,"1:1, 0:2",St. James' Park,Newcastle,England,"[{'odds_over': '1.93', 'odds_under': '1.81', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.08', 'odds_under': '1.78', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.05', 'odds_under': '1.77', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 11:21:08 UTC,2023-12-05 19:30:00 UTC,Wolves,Burnley,Premier League 2023/2024,1,0,"1:0, 0:0",Molineux Stadium,Wolverhampton,England,"[{'odds_over': '2.52', 'odds_under': '1.48', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.70', 'odds_under': '1.50', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.70', 'odds_under': '1.45', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 11:21:29 UTC,2023-11-04 17:30:00 UTC,Newcastle,Arsenal,Premier League 2023/2024,1,0,"0:0, 1:0",St. James' Park,Newcastle,England,"[{'odds_over': '2.88', 'odds_under': '1.38', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.10', 'odds_under': '1.40', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.15', 'odds_under': '1.33', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-16 11:21:30 UTC,2024-04-02 18:30:00 UTC,Nottingham,Fulham,Premier League 2023/2024,3,1,"3:0, 0:1",City Ground,Nottingham,England,"[{'odds_over': '2.28', 'odds_under': '1.58', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.41', 'odds_under': '1.56', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.42', 'odds_under': '1.55', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
