scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_0_market
2025-08-22 17:22:59 UTC,2021-01-16 19:00:00 UTC,Utrecht,Heracles,Eredivisie 2020/2021,2,0,"1:0, 1:0",Stadion Galgenwaard,Utrecht,Netherlands,"[{""odds_over"": ""2.4"", ""odds_under"": ""1.53"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 17:22:59 UTC,2021-04-22 16:45:00 UTC,Ajax,Utrecht,Eredivisie 2020/2021,1,1,"0:1, 1:0",Johan Cruijff Arena,Amsterdam,Netherlands,"[{""odds_over"": ""1.6"", ""odds_under"": ""2.25"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 17:23:19 UTC,2020-12-22 19:00:00 UTC,PSV,Venlo,Eredivisie 2020/2021,4,1,"1:1, 3:0",Philips Stadion,Eindhoven,Netherlands,"[{""odds_over"": ""1.58"", ""odds_under"": ""2.3"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 17:23:20 UTC,2020-10-04 14:45:00 UTC,PSV,Sittard,Eredivisie 2020/2021,2,0,"1:0, 1:0",Philips Stadion,Eindhoven,Netherlands,"[{""odds_over"": ""1.45"", ""odds_under"": ""2.65"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 17:23:39 UTC,2020-11-29 19:00:00 UTC,PSV,Sparta Rotterdam,Eredivisie 2020/2021,1,0,"0:0, 1:0",Philips Stadion,Eindhoven,Netherlands,"[{""odds_over"": ""1.96"", ""odds_under"": ""1.8"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 17:23:40 UTC,2021-02-21 11:15:00 UTC,Twente,Feyenoord,Eredivisie 2020/2021,2,2,"2:1, 0:1",De Grolsch Veste,Enschede,Netherlands,"[{""odds_over"": ""1.91"", ""odds_under"": ""1.85"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 17:24:01 UTC,2020-09-19 19:00:00 UTC,Sittard,Heerenveen,Eredivisie 2020/2021,1,3,"0:3, 1:0",Fortuna Sittard Stadion,Sittard,Netherlands,"[{""odds_over"": ""2.0"", ""odds_under"": ""1.77"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 17:24:01 UTC,2020-10-31 17:45:00 UTC,Twente,Zwolle,Eredivisie 2020/2021,5,1,"3:0, 2:1",De Grolsch Veste,Enschede,Netherlands,"[{""odds_over"": ""2.15"", ""odds_under"": ""1.66"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 17:24:21 UTC,2020-09-26 16:45:00 UTC,Sittard,AZ Alkmaar,Eredivisie 2020/2021,3,3,"1:1, 2:2",Fortuna Sittard Stadion,Sittard,Netherlands,"[{""odds_over"": ""1.9"", ""odds_under"": ""1.86"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 17:24:22 UTC,2020-10-25 13:30:00 UTC,Vitesse,PSV,Eredivisie 2020/2021,2,1,"1:0, 1:1",GelreDome,Arnhem,Netherlands,"[{""odds_over"": ""2.16"", ""odds_under"": ""1.66"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
