scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market
2025-08-21 18:37:23 UTC,2022-08-05 19:00:00 UTC,Lyon,AC Ajaccio,Ligue 1 2022/2023,2,1,"2:1, 0:0",Parc Olympique Lyonnais,Lyon,France,"[{'odds_over': '2.08', 'odds_under': '1.76', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.06', 'odds_under': '1.84', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.09', 'odds_under': '1.75', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 19:08:20 UTC,2022-08-06 15:00:00 UTC,Strasbourg,Monaco,Ligue 1 2022/2023,1,2,"0:1, 1:1",Stade de la Meinau,Strasbourg,France,"[{'odds_over': '3.05', 'odds_under': '1.38', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.10', 'odds_under': '1.41', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.15', 'odds_under': '1.36', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 19:10:59 UTC,2022-08-06 19:00:00 UTC,Clermont,PSG,Ligue 1 2022/2023,0,5,"0:3, 0:2",Stade Gabriel Montpied,Clermont-Ferrand,France,"[{'odds_over': '1.60', 'odds_under': '2.34', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.64', 'odds_under': '2.38', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.63', 'odds_under': '2.25', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 19:11:36 UTC,2022-08-07 11:00:00 UTC,Toulouse,Nice,Ligue 1 2022/2023,1,1,"1:0, 0:1",Stadium de Toulouse,Toulouse,France,"[{'odds_over': '2.69', 'odds_under': '1.47', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.80', 'odds_under': '1.49', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.70', 'odds_under': '1.47', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 18:29:50 UTC,2022-08-07 13:00:00 UTC,Montpellier,Troyes,Ligue 1 2022/2023,3,2,"2:2, 1:0",Stade de la Mosson,Montpellier,France,"[{'odds_over': '3.35', 'odds_under': '1.33', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.40', 'odds_under': '1.35', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.25', 'odds_under': '1.34', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 18:31:39 UTC,2022-08-07 13:00:00 UTC,Lille,Auxerre,Ligue 1 2022/2023,4,1,"3:0, 1:1",Stade Pierre-Mauroy,Villeneuve d'Ascq,France,"[{'odds_over': '2.54', 'odds_under': '1.53', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.61', 'odds_under': '1.54', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.60', 'odds_under': '1.50', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 18:37:46 UTC,2022-08-07 13:00:00 UTC,Angers,Nantes,Ligue 1 2022/2023,0,0,"0:0, 0:0",Stade Raymond-Kopa,Angers,France,"[{'odds_over': '3.15', 'odds_under': '1.37', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.30', 'odds_under': '1.38', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.25', 'odds_under': '1.34', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 19:07:59 UTC,2022-08-07 13:00:00 UTC,Lens,Brest,Ligue 1 2022/2023,3,2,"1:0, 2:2",Stade Bollaert-Delelis,Lens,France,"[{'odds_over': '2.40', 'odds_under': '1.58', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.45', 'odds_under': '1.60', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.45', 'odds_under': '1.56', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 18:46:03 UTC,2022-08-07 15:05:00 UTC,Rennes,Lorient,Ligue 1 2022/2023,0,1,"0:0, 0:1",Roazhon Park,Rennes,France,"[{'odds_over': '2.29', 'odds_under': '1.63', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.35', 'odds_under': '1.65', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.35', 'odds_under': '1.60', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 19:14:32 UTC,2022-08-07 18:45:00 UTC,Marseille,Reims,Ligue 1 2022/2023,4,1,"2:0, 2:1",Stade Vélodrome,Marseille,France,"[{'odds_over': '2.70', 'odds_under': '1.47', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.80', 'odds_under': '1.48', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.80', 'odds_under': '1.44', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
