scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-26 09:10:15 UTC,2022-02-27 14:05:00 UTC,Verona,Venezia,Serie A 2021/2022,3,1,"0:0, 3:1",Stadio Marc'Antonio Bentegodi,Verona,Italy,"[{'odds_over': '1.67', 'odds_under': '2.13', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.67', 'odds_under': '2.20', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.81', 'odds_under': '2.07', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.72', 'odds_under': '2.14', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.72', 'odds_under': '2.13', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/verona-venezia-bupZAV5g/
2025-08-26 09:10:14 UTC,2021-10-31 17:00:00 UTC,Salernitana,Napoli,Serie A 2021/2022,0,1,"0:0, 0:1",Stadio Arechi,Salerno,Italy,"[{'odds_over': '1.54', 'odds_under': '2.37', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.56', 'odds_under': '2.43', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.60', 'odds_under': '2.43', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.56', 'odds_under': '2.45', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.59', 'odds_under': '2.37', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/salernitana-napoli-xpAq6cRf/
2025-08-26 09:10:15 UTC,2022-05-21 15:15:00 UTC,Genoa,Bologna,Serie A 2021/2022,0,1,"0:0, 0:1",Stadio Luigi Ferraris,Genoa,Italy,"[{'odds_over': '1.54', 'odds_under': '2.38', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.54', 'odds_under': '2.48', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.59', 'odds_under': '2.50', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.54', 'odds_under': '2.50', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.56', 'odds_under': '2.44', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/genoa-bologna-Q9APktir/
2025-08-26 09:10:29 UTC,2021-12-05 14:00:00 UTC,Spezia,Sassuolo,Serie A 2021/2022,2,2,"1:0, 1:2",Stadio Alberto Picco,La Spezia,Italy,"[{'odds_over': '1.65', 'odds_under': '2.15', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.68', 'odds_under': '2.20', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.73', 'odds_under': '2.21', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.69', 'odds_under': '2.18', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.69', 'odds_under': '2.18', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/spezia-sassuolo-C0kYZm3k/
2025-08-26 09:10:30 UTC,2021-10-26 16:30:00 UTC,Spezia,Genoa,Serie A 2021/2022,1,1,"0:0, 1:1",Stadio Alberto Picco,La Spezia,Italy,"[{'odds_over': '1.62', 'odds_under': '2.20', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.63', 'odds_under': '2.30', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.70', 'odds_under': '2.25', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.64', 'odds_under': '2.25', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.67', 'odds_under': '2.22', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/spezia-genoa-8AFWHo7N/
2025-08-26 09:10:30 UTC,2022-05-06 16:45:00 UTC,Inter,Empoli,Serie A 2021/2022,4,2,"2:2, 2:0",Stadio Giuseppe Meazza (San Siro),Milan,Italy,"[{'odds_over': '1.25', 'odds_under': '3.70', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.25', 'odds_under': '3.95', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.29', 'odds_under': '3.95', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.27', 'odds_under': '3.75', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.27', 'odds_under': '3.85', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/inter-empoli-vkltTqpS/
2025-08-26 09:10:44 UTC,2022-02-27 19:50:00 UTC,Lazio,Napoli,Serie A 2021/2022,1,2,"0:0, 1:2",Stadio Olimpico,Rome,Italy,"[{'odds_over': '1.85', 'odds_under': '1.89', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.85', 'odds_under': '1.95', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.96', 'odds_under': '1.90', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.85', 'odds_under': '1.97', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.91', 'odds_under': '1.90', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/lazio-napoli-CrlwAkLa/
2025-08-26 09:10:46 UTC,2021-11-28 17:00:00 UTC,AS Roma,Torino,Serie A 2021/2022,1,0,"1:0, 0:0",Stadio Olimpico,Rome,Italy,"[{'odds_over': '1.75', 'odds_under': '2.01', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.78', 'odds_under': '2.05', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.83', 'odds_under': '2.02', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.68', 'odds_under': '2.20', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.69', 'odds_under': '2.18', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/as-roma-torino-QHjXTLza/
2025-08-26 09:10:46 UTC,2022-05-05 16:00:00 UTC,Salernitana,Venezia,Serie A 2021/2022,2,1,"1:0, 1:1",Stadio Arechi,Salerno,Italy,"[{'odds_over': '2.02', 'odds_under': '1.74', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '2.06', 'odds_under': '1.76', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.12', 'odds_under': '1.80', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.07', 'odds_under': '1.77', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '2.06', 'odds_under': '1.77', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/salernitana-venezia-A7Z7DfiB/
2025-08-26 09:11:00 UTC,2022-05-21 18:45:00 UTC,Lazio,Verona,Serie A 2021/2022,3,3,"2:2, 1:1",Stadio Olimpico,Rome,Italy,"[{'odds_over': '1.63', 'odds_under': '2.19', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.63', 'odds_under': '2.28', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '1.68', 'odds_under': '2.30', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.64', 'odds_under': '2.25', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.66', 'odds_under': '2.24', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2021-2022/lazio-verona-6JIXmKLf/
