scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market
2025-08-21 10:36:45 UTC,2019-08-03 14:00:00 UTC,Hibernian,St. Mirren,Premiership 2019/2020,1,0,"0:0, 1:0",Easter Road,Edinburgh,Scotland,"[{'odds_over': '2.75', 'odds_under': '1.38', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:39:33 UTC,2019-08-03 14:00:00 UTC,Ross County,Hamilton,Premiership 2019/2020,3,0,"2:0, 1:0",Global Energy Stadium,Dingwall,Scotland,"[{'odds_over': '2.35', 'odds_under': '1.52', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:40:39 UTC,2019-08-03 14:00:00 UTC,Livingston,Motherwell,Premiership 2019/2020,0,0,"0:0, 0:0",The Home of the Set Fare Arena,Livingston,Scotland,"[{'odds_over': '3.15', 'odds_under': '1.30', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:56:24 UTC,2019-08-03 14:00:00 UTC,Celtic,St Johnstone,Premiership 2019/2020,7,0,"3:0, 4:0",Celtic Park,Glasgow,Scotland,"[{'odds_over': '1.97', 'odds_under': '1.74', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:34:10 UTC,2019-08-04 12:30:00 UTC,Kilmarnock,Rangers,Premiership 2019/2020,1,2,"0:1, 1:1",Rugby Park,Kilmarnock,Scotland,"[{'odds_over': '2.90', 'odds_under': '1.35', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:50:42 UTC,2019-08-04 14:00:00 UTC,Aberdeen,Hearts,Premiership 2019/2020,3,2,"1:0, 2:2",Pittodrie Stadium,Aberdeen,Scotland,"[{'odds_over': '3.10', 'odds_under': '1.31', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:30:53 UTC,2019-08-10 11:00:00 UTC,Motherwell,Celtic,Premiership 2019/2020,2,5,"1:2, 1:3",Fir Park,Motherwell,Scotland,"[{'odds_over': '2.11', 'odds_under': '1.64', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:44:17 UTC,2019-08-10 13:00:00 UTC,St Johnstone,Livingston,Premiership 2019/2020,2,2,"0:2, 2:0",McDiarmid Park,Perth,Scotland,"[{'odds_over': '3.50', 'odds_under': '1.25', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:50:18 UTC,2019-08-10 14:00:00 UTC,Hearts,Ross County,Premiership 2019/2020,0,0,"0:0, 0:0",Tynecastle Park,Edinburgh,Scotland,"[{'odds_over': '2.30', 'odds_under': '1.54', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:51:47 UTC,2019-08-10 14:00:00 UTC,Hamilton,Kilmarnock,Premiership 2019/2020,2,0,"1:0, 1:0",ZLX Stadium,Hamilton,Scotland,"[{'odds_over': '2.90', 'odds_under': '1.35', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:53:57 UTC,2019-08-11 14:00:00 UTC,St. Mirren,Aberdeen,Premiership 2019/2020,1,0,"1:0, 0:0",The SMISA Stadium,Paisley,Scotland,"[{'odds_over': '3.55', 'odds_under': '1.24', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:57:29 UTC,2019-08-11 14:00:00 UTC,Rangers,Hibernian,Premiership 2019/2020,6,1,"2:1, 4:0",Ibrox Stadium,Glasgow,Scotland,"[{'odds_over': '1.94', 'odds_under': '1.76', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:36:17 UTC,2019-08-24 14:00:00 UTC,Ross County,Livingston,Premiership 2019/2020,1,4,"1:3, 0:1",Global Energy Stadium,Dingwall,Scotland,"[{'odds_over': '2.85', 'odds_under': '1.36', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:42:07 UTC,2019-08-24 14:00:00 UTC,Hamilton,Motherwell,Premiership 2019/2020,1,3,"1:2, 0:1",ZLX Stadium,Hamilton,Scotland,"[{'odds_over': '2.45', 'odds_under': '1.47', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:50:43 UTC,2019-08-24 14:00:00 UTC,Kilmarnock,Aberdeen,Premiership 2019/2020,0,0,"0:0, 0:0",Rugby Park,Kilmarnock,Scotland,"[{'odds_over': '3.95', 'odds_under': '1.20', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:54:18 UTC,2019-08-24 14:00:00 UTC,Hibernian,St Johnstone,Premiership 2019/2020,2,2,"1:0, 1:2",Easter Road,Edinburgh,Scotland,"[{'odds_over': '2.70', 'odds_under': '1.39', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:47:06 UTC,2019-08-25 11:15:00 UTC,St. Mirren,Rangers,Premiership 2019/2020,0,1,"0:0, 0:1",The SMISA Stadium,Paisley,Scotland,"[{'odds_over': '1.94', 'odds_under': '1.76', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:45:20 UTC,2019-08-25 14:00:00 UTC,Celtic,Hearts,Premiership 2019/2020,3,1,"1:0, 2:1",Celtic Park,Glasgow,Scotland,"[{'odds_over': '1.97', 'odds_under': '1.74', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:33:50 UTC,2019-08-31 14:00:00 UTC,Motherwell,Hibernian,Premiership 2019/2020,3,0,"1:0, 2:0",Fir Park,Motherwell,Scotland,"[{'odds_over': '2.35', 'odds_under': '1.50', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:40:21 UTC,2019-08-31 14:00:00 UTC,Hearts,Hamilton,Premiership 2019/2020,2,2,"1:0, 1:2",Tynecastle Park,Edinburgh,Scotland,"[{'odds_over': '2.20', 'odds_under': '1.58', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:46:02 UTC,2019-08-31 14:00:00 UTC,St Johnstone,Kilmarnock,Premiership 2019/2020,0,1,"0:1, 0:0",McDiarmid Park,Perth,Scotland,"[{'odds_over': '3.70', 'odds_under': '1.23', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:52:08 UTC,2019-08-31 14:00:00 UTC,Aberdeen,Ross County,Premiership 2019/2020,3,0,"2:0, 1:0",Pittodrie Stadium,Aberdeen,Scotland,"[{'odds_over': '2.55', 'odds_under': '1.43', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:53:36 UTC,2019-08-31 14:00:00 UTC,Livingston,St. Mirren,Premiership 2019/2020,2,1,"1:0, 1:1",The Home of the Set Fare Arena,Livingston,Scotland,"[{'odds_over': '2.90', 'odds_under': '1.35', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:58:55 UTC,2019-09-01 11:00:00 UTC,Rangers,Celtic,Premiership 2019/2020,0,2,"0:1, 0:1",Ibrox Stadium,Glasgow,Scotland,"[{'odds_over': '2.50', 'odds_under': '1.46', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:33:05 UTC,2019-09-14 11:00:00 UTC,Hamilton,Celtic,Premiership 2019/2020,0,1,"0:1, 0:0",ZLX Stadium,Hamilton,Scotland,"[{'odds_over': '1.61', 'odds_under': '2.16', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:29:29 UTC,2019-09-14 14:00:00 UTC,Kilmarnock,Hibernian,Premiership 2019/2020,2,0,"0:0, 2:0",Rugby Park,Kilmarnock,Scotland,"[{'odds_over': '3.15', 'odds_under': '1.30', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:30:12 UTC,2019-09-14 14:00:00 UTC,Ross County,St. Mirren,Premiership 2019/2020,2,1,"0:0, 2:1",Global Energy Stadium,Dingwall,Scotland,"[{'odds_over': '2.95', 'odds_under': '1.34', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:50:01 UTC,2019-09-14 14:00:00 UTC,Hearts,Motherwell,Premiership 2019/2020,2,3,"0:1, 2:2",Tynecastle Park,Edinburgh,Scotland,"[{'odds_over': '2.55', 'odds_under': '1.43', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:51:24 UTC,2019-09-14 14:00:00 UTC,Rangers,Livingston,Premiership 2019/2020,3,1,"0:0, 3:1",Ibrox Stadium,Glasgow,Scotland,"[{'odds_over': '1.70', 'odds_under': '2.02', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:53:55 UTC,2019-09-14 14:00:00 UTC,Aberdeen,St Johnstone,Premiership 2019/2020,1,1,"1:1, 0:0",Pittodrie Stadium,Aberdeen,Scotland,"[{'odds_over': '3.10', 'odds_under': '1.31', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 10:31:41 UTC,2019-09-21 14:00:00 UTC,Motherwell,Ross County,Premiership 2019/2020,1,2,"0:0, 1:2",Fir Park,Motherwell,Scotland,"[{'odds_over': '2.40', 'odds_under': '1.48', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
