scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-25 08:51:53 UTC,2021-04-11 18:45:00 UTC,Beerschot VA,Oostende,Jupiler League 2020/2021,1,2,"1:0, 0:2",Olympisch Stadion,Antwerp,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/beerschot-va-oostende-COwz8j8B/
2025-08-25 08:51:50 UTC,2021-01-10 17:15:00 UTC,Leuven,Anderlecht,Jupiler League 2020/2021,1,0,"0:0, 1:0",Den Dreef,Heverlee,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/leuven-anderlecht-hOnqtM14/
2025-08-25 08:51:50 UTC,2020-11-08 17:15:00 UTC,Gent,Anderlecht,Jupiler League 2020/2021,1,1,"0:1, 1:0",Planet Group Arena,Gent,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/gent-anderlecht-n5ftZTBD/
2025-08-25 08:51:49 UTC,2021-04-17 18:45:00 UTC,Antwerp,Genk,Jupiler League 2020/2021,3,2,"0:1, 3:1",Bosuilstadion,Antwerp,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/antwerp-genk-CfzsB6H1/
2025-08-25 08:52:56 UTC,2021-03-20 19:45:00 UTC,Eupen,Kortrijk,Jupiler League 2020/2021,2,0,"0:0, 2:0",Kehrwegstadion,Eupen,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/eupen-kortrijk-Iy5JD5x7/
2025-08-25 08:52:56 UTC,2020-10-18 11:30:00 UTC,Waregem,Antwerp,Jupiler League 2020/2021,1,3,"1:0, 0:3",Elindus Arena,Waregem,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/waregem-antwerp-86XuV67s/
2025-08-25 08:54:01 UTC,2021-05-02 14:00:00 UTC,Gent,KV Mechelen,Jupiler League 2020/2021,2,2,"0:2, 2:0",Planet Group Arena,Gent,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/gent-kv-mechelen-rRdIphpo/
2025-08-25 08:54:01 UTC,2020-10-17 18:45:00 UTC,St. Liege,Club Brugge KV,Jupiler League 2020/2021,1,1,"0:1, 1:0",Maurice Dufrasnestadion,Lige,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/st-liege-club-brugge-ngAjWeWC/
2025-08-25 08:55:32 UTC,2020-11-21 17:30:00 UTC,Beveren,Cercle Brugge KSV,Jupiler League 2020/2021,0,2,"0:1, 0:1",Freethiel Stadion,Beveren,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/sk-beveren-cercle-brugge-lOujeh78/
2025-08-25 08:56:49 UTC,2020-12-20 15:00:00 UTC,Leuven,KV Mechelen,Jupiler League 2020/2021,1,2,"0:2, 1:0",Den Dreef,Heverlee,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/leuven-kv-mechelen-zmGIP0HN/
2025-08-25 08:57:28 UTC,2020-11-29 12:30:00 UTC,KV Mechelen,Beerschot VA,Jupiler League 2020/2021,2,3,"2:1, 0:2",AFAS-stadion Achter de Kazerne,Mechelen,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/kv-mechelen-beerschot-va-8WKmdg9a/
2025-08-25 08:58:41 UTC,2020-08-16 14:00:00 UTC,Eupen,Club Brugge KV,Jupiler League 2020/2021,0,4,"0:1, 0:3",Kehrwegstadion,Eupen,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/eupen-club-brugge-CWebJU9L/
2025-08-25 08:59:52 UTC,2020-09-28 18:45:00 UTC,Genk,Oostende,Jupiler League 2020/2021,2,2,"1:1, 1:1",Cegeka Arena,Genk,Belgium,"[{'odds_over': '1.57', 'odds_under': '2.56', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.57', 'odds_under': '2.56', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.56', 'odds_under': '2.43', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.60', 'odds_under': '2.20', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.53', 'odds_under': '2.58', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.54', 'odds_under': '2.58', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.57(23)', 'odds_under': '2.66(31)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.57(23)', 'odds_under': '2.66(31)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.57(23)', 'odds_under': '2.66(31)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/genk-oostende-4fKTpA3d/
2025-08-25 08:59:56 UTC,2021-05-20 16:30:00 UTC,Genk,Antwerp,Jupiler League 2020/2021,4,0,"1:0, 3:0",Cegeka Arena,Genk,Belgium,"[{'odds_over': '1.57', 'odds_under': '2.40', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '1.53', 'odds_under': '2.44', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.53', 'odds_under': '2.44', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.50', 'odds_under': '2.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.58', 'odds_under': '2.45', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'odds_over': '1.50', 'odds_under': '2.40', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.55', 'odds_under': '2.53', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.58', 'odds_under': '2.47', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.56(15)', 'odds_under': '2.74(58)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.56(15)', 'odds_under': '2.74(58)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.56(15)', 'odds_under': '2.74(58)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/genk-antwerp-MDmT6r1m/
2025-08-25 08:59:53 UTC,2020-09-20 18:45:00 UTC,Antwerp,Eupen,Jupiler League 2020/2021,2,2,"0:1, 2:1",Bosuilstadion,Antwerp,Belgium,"[{'odds_over': '1.91', 'odds_under': '1.90', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.91', 'odds_under': '1.90', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.92', 'odds_under': '1.89', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.85', 'odds_under': '1.85', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.96', 'odds_under': '1.94', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.99', 'odds_under': '1.90', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.00(31)', 'odds_under': '1.99(161)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.00(31)', 'odds_under': '1.99(161)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.00(31)', 'odds_under': '1.99(161)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/antwerp-eupen-bTVO4VfS/
2025-08-25 08:59:56 UTC,2020-09-19 14:15:00 UTC,Oostende,Leuven,Jupiler League 2020/2021,3,1,"1:0, 2:1",AlbertPark,Oostende,Belgium,"[{'odds_over': '1.56', 'odds_under': '2.44', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.56', 'odds_under': '2.44', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.56', 'odds_under': '2.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.60', 'odds_under': '2.20', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.55', 'odds_under': '2.53', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.58', 'odds_under': '2.48', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.59(24)', 'odds_under': '2.52(15)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.59(24)', 'odds_under': '2.52(15)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.59(24)', 'odds_under': '2.52(15)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/oostende-leuven-vLM9RMnB/
