scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-30 23:54:57 UTC,2021-05-23 16:30:00 UTC,Antwerp,Anderlecht,Jupiler League 2020/2021,1,0,"0:0, 1:0",Bosuilstadion,Antwerp,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/antwerp-anderlecht-Iusx5MVa/
2025-08-30 23:54:57 UTC,2021-05-23 16:30:00 UTC,Club Brugge KV,Genk,Jupiler League 2020/2021,1,2,"0:0, 1:2",Jan Breydel Stadion,Brugge,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/club-brugge-genk-C2tt4to6/
2025-08-30 23:58:14 UTC,2021-05-20 19:00:00 UTC,Anderlecht,Club Brugge KV,Jupiler League 2020/2021,3,3,"1:1, 2:2",Lotto Park,Anderlecht,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/anderlecht-club-brugge-vkrY52Gg/
2025-08-30 23:58:14 UTC,2021-05-20 16:30:00 UTC,Genk,Antwerp,Jupiler League 2020/2021,4,0,"1:0, 3:0",Cegeka Arena,Genk,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/genk-antwerp-MDmT6r1m/
2025-08-31 00:03:20 UTC,2021-05-13 16:30:00 UTC,Antwerp,Club Brugge KV,Jupiler League 2020/2021,0,0,"0:0, 0:0",Bosuilstadion,Antwerp,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/antwerp-club-brugge-CvbgDpOJ/
2025-08-31 00:03:15 UTC,2021-05-13 14:00:00 UTC,St. Liege,KV Mechelen,Jupiler League 2020/2021,1,2,"0:1, 1:1",Maurice Dufrasnestadion,Lige,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/st-liege-kv-mechelen-6arD6Z64/
2025-08-31 00:05:08 UTC,2021-05-12 18:45:00 UTC,Genk,Anderlecht,Jupiler League 2020/2021,1,1,"0:1, 1:0",Cegeka Arena,Genk,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/genk-anderlecht-AZJAl1oJ/
2025-08-31 00:05:55 UTC,2021-05-09 14:00:00 UTC,KV Mechelen,Oostende,Jupiler League 2020/2021,5,3,"2:2, 3:1",AFAS-stadion Achter de Kazerne,Mechelen,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/kv-mechelen-oostende-AXl48exh/
2025-08-31 00:07:13 UTC,2021-05-08 18:45:00 UTC,Beveren,Seraing,1B Pro League 2020/2021,2,5,"1:2, 1:3",Freethiel Stadion,Beveren,Belgium,https://www.oddsportal.com/football/belgium/1b-pro-league-2020-2021/sk-beveren-rfc-seraing-fwUof5Hs/
2025-08-31 00:08:24 UTC,2021-05-08 16:30:00 UTC,St. Liege,Gent,Jupiler League 2020/2021,2,1,"0:1, 2:0",Maurice Dufrasnestadion,Lige,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/st-liege-gent-Wtj09yNo/
2025-08-31 00:09:38 UTC,2021-05-07 18:45:00 UTC,Genk,Club Brugge KV,Jupiler League 2020/2021,3,0,"0:0, 3:0",Cegeka Arena,Genk,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/genk-club-brugge-OIL2jNG6/
2025-08-31 00:09:18 UTC,2021-05-02 16:30:00 UTC,Club Brugge KV,Anderlecht,Jupiler League 2020/2021,2,2,"0:0, 2:2",Jan Breydel Stadion,Brugge,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/club-brugge-anderlecht-pSMbi310/
2025-08-31 00:10:31 UTC,2021-05-02 14:00:00 UTC,Gent,KV Mechelen,Jupiler League 2020/2021,2,2,"0:2, 2:0",Planet Group Arena,Gent,Belgium,https://www.oddsportal.com/football/belgium/jupiler-league-2020-2021/gent-kv-mechelen-rRdIphpo/
