scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market,match_url
2025-08-25 15:00:52 UTC,2024-08-24 18:45:00 UTC,Antwerp,KV Mechelen,Jupiler Pro League 2024/2025,0,1,"0:1, 0:0",Bosuilstadion,Antwerp,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/antwerp-kv-mechelen-vgjdaWx3/
2025-08-25 15:00:50 UTC,2025-02-22 19:45:00 UTC,Antwerp,Leuven,Jupiler Pro League 2024/2025,2,2,"0:0, 2:2",Bosuilstadion,Antwerp,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/antwerp-leuven-KfIdJUNb/
2025-08-25 15:00:51 UTC,2025-03-07 19:45:00 UTC,St. Truiden,Beerschot VA,Jupiler Pro League 2024/2025,2,0,"1:0, 1:0",Daio Wasabi Stayen,Sint-Truiden,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/st-truiden-beerschot-va-rV6xyfk1/
2025-08-25 15:00:53 UTC,2024-08-30 18:45:00 UTC,Genk,Westerlo,Jupiler Pro League 2024/2025,1,0,"0:0, 1:0",Cegeka Arena,Genk,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/genk-westerlo-EB4vC9M8/
2025-08-25 15:02:50 UTC,2024-12-27 19:45:00 UTC,Anderlecht,Dender,Jupiler Pro League 2024/2025,2,3,"2:1, 0:2",Lotto Park,Anderlecht,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/anderlecht-dender-0h8LmOFN/
2025-08-25 15:02:50 UTC,2025-03-09 17:30:00 UTC,Antwerp,Gent,Jupiler Pro League 2024/2025,0,1,"0:0, 0:1",Bosuilstadion,Antwerp,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/antwerp-gent-f5YlpbSE/
2025-08-25 15:02:52 UTC,2024-08-17 18:45:00 UTC,KV Mechelen,Anderlecht,Jupiler Pro League 2024/2025,1,3,"1:2, 0:1",AFAS-stadion Achter de Kazerne,Mechelen,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/kv-mechelen-anderlecht-dY4daBL5/
2025-08-25 15:02:52 UTC,2025-02-09 18:15:00 UTC,Beerschot VA,Charleroi,Jupiler Pro League 2024/2025,1,1,"1:0, 0:1",Olympisch Stadion,Antwerp,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/beerschot-va-charleroi-ClwRcNeL/
2025-08-25 15:04:37 UTC,2025-04-22 18:30:00 UTC,KV Mechelen,Westerlo,Jupiler Pro League 2024/2025,2,3,"1:1, 1:2",AFAS-stadion Achter de Kazerne,Mechelen,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/kv-mechelen-westerlo-pYTH69zS/
2025-08-25 15:04:38 UTC,2024-08-18 14:00:00 UTC,Leuven,Cercle Brugge KSV,Jupiler Pro League 2024/2025,1,1,"1:1, 0:0",Den Dreef,Heverlee,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/leuven-cercle-brugge-OnLxuszi/
2025-08-25 15:04:39 UTC,2024-08-25 11:30:00 UTC,Dender,Club Brugge KV,Jupiler Pro League 2024/2025,1,2,"1:2, 0:0",Dender Football Complex,Denderleeuw,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/dender-club-brugge-Yiq5cA7F/
