scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-26 00:59:52 UTC,2021-01-29 19:30:00 UTC,Stuttgart,Mainz,Bundesliga 2020/2021,2,0,"0:0, 2:0",MHPArena,Stuttgart,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/vfb-stuttgart-mainz-4rICtiY3/
2025-08-26 01:03:37 UTC,2020-11-21 19:30:00 UTC,Hertha Berlin,Dortmund,Bundesliga 2020/2021,2,5,"1:0, 1:5",Olympiastadion,Berlin,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/hertha-berlin-dortmund-rebVSIoE/
2025-08-26 01:03:37 UTC,2020-12-19 14:30:00 UTC,B. Monchengladbach,Hoffenheim,Bundesliga 2020/2021,1,2,"1:0, 0:2",Borussia-Park,Mnchengladbach,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/b-monchengladbach-hoffenheim-6g5wpWw3/
2025-08-26 01:03:37 UTC,2020-12-15 17:30:00 UTC,Eintracht Frankfurt,B. Monchengladbach,Bundesliga 2020/2021,3,3,"3:1, 0:2",Deutsche Bank Park,Frankfurt,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/eintracht-frankfurt-b-monchengladbach-hWtArJ2b/
2025-08-26 01:03:37 UTC,2021-04-03 13:30:00 UTC,Mainz,Arminia Bielefeld,Bundesliga 2020/2021,1,1,"0:0, 1:1",Mewa Arena,Mainz,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/mainz-arminia-bielefeld-dEvHNipF/
2025-08-26 01:05:38 UTC,2021-05-22 13:30:00 UTC,Union Berlin,RB Leipzig,Bundesliga 2020/2021,2,1,"0:0, 2:1",Stadion An der Alten Försterei,Berlin,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/union-berlin-rb-leipzig-0Qap3uLL/
2025-08-26 01:05:38 UTC,2021-01-17 14:30:00 UTC,Bayern Munich,Freiburg,Bundesliga 2020/2021,2,1,"1:0, 1:1",Allianz Arena,Munich,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/bayern-munich-freiburg-G6Vk0rU0/
2025-08-26 01:05:37 UTC,2021-04-04 16:00:00 UTC,Union Berlin,Hertha Berlin,Bundesliga 2020/2021,1,1,"1:1, 0:0",Stadion An der Alten Försterei,Berlin,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/union-berlin-hertha-berlin-SvzDOXU8/
2025-08-26 01:05:37 UTC,2020-10-24 13:30:00 UTC,Union Berlin,Freiburg,Bundesliga 2020/2021,1,1,"1:1, 0:0",Stadion An der Alten Försterei,Berlin,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/union-berlin-freiburg-KKos19d4/
2025-08-26 01:07:49 UTC,2020-10-03 13:30:00 UTC,Werder Bremen,Arminia Bielefeld,Bundesliga 2020/2021,1,0,"1:0, 0:0",Weserstadion,Bremen,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/werder-bremen-arminia-bielefeld-GCOtYASH/
2025-08-26 01:07:51 UTC,2021-02-27 14:30:00 UTC,Stuttgart,Schalke,Bundesliga 2020/2021,5,1,"3:1, 2:0",MHPArena,Stuttgart,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/vfb-stuttgart-schalke-2aibt3eI/
2025-08-26 01:07:50 UTC,2021-02-28 17:00:00 UTC,Bayer Leverkusen,Freiburg,Bundesliga 2020/2021,1,2,"0:0, 1:2",BayArena,Leverkusen,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/bayer-leverkusen-freiburg-jeAxoRtm/
2025-08-26 01:07:50 UTC,2020-10-17 13:30:00 UTC,Hertha Berlin,Stuttgart,Bundesliga 2020/2021,0,2,"0:1, 0:1",Olympiastadion,Berlin,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/hertha-berlin-vfb-stuttgart-fDOekCch/
2025-08-26 01:09:34 UTC,2020-12-12 14:30:00 UTC,Dortmund,Stuttgart,Bundesliga 2020/2021,1,5,"1:1, 0:4",Signal Iduna Park,Dortmund,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/dortmund-vfb-stuttgart-QeXQnDxm/
2025-08-26 01:09:36 UTC,2020-11-01 14:30:00 UTC,Freiburg,Bayer Leverkusen,Bundesliga 2020/2021,2,4,"1:2, 1:2",Dreisamstadion,Freiburg,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/freiburg-bayer-leverkusen-8pKUi5Jj/
2025-08-26 01:09:37 UTC,2020-11-02 19:30:00 UTC,Hoffenheim,Union Berlin,Bundesliga 2020/2021,1,3,"0:0, 1:3",PreZero Arena,Sinsheim,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/hoffenheim-union-berlin-UgLQho4p/
2025-08-26 01:09:38 UTC,2020-10-04 16:00:00 UTC,Bayern Munich,Hertha Berlin,Bundesliga 2020/2021,4,3,"1:0, 3:3",Allianz Arena,Munich,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/bayern-munich-hertha-berlin-4A6lesUD/
2025-08-26 01:11:21 UTC,2020-10-23 18:30:00 UTC,Stuttgart,FC Koln,Bundesliga 2020/2021,1,1,"1:1, 0:0",MHPArena,Stuttgart,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/vfb-stuttgart-1-fc-koln-A9vfb7tN/
2025-08-26 01:11:22 UTC,2020-12-04 19:30:00 UTC,Hertha Berlin,Union Berlin,Bundesliga 2020/2021,3,1,"0:1, 3:0",Olympiastadion,Berlin,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/hertha-berlin-union-berlin-dt93VB7C/
2025-08-26 01:11:45 UTC,2021-01-30 17:30:00 UTC,RB Leipzig,Bayer Leverkusen,Bundesliga 2020/2021,1,0,"0:0, 1:0",Red Bull Arena,Leipzig,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/rb-leipzig-bayer-leverkusen-CftnQVmN/
2025-08-26 01:12:30 UTC,2021-04-03 13:30:00 UTC,Dortmund,Eintracht Frankfurt,Bundesliga 2020/2021,1,2,"1:1, 0:1",Signal Iduna Park,Dortmund,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/dortmund-eintracht-frankfurt-2eeE3Whq/
2025-08-26 01:13:55 UTC,2020-10-03 13:30:00 UTC,Eintracht Frankfurt,Hoffenheim,Bundesliga 2020/2021,2,1,"0:1, 2:0",Deutsche Bank Park,Frankfurt,Germany,[],https://www.oddsportal.com/football/germany/bundesliga-2020-2021/eintracht-frankfurt-hoffenheim-UeMUzDra/
