scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-30 19:45:58 UTC,2020-12-28 16:00:00 UTC,Mjondalen,Sogndal,Eliteserien 2020,3,2,"1:0, 2:2",Intility Arena,Oslo,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/mjondalen-sogndal-b5qN4XbJ/
2025-08-30 19:45:58 UTC,2020-12-22 17:00:00 UTC,Brann,Odd,Eliteserien 2020,2,1,"1:0, 1:1",Brann Stadion,Bergen,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/brann-odds-bk-r7Oi1PVi/
2025-08-30 19:48:05 UTC,2020-12-22 17:00:00 UTC,Kristiansund,Haugesund,Eliteserien 2020,1,3,"1:0, 0:3",Kristiansund Stadion,Kristiansund,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/kristiansund-haugesund-M9yWf3R8/
2025-08-30 19:48:04 UTC,2020-12-22 17:00:00 UTC,Mjondalen,Aalesund,Eliteserien 2020,3,0,"3:0, 0:0",Consto Arena,Mjndalen,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/mjondalen-aalesund-SxmQLdCr/
2025-08-30 19:50:46 UTC,2020-12-22 17:00:00 UTC,Valerenga,Start,Eliteserien 2020,4,0,"3:0, 1:0",Ullevaal Stadion,Oslo,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/valerenga-start-Oj105yS1/
2025-08-30 19:50:44 UTC,2020-12-19 17:00:00 UTC,Bodo/Glimt,Viking,Eliteserien 2020,3,0,"2:0, 1:0",Aspmyra Stadion,Bod,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/bodo-glimt-viking-lQUh0b3l/
2025-08-30 19:52:32 UTC,2020-12-19 17:00:00 UTC,Odd,Stromsgodset,Eliteserien 2020,1,3,"1:1, 0:2",Skagerak Arena,Skien,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/odds-bk-stromsgodset-KxTYksAO/
2025-08-30 19:52:33 UTC,2020-12-19 14:30:00 UTC,Molde,Sarpsborg 08,Eliteserien 2020,5,0,"3:0, 2:0",Aker Stadion,Molde,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/molde-sarpsborg-08-vuBiXVbL/
2025-08-30 19:55:11 UTC,2020-12-13 17:00:00 UTC,Sandefjord,Odd,Eliteserien 2020,1,1,"0:0, 1:1",Jotun Arena,Sandefjord,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/sandefjord-odds-bk-dY6JU6D3/
2025-08-30 19:55:11 UTC,2020-12-13 17:00:00 UTC,Stabaek,Kristiansund,Eliteserien 2020,2,2,"0:0, 2:2",Nadderud Stadion,Bekkestua,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/stabaek-kristiansund-EeKR2Nl6/
2025-08-30 19:57:00 UTC,2020-12-10 17:00:00 UTC,Rosenborg,Mjondalen,Eliteserien 2020,1,0,"0:0, 1:0",Lerkendal Stadion,Trondheim,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/rosenborg-mjondalen-U3bInQGb/
2025-08-30 19:57:00 UTC,2020-12-10 17:00:00 UTC,Viking,Valerenga,Eliteserien 2020,2,2,"0:1, 2:1",Lyse Arena,Stavanger,Norway,https://www.oddsportal.com/football/norway/eliteserien-2020/viking-valerenga-2HMi62f5/
