scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-25 19:51:12 UTC,2023-05-13 14:30:00 UTC,Vizela,Famalicao,Liga Portugal 2022/2023,0,0,"0:0, 0:0",Estádio do Vizela,Caldas de Vizela,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/vizela-famalicao-jk5JJYpP/
2025-08-25 19:51:14 UTC,2023-01-14 18:00:00 UTC,Rio Ave,Pacos Ferreira,Liga Portugal 2022/2023,0,1,"0:1, 0:0",Estádio do Rio Ave,Vila do Conde,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/rio-ave-pacos-ferreira-WCzQl2B9/
2025-08-25 19:51:15 UTC,2023-01-20 19:00:00 UTC,Arouca,Portimonense,Liga Portugal 2022/2023,4,0,"2:0, 2:0",Estádio Municipal de Arouca,Arouca,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/arouca-portimonense-hlCuqXvl/
2025-08-25 19:51:15 UTC,2022-09-11 14:30:00 UTC,Pacos Ferreira,Casa Pia,Liga Portugal 2022/2023,2,3,"1:0, 1:3",Estádio da Capital do Móvel,Paos de Ferreira,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/pacos-ferreira-casa-pia-6ga4roWn/
2025-08-25 19:53:00 UTC,2022-10-24 19:15:00 UTC,Rio Ave,Portimonense,Liga Portugal 2022/2023,1,0,"1:0, 0:0",Estádio do Rio Ave,Vila do Conde,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/rio-ave-portimonense-Moqoqwve/
2025-08-25 19:53:01 UTC,2023-05-14 14:30:00 UTC,Rio Ave,Vitoria Guimaraes,Liga Portugal 2022/2023,0,1,"0:0, 0:1",Estádio do Rio Ave,Vila do Conde,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/rio-ave-vitoria-guimaraes-GIDTdBwC/
2025-08-25 19:53:01 UTC,2023-02-20 21:15:00 UTC,Benfica,Boavista,Liga Portugal 2022/2023,3,1,"0:0, 3:1",Estádio da Luz,Lisbon,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/benfica-boavista-AsdhdPUA/
2025-08-25 19:53:23 UTC,2022-08-29 20:15:00 UTC,Vizela,Gil Vicente,Liga Portugal 2022/2023,2,2,"2:2, 0:0",Estádio do Vizela,Caldas de Vizela,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/vizela-gil-vicente-QL20E6H6/
2025-08-25 19:54:45 UTC,2022-10-23 19:30:00 UTC,Vitoria Guimaraes,Boavista,Liga Portugal 2022/2023,3,2,"1:1, 2:1",Estádio D. Afonso Henriques,Guimares,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/vitoria-guimaraes-boavista-4AYkrcg1/
2025-08-25 19:54:46 UTC,2023-02-17 20:15:00 UTC,Gil Vicente,Vizela,Liga Portugal 2022/2023,1,1,"0:0, 1:1",Estádio Cidade de Barcelos,Barcelos,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2022-2023/gil-vicente-vizela-tUIPwHEq/
