scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market,match_url
2025-08-25 22:09:28 UTC,2023-11-03 20:15:00 UTC,FC Porto,Estoril,Liga Portugal 2023/2024,0,1,"0:0, 0:1",Estádio do Dragão,Porto,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-estoril-feuijRrn/
2025-08-25 22:09:28 UTC,2023-10-28 14:30:00 UTC,Portimonense,Estoril,Liga Portugal 2023/2024,1,0,"1:0, 0:0",Estádio Municipal de Portimão,Portimo,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-estoril-21GDx8En/
2025-08-25 22:09:28 UTC,2023-08-12 14:30:00 UTC,Gil Vicente,Portimonense,Liga Portugal 2023/2024,5,0,"2:0, 3:0",Estádio Cidade de Barcelos,Barcelos,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/gil-vicente-portimonense-hn7mbM2j/
2025-08-25 22:09:28 UTC,2024-03-15 20:15:00 UTC,Estoril,Portimonense,Liga Portugal 2023/2024,1,0,"0:0, 1:0",Estádio António Coimbra da Mota,Estoril,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estoril-portimonense-WhhHwOIM/
2025-08-25 22:11:40 UTC,2023-12-30 18:00:00 UTC,Casa Pia,Braga,Liga Portugal 2023/2024,1,3,"0:0, 1:3",Estádio Municipal de Rio Maior,Rio Maior,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-braga-bkk6MkPs/
2025-08-25 22:11:40 UTC,2023-12-17 18:00:00 UTC,Famalicao,Estoril,Liga Portugal 2023/2024,1,1,"1:1, 0:0",Estadio Municipal de Famalicao,Vila Nova de Famalicao,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-estoril-jqSv6Uv1/
2025-08-25 22:11:42 UTC,2024-02-18 18:00:00 UTC,Benfica,Vizela,Liga Portugal 2023/2024,6,1,"5:0, 1:1",Estádio da Luz,Lisbon,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/benfica-vizela-WzFw1cFf/
2025-08-25 22:11:43 UTC,2024-02-11 18:00:00 UTC,Sporting CP,Braga,Liga Portugal 2023/2024,5,0,"2:0, 3:0",Estádio José Alvalade,Lisbon,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-braga-ELXXgt8R/
2025-08-25 22:13:27 UTC,2024-05-05 19:30:00 UTC,Famalicao,Benfica,Liga Portugal 2023/2024,2,0,"0:0, 2:0",Estadio Municipal de Famalicao,Vila Nova de Famalicao,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-benfica-xYs23Sih/
2025-08-25 22:13:26 UTC,2024-03-30 15:30:00 UTC,Arouca,SC Farense,Liga Portugal 2023/2024,2,1,"1:0, 1:1",Estádio Municipal de Arouca,Arouca,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-sc-farense-vaFrfq33/
2025-08-25 22:13:53 UTC,2024-02-25 20:30:00 UTC,Rio Ave,Sporting CP,Liga Portugal 2023/2024,3,3,"2:2, 1:1",Estádio do Rio Ave,Vila do Conde,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/rio-ave-sporting-lisbon-AoxPCfE6/
2025-08-25 22:14:19 UTC,2023-10-28 17:00:00 UTC,Vitoria Guimaraes,Chaves,Liga Portugal 2023/2024,5,0,"3:0, 2:0",Estádio D. Afonso Henriques,Guimares,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-chaves-8vH9wlat/
2025-08-25 22:15:25 UTC,2024-04-14 14:30:00 UTC,Estrela,Rio Ave,Liga Portugal 2023/2024,2,2,"1:1, 1:1",Estádio José Gomes,Amadora,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-rio-ave-SKgswWwm/
2025-08-25 22:15:26 UTC,2024-04-21 14:30:00 UTC,Famalicao,Portimonense,Liga Portugal 2023/2024,2,2,"0:1, 2:1",Estadio Municipal de Famalicao,Vila Nova de Famalicao,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-portimonense-jDsldBpP/
2025-08-25 22:16:05 UTC,2023-08-20 17:00:00 UTC,FC Porto,SC Farense,Liga Portugal 2023/2024,2,1,"1:1, 1:0",Estádio do Dragão,Porto,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-sc-farense-lIMLD6OJ/
2025-08-25 22:16:05 UTC,2024-05-05 17:00:00 UTC,Arouca,Estrela,Liga Portugal 2023/2024,0,0,"0:0, 0:0",Estádio Municipal de Arouca,Arouca,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-estrela-da-amadora-ImwNb46N/
2025-08-25 22:18:16 UTC,2024-01-05 18:45:00 UTC,Sporting CP,Estoril,Liga Portugal 2023/2024,5,1,"2:0, 3:1",Estádio José Alvalade,Lisbon,Portugal,[],https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-estoril-6ZGeX6w0/
