scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-25 06:51:41 UTC,2019-12-01 15:00:00 UTC,Esbjerg,Aarhus,Superliga 2019/2020,1,2,"0:1, 1:1",Blue Water Arena,Esbjerg,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2019-2020/esbjerg-aarhus-lGei1uSq/
2025-08-25 06:51:43 UTC,2019-10-25 17:00:00 UTC,Esbjerg,Midtjylland,Superliga 2019/2020,1,2,"0:0, 1:2",Blue Water Arena,Esbjerg,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2019-2020/esbjerg-midtjylland-lvjVQPjU/
2025-08-25 06:51:42 UTC,2019-10-21 17:00:00 UTC,Midtjylland,Randers FC,Superliga 2019/2020,2,1,"0:0, 2:1",MCH Arena,Herning,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2019-2020/midtjylland-randers-fc-CYjesQJD/
2025-08-25 06:51:43 UTC,2020-07-08 18:00:00 UTC,Odense,Silkeborg,Superliga 2019/2020,1,3,"0:2, 1:1",Nature Energy Park,Odense,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2019-2020/odense-silkeborg-zFjrU6rd/
2025-08-25 06:53:14 UTC,2019-09-20 17:00:00 UTC,Odense,Aarhus,Superliga 2019/2020,1,2,"0:1, 1:1",Nature Energy Park,Odense,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2019-2020/odense-aarhus-ARaSIkyd/
2025-08-25 06:53:25 UTC,2019-08-09 16:00:00 UTC,FC Copenhagen,Lyngby,Superliga 2019/2020,2,0,"0:0, 2:0",Parken Stadium,Copenhagen,Denmark,"[{'odds_over': '1.45', 'odds_under': '2.65', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.44', 'odds_under': '2.85', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.45', 'odds_under': '2.55', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.45', 'odds_under': '2.86', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.46(259)', 'odds_under': '3.05(30)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.46(259)', 'odds_under': '3.05(30)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.46(259)', 'odds_under': '3.05(30)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/fc-copenhagen-lyngby-dbQC7SWP/
2025-08-25 06:53:20 UTC,2019-08-04 10:00:00 UTC,Randers FC,Nordsjaelland,Superliga 2019/2020,3,1,"3:0, 0:1",Cepheus Park,Randers,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2019-2020/randers-fc-nordsjaelland-lrQIooA6/
2025-08-25 06:53:29 UTC,2020-06-27 16:00:00 UTC,Sonderjyske,Silkeborg,Superliga 2019/2020,1,0,"0:0, 1:0",Haderslev Football Stadium,Haderslev,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2019-2020/sonderjyske-silkeborg-M7A7z95S/
2025-08-25 06:53:43 UTC,2020-06-21 12:00:00 UTC,Silkeborg,Sonderjyske,Superliga 2019/2020,1,2,"1:0, 0:2",Jysk Park,Silkeborg,Denmark,"[{'odds_over': '1.78', 'odds_under': '2.15', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.71', 'odds_under': '2.14', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.70', 'odds_under': '2.05', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.81', 'odds_under': '2.09', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.78', 'odds_under': '2.12', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.82(260)', 'odds_under': '2.20(25)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.82(260)', 'odds_under': '2.20(25)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.82(260)', 'odds_under': '2.20(25)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/silkeborg-sonderjyske-xK8ewBL9/
2025-08-25 06:54:26 UTC,2019-07-19 17:00:00 UTC,FC Copenhagen,Aarhus,Superliga 2019/2020,2,1,"1:0, 1:1",Parken Stadium,Copenhagen,Denmark,"[{'odds_over': '1.56', 'odds_under': '2.50', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.55', 'odds_under': '2.45', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.55', 'odds_under': '2.30', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.52', 'odds_under': '2.63', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.58(15)', 'odds_under': '2.66(138)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.58(15)', 'odds_under': '2.66(138)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.58(15)', 'odds_under': '2.66(138)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/fc-copenhagen-aarhus-Cz8iqhl8/
2025-08-25 06:54:29 UTC,2019-10-06 12:00:00 UTC,Brondby,FC Copenhagen,Superliga 2019/2020,3,1,"2:1, 1:0",Brøndby Stadion,Brondby,Denmark,"[{'odds_over': '1.76', 'odds_under': '2.18', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.72', 'odds_under': '2.12', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.65', 'odds_under': '2.10', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.74', 'odds_under': '2.19', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.75', 'odds_under': '2.15', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.79(1278)', 'odds_under': '2.24(73)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.79(1278)', 'odds_under': '2.24(73)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.79(1278)', 'odds_under': '2.24(73)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/brondby-fc-copenhagen-hA1dgWC8/
2025-08-25 06:54:33 UTC,2019-07-21 16:00:00 UTC,Midtjylland,Nordsjaelland,Superliga 2019/2020,2,1,"1:1, 1:0",MCH Arena,Herning,Denmark,"[{'odds_over': '1.43', 'odds_under': '2.54', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.48', 'odds_under': '2.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.48', 'odds_under': '2.45', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.53', 'odds_under': '2.59', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.53(187)', 'odds_under': '2.84(601)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.53(187)', 'odds_under': '2.84(601)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.53(187)', 'odds_under': '2.84(601)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/midtjylland-nordsjaelland-jR6erC3E/
2025-08-25 06:54:45 UTC,2019-07-28 12:00:00 UTC,Nordsjaelland,Esbjerg,Superliga 2019/2020,2,0,"0:0, 2:0",Right to Dream Park,Farum,Denmark,"[{'odds_over': '1.73', 'odds_under': '2.23', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.72', 'odds_under': '2.14', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.65', 'odds_under': '2.10', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.70', 'odds_under': '2.25', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.76', 'odds_under': '2.15', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.76(273)', 'odds_under': '2.28(58)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.76(273)', 'odds_under': '2.28(58)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.76(273)', 'odds_under': '2.28(58)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/denmark/superliga-2019-2020/nordsjaelland-esbjerg-biWYeVXD/
