scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-30 17:12:15 UTC,2021-05-28 17:00:00 UTC,Aarhus,Aalborg,Superliga 2020/2021,3,2,"1:0, 0:1, 1:1, 3:1",Ceres Park,Aarhus,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/aarhus-aalborg-fVVU30jP/
2025-08-30 17:12:16 UTC,2021-05-24 15:00:00 UTC,Brondby,Nordsjaelland,Superliga 2020/2021,2,0,"1:0, 1:0",Brøndby Stadion,Brondby,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/brondby-nordsjaelland-653vbvBQ/
2025-08-30 17:14:23 UTC,2021-05-24 15:00:00 UTC,Midtjylland,Aarhus,Superliga 2020/2021,4,0,"2:0, 2:0",MCH Arena,Herning,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/midtjylland-aarhus-jwuBhIYm/
2025-08-30 17:14:23 UTC,2021-05-24 15:00:00 UTC,Randers FC,FC Copenhagen,Superliga 2020/2021,2,1,"0:0, 2:1",Cepheus Park,Randers,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/randers-fc-fc-copenhagen-dzrJjd30/
2025-08-30 17:16:12 UTC,2021-05-24 12:00:00 UTC,Odense,Horsens,Superliga 2020/2021,4,0,"2:0, 2:0",Nature Energy Park,Odense,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/odense-horsens-GYHFx1JT/
2025-08-30 17:16:12 UTC,2021-05-24 12:00:00 UTC,Sonderjyske,Aalborg,Superliga 2020/2021,0,4,"0:2, 0:2",Haderslev Football Stadium,Haderslev,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/sonderjyske-aalborg-r748vNlH/
2025-08-30 17:18:18 UTC,2021-05-20 18:00:00 UTC,Aarhus,Brondby,Superliga 2020/2021,1,2,"1:1, 0:1",Ceres Park,Aarhus,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/aarhus-brondby-bu0Wa0tE/
2025-08-30 17:24:41 UTC,2021-05-09 16:00:00 UTC,Brondby,Midtjylland,Superliga 2020/2021,3,1,"1:1, 2:0",Brøndby Stadion,Brondby,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/brondby-midtjylland-hUaxrSKS/
2025-08-30 17:25:11 UTC,2021-05-09 14:00:00 UTC,Randers FC,Aarhus,Superliga 2020/2021,0,1,"0:1, 0:0",Cepheus Park,Randers,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/randers-fc-aarhus-KG1UqljG/
2025-08-30 17:26:20 UTC,2021-05-09 12:00:00 UTC,Lyngby,Horsens,Superliga 2020/2021,3,4,"0:2, 3:2",Lyngby Stadion,Kongens Lyngby,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/lyngby-horsens-U3vZPNZN/
2025-08-30 17:27:02 UTC,2021-05-09 12:00:00 UTC,Vejle,Sonderjyske,Superliga 2020/2021,4,2,"1:0, 3:2",Vejle Stadion,Vejle,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/vejle-sonderjyske-tvrwPskU/
2025-08-30 17:27:57 UTC,2021-05-03 17:00:00 UTC,FC Copenhagen,Aarhus,Superliga 2020/2021,3,2,"3:0, 0:2",Parken Stadium,Copenhagen,Denmark,https://www.oddsportal.com/football/denmark/superliga-2020-2021/fc-copenhagen-aarhus-Ol8LoAL3/
