scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market,match_url
2025-08-25 11:03:06 UTC,2023-05-14 14:00:00 UTC,Brondby,FC Copenhagen,Superliga 2022/2023,1,3,"0:1, 1:2",Brøndby Stadion,Brondby,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/brondby-fc-copenhagen-hAZ1XOh3/
2025-08-25 11:03:06 UTC,2022-10-29 14:00:00 UTC,Randers FC,FC Copenhagen,Superliga 2022/2023,0,2,"0:0, 0:2",Cepheus Park,Randers,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/randers-fc-fc-copenhagen-44eBlexr/
2025-08-25 11:03:04 UTC,2022-10-09 14:00:00 UTC,Odense,Silkeborg,Superliga 2022/2023,1,1,"0:0, 1:1",Nature Energy Park,Odense,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/odense-silkeborg-fkdTfxrH/
2025-08-25 11:03:06 UTC,2023-05-21 16:00:00 UTC,FC Copenhagen,Aarhus,Superliga 2022/2023,4,3,"2:2, 2:1",Parken Stadium,Copenhagen,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/fc-copenhagen-aarhus-0tMITthS/
2025-08-25 11:04:49 UTC,2023-02-27 18:00:00 UTC,Midtjylland,Brondby,Superliga 2022/2023,0,1,"0:0, 0:1",MCH Arena,Herning,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/midtjylland-brondby-Kz2qAT4I/
2025-08-25 11:04:51 UTC,2023-03-03 18:00:00 UTC,Aarhus,Horsens,Superliga 2022/2023,2,0,"1:0, 1:0",Ceres Park,Aarhus,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/aarhus-horsens-xhWcTj5t/
2025-08-25 11:04:51 UTC,2022-07-17 12:00:00 UTC,Viborg,Aalborg,Superliga 2022/2023,2,1,"1:0, 1:1",Energi Viborg Arena,Viborg,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/viborg-aalborg-W0Ybvddp/
2025-08-25 11:05:29 UTC,2022-08-22 17:00:00 UTC,Odense,Horsens,Superliga 2022/2023,1,0,"0:0, 1:0",Nature Energy Park,Odense,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/odense-horsens-QFLHLpos/
2025-08-25 11:07:13 UTC,2023-05-29 12:00:00 UTC,Silkeborg,Midtjylland,Superliga 2022/2023,3,3,"1:1, 2:2",Jysk Park,Silkeborg,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/silkeborg-midtjylland-ADAbo6JU/
2025-08-25 11:07:15 UTC,2022-09-17 15:00:00 UTC,Aarhus,Aalborg,Superliga 2022/2023,3,1,"0:0, 3:1",Ceres Park,Aarhus,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/aarhus-aalborg-2eXksJDH/
2025-08-25 11:08:21 UTC,2022-08-21 16:00:00 UTC,Aalborg,Brondby,Superliga 2022/2023,2,1,"1:0, 1:1",Aalborg Portland Park,Aalborg,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/aalborg-brondby-WfHgHVge/
2025-08-25 11:08:20 UTC,2022-10-30 13:00:00 UTC,Lyngby,Aarhus,Superliga 2022/2023,0,1,"0:0, 0:1",Lyngby Stadion,Kongens Lyngby,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/lyngby-aarhus-nP8qgyUQ/
2025-08-25 11:08:49 UTC,2022-07-17 12:00:00 UTC,Lyngby,Silkeborg,Superliga 2022/2023,2,2,"1:0, 1:2",Lyngby Stadion,Kongens Lyngby,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/lyngby-silkeborg-p4x3wGBj/
2025-08-25 11:09:00 UTC,2022-10-31 18:00:00 UTC,Midtjylland,Odense,Superliga 2022/2023,1,2,"0:1, 1:1",MCH Arena,Herning,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/midtjylland-odense-jcFzecaE/
2025-08-25 11:09:26 UTC,2022-09-11 14:00:00 UTC,Brondby,Randers FC,Superliga 2022/2023,2,2,"1:1, 1:1",Brøndby Stadion,Brondby,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/brondby-randers-fc-nkxCVLE5/
2025-08-25 11:09:59 UTC,2022-10-09 16:00:00 UTC,Randers FC,Brondby,Superliga 2022/2023,2,3,"1:1, 1:2",Cepheus Park,Randers,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/randers-fc-brondby-G4pxgGCT/
2025-08-25 11:10:09 UTC,2022-10-16 16:00:00 UTC,Midtjylland,Horsens,Superliga 2022/2023,2,1,"1:1, 1:0",MCH Arena,Herning,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/midtjylland-horsens-Y3g5h4wG/
2025-08-25 11:10:20 UTC,2023-05-29 14:00:00 UTC,Viborg,FC Copenhagen,Superliga 2022/2023,1,2,"0:2, 1:0",Energi Viborg Arena,Viborg,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/viborg-fc-copenhagen-KQ2kOKFk/
2025-08-25 11:10:21 UTC,2022-07-31 14:00:00 UTC,Viborg,FC Copenhagen,Superliga 2022/2023,4,2,"2:1, 2:1",Energi Viborg Arena,Viborg,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/viborg-fc-copenhagen-KtsuCzIF/
2025-08-25 11:11:08 UTC,2022-10-23 12:00:00 UTC,Randers FC,Nordsjaelland,Superliga 2022/2023,0,2,"0:1, 0:1",Cepheus Park,Randers,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/randers-fc-nordsjaelland-OjNlXg77/
2025-08-25 11:11:08 UTC,2023-03-19 14:00:00 UTC,Aarhus,Odense,Superliga 2022/2023,1,0,"1:0, 0:0",Ceres Park,Aarhus,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/aarhus-odense-IRorRLuA/
2025-08-25 11:11:42 UTC,2022-08-15 17:00:00 UTC,Aarhus,Lyngby,Superliga 2022/2023,1,0,"1:0, 0:0",Ceres Park,Aarhus,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/aarhus-lyngby-tCJBPgnF/
2025-08-25 11:12:18 UTC,2023-05-21 12:00:00 UTC,Lyngby,Odense,Superliga 2022/2023,0,4,"0:2, 0:2",Lyngby Stadion,Kongens Lyngby,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/lyngby-odense-zeIol8ZB/
2025-08-25 11:12:29 UTC,2022-07-17 16:00:00 UTC,Brondby,Aarhus,Superliga 2022/2023,1,0,"0:0, 1:0",Brøndby Stadion,Brondby,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/brondby-aarhus-xbPl1J3c/
2025-08-25 11:13:33 UTC,2023-06-03 12:00:00 UTC,Aalborg,Silkeborg,Superliga 2022/2023,0,1,"0:0, 0:1",Aalborg Portland Park,Aalborg,Denmark,[],https://www.oddsportal.com/football/denmark/superliga-2022-2023/aalborg-silkeborg-82kC4TJh/
