scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-31 01:46:57 UTC,2022-05-14 19:30:00 UTC,Sporting CP,Santa Clara,Liga Portugal 2021/2022,4,0,"1:0, 3:0",Estádio José Alvalade,Lisbon,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/sporting-lisbon-santa-clara-jFhVVjqN/
2025-08-31 01:46:57 UTC,2022-05-14 17:00:00 UTC,FC Porto,Estoril,Liga Portugal 2021/2022,2,0,"0:0, 2:0",Estádio do Dragão,Porto,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/fc-porto-estoril-vXnpmhEc/
2025-08-31 01:48:44 UTC,2022-05-14 17:00:00 UTC,Maritimo,Portimonense,Liga Portugal 2021/2022,0,1,"0:0, 0:1",Estádio do Marítimo,Funchal,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/maritimo-portimonense-0tltlYbi/
2025-08-31 01:48:44 UTC,2022-05-14 14:30:00 UTC,Arouca,BSAD,Liga Portugal 2021/2022,0,0,"0:0, 0:0",Estádio Municipal de Arouca,Arouca,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/arouca-bsad-4IdZUAbT/
2025-08-31 01:52:01 UTC,2022-05-13 19:15:00 UTC,Pacos Ferreira,Benfica,Liga Portugal 2021/2022,0,2,"0:2, 0:0",Estádio da Capital do Móvel,Paos de Ferreira,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/pacos-ferreira-benfica-Ua4MXCEA/
2025-08-31 01:52:00 UTC,2022-05-09 19:15:00 UTC,BSAD,Famalicao,Liga Portugal 2021/2022,2,3,"1:0, 1:3",Estádio Nacional do Jamor,Lisbon - Oeiras,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/bsad-famalicao-tQh6yeFo/
2025-08-31 01:53:48 UTC,2022-05-08 19:30:00 UTC,Santa Clara,Pacos Ferreira,Liga Portugal 2021/2022,2,0,"1:0, 1:0",Estádio de São Miguel,Ponta Delgada,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/santa-clara-pacos-ferreira-8xOiIXEN/
2025-08-31 01:53:48 UTC,2022-05-08 17:00:00 UTC,Braga,Arouca,Liga Portugal 2021/2022,1,0,"0:0, 1:0",Estádio Municipal de Braga,Braga,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/braga-arouca-0QaIYha4/
2025-08-31 01:55:54 UTC,2022-05-08 14:30:00 UTC,Gil Vicente,Tondela,Liga Portugal 2021/2022,3,0,"0:0, 3:0",Estádio Cidade de Barcelos,Barcelos,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/gil-vicente-tondela-vBB9zFUi/
2025-08-31 01:55:54 UTC,2022-05-08 14:30:00 UTC,Vizela,Maritimo,Liga Portugal 2021/2022,1,1,"0:0, 1:1",Estádio do Vizela,Caldas de Vizela,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/vizela-maritimo-MZ0EZYqb/
2025-08-31 01:58:51 UTC,2022-05-07 14:30:00 UTC,Estoril,Moreirense,Liga Portugal 2021/2022,1,0,"0:0, 1:0",Estádio António Coimbra da Mota,Estoril,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/estoril-moreirense-SM4OCBxo/
2025-08-31 01:58:52 UTC,2022-05-06 19:15:00 UTC,Boavista,Vitoria Guimaraes,Liga Portugal 2021/2022,1,1,"0:1, 1:0",Estádio do Bessa Século XXI,Porto,Portugal,https://www.oddsportal.com/football/portugal/liga-portugal-2021-2022/boavista-vitoria-guimaraes-QDIdHiUT/
