scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-30 22:04:27 UTC,2021-05-23 15:00:00 UTC,Arsenal,Brighton,Premier League 2020/2021,2,0,"0:0, 2:0",Emirates Stadium,London,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/arsenal-brighton-2qsbaz5A/
2025-08-30 22:04:27 UTC,2021-05-23 15:00:00 UTC,Aston Villa,Chelsea,Premier League 2020/2021,2,1,"1:0, 1:1",Villa Park,Birmingham,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/aston-villa-chelsea-tzt2bfKG/
2025-08-30 22:10:00 UTC,2021-05-19 19:15:00 UTC,Burnley,Liverpool,Premier League 2020/2021,0,3,"0:1, 0:2",Turf Moor,Burnley,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/burnley-liverpool-tE4RoHzB/
2025-08-30 22:09:59 UTC,2021-05-19 19:15:00 UTC,West Brom,West Ham,Premier League 2020/2021,1,3,"1:1, 0:2",The Hawthorns,West Bromwich,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/west-brom-west-ham-MXP00Gk4/
2025-08-30 22:12:05 UTC,2021-05-19 18:00:00 UTC,Crystal Palace,Arsenal,Premier League 2020/2021,1,3,"0:1, 1:2",Selhurst Park,London,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/crystal-palace-arsenal-2Thzpe5N/
2025-08-30 22:13:49 UTC,2021-05-19 17:00:00 UTC,Tottenham,Aston Villa,Premier League 2020/2021,1,2,"1:2, 0:0",Tottenham Hotspur Stadium,London,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/tottenham-aston-villa-rsRd1dzb/
2025-08-30 22:13:51 UTC,2021-05-18 19:15:00 UTC,Chelsea,Leicester,Premier League 2020/2021,2,1,"0:0, 2:1",Stamford Bridge,London,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/chelsea-leicester-OxfWpyjH/
2025-08-30 22:15:39 UTC,2021-05-18 17:00:00 UTC,Manchester Utd,Fulham,Premier League 2020/2021,1,1,"1:0, 0:1",Old Trafford,Manchester,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/manchester-united-fulham-YBq6vZSp/
2025-08-30 22:17:19 UTC,2021-05-16 18:00:00 UTC,Everton,Sheffield Utd,Premier League 2020/2021,0,1,"0:1, 0:0",Goodison Park,Liverpool,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/everton-sheffield-utd-Shkmopp0/
2025-08-30 22:19:08 UTC,2021-05-15 19:00:00 UTC,Brighton,West Ham,Premier League 2020/2021,1,1,"0:0, 1:1",Amex Stadium,Brighton,England,https://www.oddsportal.com/football/england/premier-league-2020-2021/brighton-west-ham-txium6Fm/
