scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-25 22:41:03 UTC,2022-02-05 16:00:00 UTC,St Etienne,Montpellier,Ligue 1 2021/2022,3,1,"0:1, 3:0",Stade Geoffroy-Guichard,Saint-tienne,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/st-etienne-montpellier-z5a4EIrd/
2025-08-25 22:41:03 UTC,2022-02-26 16:00:00 UTC,Strasbourg,Nice,Ligue 1 2021/2022,0,0,"0:0, 0:0",Stade de la Meinau,Strasbourg,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/strasbourg-nice-bsJ5ZvxJ/
2025-08-25 22:41:03 UTC,2022-02-20 14:00:00 UTC,Lorient,Montpellier,Ligue 1 2021/2022,0,1,"0:0, 0:1",Stade du Moustoir,Lorient,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/lorient-montpellier-tt92RPwr/
2025-08-25 22:41:03 UTC,2021-09-19 13:00:00 UTC,Angers,Nantes,Ligue 1 2021/2022,1,4,"1:3, 0:1",Stade Raymond-Kopa,Angers,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/angers-nantes-tpkY2Y4H/
2025-08-25 22:43:08 UTC,2022-03-13 16:05:00 UTC,Lyon,Rennes,Ligue 1 2021/2022,2,4,"0:3, 2:1",Parc Olympique Lyonnais,Lyon,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/lyon-rennes-SYfFkiSG/
2025-08-25 22:43:08 UTC,2022-04-20 19:00:00 UTC,Strasbourg,Rennes,Ligue 1 2021/2022,2,1,"1:0, 1:1",Stade de la Meinau,Strasbourg,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/strasbourg-rennes-ze8BWWMU/
2025-08-25 22:43:19 UTC,2021-09-22 17:00:00 UTC,Lille,Reims,Ligue 1 2021/2022,2,1,"2:0, 0:1",Stade Pierre-Mauroy,Villeneuve d'Ascq,France,"[{'odds_over': '2.50', 'odds_under': '1.60', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '2.40', 'odds_under': '1.60', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.40', 'odds_under': '1.60', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '2.33', 'odds_under': '1.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '2.30', 'odds_under': '1.57', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '2.47', 'odds_under': '1.58', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.55', 'odds_under': '1.57', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.52(350)', 'odds_under': '1.64(2322)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.52(350)', 'odds_under': '1.64(2322)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.52(350)', 'odds_under': '1.64(2322)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/france/ligue-1-2021-2022/lille-reims-pYRQwLWs/
2025-08-25 22:43:19 UTC,2021-08-22 13:00:00 UTC,Montpellier,Lorient,Ligue 1 2021/2022,3,1,"0:1, 3:0",Stade de la Mosson,Montpellier,France,"[{'odds_over': '1.73', 'odds_under': '2.24', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '1.62', 'odds_under': '2.37', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.62', 'odds_under': '2.37', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.71', 'odds_under': '2.12', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.91', 'odds_under': '2.00', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'odds_over': '1.72', 'odds_under': '2.05', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.71', 'odds_under': '2.23', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.71', 'odds_under': '2.25', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.76(12)', 'odds_under': '2.28(2712)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.76(12)', 'odds_under': '2.28(2712)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.76(12)', 'odds_under': '2.28(2712)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/france/ligue-1-2021-2022/montpellier-lorient-xfgyxjrB/
2025-08-25 22:43:50 UTC,2022-05-14 19:00:00 UTC,Nice,Lille,Ligue 1 2021/2022,1,3,"1:0, 0:3",Allianz Riviera,Nice,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/nice-lille-hxKFqbCf/
2025-08-25 22:43:53 UTC,2022-03-20 14:00:00 UTC,Lorient,Strasbourg,Ligue 1 2021/2022,0,0,"0:0, 0:0",Stade du Moustoir,Lorient,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/lorient-strasbourg-02so3AdG/
2025-08-25 22:44:05 UTC,2022-05-21 19:00:00 UTC,Clermont,Lyon,Ligue 1 2021/2022,1,2,"0:1, 1:1",Stade Gabriel Montpied,Clermont-Ferrand,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/clermont-lyon-GYaqawCs/
2025-08-25 22:44:05 UTC,2021-12-01 18:00:00 UTC,Metz,Montpellier,Ligue 1 2021/2022,1,3,"0:2, 1:1",Stade Saint-Symphorien,Metz,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/metz-montpellier-h4pJO85A/
2025-08-25 22:44:41 UTC,2021-10-03 13:00:00 UTC,Nantes,Troyes,Ligue 1 2021/2022,2,0,"0:0, 2:0",Stade de la Beaujoire,Nantes,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/nantes-troyes-4zjVzeXa/
2025-08-25 22:44:52 UTC,2021-11-28 14:00:00 UTC,Lorient,Rennes,Ligue 1 2021/2022,0,2,"0:0, 0:2",Stade du Moustoir,Lorient,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/lorient-rennes-dfMXCB6b/
2025-08-25 22:44:52 UTC,2022-02-27 14:00:00 UTC,Clermont,Bordeaux,Ligue 1 2021/2022,1,1,"1:1, 0:0",Stade Gabriel Montpied,Clermont-Ferrand,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/clermont-bordeaux-YZXuuq8s/
2025-08-25 22:46:37 UTC,2022-02-11 20:00:00 UTC,PSG,Rennes,Ligue 1 2021/2022,1,0,"0:0, 1:0",Parc des Princes,Paris,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/psg-rennes-Q77VY7o8/
2025-08-25 22:46:38 UTC,2022-02-20 19:45:00 UTC,Marseille,Clermont,Ligue 1 2021/2022,0,2,"0:1, 0:1",Stade Vélodrome,Marseille,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/marseille-clermont-fqD6Qqgl/
2025-08-25 22:46:59 UTC,2021-09-22 17:00:00 UTC,Nantes,Brest,Ligue 1 2021/2022,3,1,"1:0, 2:1",Stade de la Beaujoire,Nantes,France,[],https://www.oddsportal.com/football/france/ligue-1-2021-2022/nantes-brest-0UHkYG0J/
2025-08-25 22:47:36 UTC,2022-04-30 19:00:00 UTC,Rennes,St Etienne,Ligue 1 2021/2022,2,0,"1:0, 1:0",Roazhon Park,Rennes,France,"[{'odds_over': '1.51', 'odds_under': '2.75', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '1.41', 'odds_under': '2.99', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.40', 'odds_under': '2.97', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.45', 'odds_under': '2.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.44', 'odds_under': '2.60', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.45', 'odds_under': '2.81', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.49', 'odds_under': '2.75', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.54(1774)', 'odds_under': '2.80(225)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.54(1774)', 'odds_under': '2.80(225)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.54(1774)', 'odds_under': '2.80(225)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/france/ligue-1-2021-2022/rennes-st-etienne-4ds4V7ip/
