scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market,match_url
2025-08-26 01:15:56 UTC,2022-09-17 15:00:00 UTC,Montpellier,Strasbourg,Ligue 1 2022/2023,2,1,"1:0, 1:1",Stade de la Mosson,Montpellier,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/montpellier-strasbourg-UqjnuF5P/
2025-08-26 01:15:55 UTC,2023-02-26 16:05:00 UTC,Monaco,Nice,Ligue 1 2022/2023,0,3,"0:3, 0:0",Stade Louis II,Monaco,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/monaco-nice-jetZEnS0/
2025-08-26 01:15:56 UTC,2022-11-06 14:00:00 UTC,Nice,Brest,Ligue 1 2022/2023,1,0,"0:0, 1:0",Allianz Riviera,Nice,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/nice-brest-xh8r5dtn/
2025-08-26 01:15:56 UTC,2022-11-06 16:05:00 UTC,Lille,Rennes,Ligue 1 2022/2023,1,1,"1:0, 0:1",Stade Pierre-Mauroy,Villeneuve d'Ascq,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/lille-rennes-b19v6xRu/
2025-08-26 01:17:40 UTC,2023-05-07 13:00:00 UTC,Lorient,Brest,Ligue 1 2022/2023,2,1,"1:0, 1:1",Stade du Moustoir,Lorient,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/lorient-brest-zabRFsVp/
2025-08-26 01:18:21 UTC,2023-04-08 19:00:00 UTC,Nice,PSG,Ligue 1 2022/2023,0,2,"0:1, 0:1",Allianz Riviera,Nice,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/nice-psg-Icr9Lip9/
2025-08-26 01:18:20 UTC,2022-11-06 14:00:00 UTC,Clermont,Montpellier,Ligue 1 2022/2023,1,1,"0:1, 1:0",Stade Gabriel Montpied,Clermont-Ferrand,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/clermont-montpellier-YLhTbLJC/
2025-08-26 01:18:21 UTC,2023-04-01 19:00:00 UTC,Rennes,Lens,Ligue 1 2022/2023,0,1,"0:1, 0:0",Roazhon Park,Rennes,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/rennes-lens-0MBr5WaS/
2025-08-26 01:20:17 UTC,2022-11-12 20:00:00 UTC,Rennes,Toulouse,Ligue 1 2022/2023,2,1,"1:0, 1:1",Roazhon Park,Rennes,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/rennes-toulouse-QmeZDiPG/
2025-08-26 01:20:18 UTC,2022-10-02 18:45:00 UTC,Lens,Lyon,Ligue 1 2022/2023,1,0,"0:0, 1:0",Stade Bollaert-Delelis,Lens,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/lens-lyon-Eyj0nWCh/
2025-08-26 01:20:31 UTC,2023-06-03 19:00:00 UTC,Brest,Rennes,Ligue 1 2022/2023,1,2,"1:2, 0:0",Stade Francis-Le Blé,Brest,France,[],https://www.oddsportal.com/football/france/ligue-1-2022-2023/brest-rennes-W0AR993m/
