scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-30 22:55:47 UTC,2021-05-16 11:00:00 UTC,Hamilton,Kilmarnock,Premiership 2020/2021,0,2,"0:2, 0:0",ZLX Stadium,Hamilton,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hamilton-kilmarnock-23ktqNoo/
2025-08-30 22:55:47 UTC,2021-05-16 11:00:00 UTC,Motherwell,Ross County,Premiership 2020/2021,1,2,"1:0, 0:2",Fir Park,Motherwell,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/motherwell-ross-county-48TO76Oo/
2025-08-30 23:05:09 UTC,2021-05-01 14:00:00 UTC,Livingston,Aberdeen,Premiership 2020/2021,1,2,"0:0, 1:2",The Home of the Set Fare Arena,Livingston,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/livingston-aberdeen-rPy2V6LG/
2025-08-30 23:05:08 UTC,2021-05-01 14:00:00 UTC,Dundee Utd,Ross County,Premiership 2020/2021,0,2,"0:2, 0:0",Tannadice Park,Dundee,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/dundee-utd-ross-county-Iwf05D2m/
2025-08-30 23:06:57 UTC,2021-05-01 14:00:00 UTC,Motherwell,Kilmarnock,Premiership 2020/2021,2,0,"0:0, 2:0",Fir Park,Motherwell,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/motherwell-kilmarnock-C0g44XHg/
2025-08-30 23:06:57 UTC,2021-05-01 14:00:00 UTC,St. Mirren,Hamilton,Premiership 2020/2021,1,2,"0:1, 1:1",The SMISA Stadium,Paisley,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-mirren-hamilton-jih83iXa/
2025-08-30 23:11:05 UTC,2021-04-21 17:00:00 UTC,Hibernian,Livingston,Premiership 2020/2021,2,1,"2:0, 0:1",Easter Road,Edinburgh,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hibernian-livingston-d8ZkY8yb/
2025-08-30 23:11:05 UTC,2021-04-21 17:00:00 UTC,Hamilton,Motherwell,Premiership 2020/2021,0,1,"0:1, 0:0",ZLX Stadium,Hamilton,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hamilton-motherwell-K2EPBFPJ/
2025-08-30 23:13:11 UTC,2021-04-11 14:00:00 UTC,Rangers,Hibernian,Premiership 2020/2021,2,1,"1:0, 1:1",Ibrox Stadium,Glasgow,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/rangers-hibernian-29tszV6o/
2025-08-30 23:14:23 UTC,2021-04-10 14:00:00 UTC,St Johnstone,Aberdeen,Premiership 2020/2021,0,1,"0:0, 0:1",McDiarmid Park,Perth,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-johnstone-aberdeen-l6haBoUp/
2025-08-30 23:14:58 UTC,2021-04-10 14:00:00 UTC,Hamilton,Dundee Utd,Premiership 2020/2021,0,1,"0:1, 0:0",ZLX Stadium,Hamilton,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hamilton-dundee-utd-AXWYlhI6/
2025-08-30 23:17:55 UTC,2021-03-20 15:00:00 UTC,Dundee Utd,Aberdeen,Premiership 2020/2021,1,0,"0:0, 1:0",Tannadice Park,Dundee,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/dundee-utd-aberdeen-xUJPsHjC/
2025-08-30 23:20:13 UTC,2021-03-20 15:00:00 UTC,St Johnstone,Ross County,Premiership 2020/2021,1,0,"0:0, 1:0",McDiarmid Park,Perth,Scotland,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-johnstone-ross-county-OOOqmCSi/
