scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market,match_url
2025-08-25 13:50:03 UTC,2021-09-25 14:00:00 UTC,Motherwell,Ross County,Premiership 2021/2022,2,1,"1:1, 1:0",Fir Park,Motherwell,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/motherwell-ross-county-MLirjsaR/
2025-08-25 13:50:03 UTC,2021-12-22 19:45:00 UTC,St. Mirren,Celtic,Premiership 2021/2022,0,0,"0:0, 0:0",The SMISA Stadium,Paisley,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/st-mirren-celtic-dAMOtXM6/
2025-08-25 13:50:03 UTC,2022-01-26 19:45:00 UTC,St Johnstone,Dundee FC,Premiership 2021/2022,0,0,"0:0, 0:0",McDiarmid Park,Perth,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/st-johnstone-dundee-fc-vVTgdXwi/
2025-08-25 13:50:03 UTC,2022-03-19 15:00:00 UTC,St Johnstone,Motherwell,Premiership 2021/2022,2,1,"1:1, 1:0",McDiarmid Park,Perth,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/st-johnstone-motherwell-r3rXMilO/
2025-08-25 13:52:54 UTC,2021-12-08 19:45:00 UTC,Livingston,Hibernian,Premiership 2021/2022,1,0,"1:0, 0:0",The Home of the Set Fare Arena,Livingston,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/livingston-hibernian-pEil3QYp/
2025-08-25 13:52:56 UTC,2021-10-27 18:45:00 UTC,Dundee FC,Ross County,Premiership 2021/2022,0,5,"0:4, 0:1",Dens Park,Dundee,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/dundee-fc-ross-county-SfzPbBsa/
2025-08-25 13:52:54 UTC,2021-12-22 19:45:00 UTC,Hibernian,Aberdeen,Premiership 2021/2022,1,0,"0:0, 1:0",Easter Road,Edinburgh,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/hibernian-aberdeen-ERU7pFNs/
2025-08-25 13:52:56 UTC,2022-05-10 18:45:00 UTC,Dundee FC,Hibernian,Premiership 2021/2022,3,1,"1:1, 2:0",Dens Park,Dundee,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/dundee-fc-hibernian-UkDpJvaj/
2025-08-25 13:55:07 UTC,2022-02-20 12:00:00 UTC,Dundee Utd,Rangers,Premiership 2021/2022,1,1,"1:0, 0:1",Tannadice Park,Dundee,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/dundee-utd-rangers-v9KMK7M8/
2025-08-25 13:55:08 UTC,2022-02-01 19:45:00 UTC,Ross County,Aberdeen,Premiership 2021/2022,1,1,"0:0, 1:1",Global Energy Stadium,Dingwall,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/ross-county-aberdeen-fuqT8k6a/
2025-08-25 13:55:31 UTC,2021-08-29 14:00:00 UTC,St. Mirren,St Johnstone,Premiership 2021/2022,0,0,"0:0, 0:0",The SMISA Stadium,Paisley,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/st-mirren-st-johnstone-SYMfzGsp/
2025-08-25 13:55:31 UTC,2021-11-07 15:00:00 UTC,Rangers,Ross County,Premiership 2021/2022,4,2,"2:1, 2:1",Ibrox Stadium,Glasgow,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/rangers-ross-county-nJVWR9Bo/
2025-08-25 13:57:57 UTC,2021-08-21 14:00:00 UTC,Livingston,Motherwell,Premiership 2021/2022,1,2,"1:0, 0:2",The Home of the Set Fare Arena,Livingston,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/livingston-motherwell-2HKTLGSj/
2025-08-25 13:57:57 UTC,2022-05-06 18:45:00 UTC,Inverness,Partick Thistle,Premiership 2021/2022,1,0,"1:0, 0:0",Tulloch Caledonian Stadium,Inverness,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/inverness-partick-G8dxj6E2/
2025-08-25 13:58:08 UTC,2022-03-02 19:45:00 UTC,Dundee FC,Hibernian,Premiership 2021/2022,0,0,"0:0, 0:0",Dens Park,Dundee,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/dundee-fc-hibernian-nea5VOzR/
2025-08-25 13:58:08 UTC,2021-12-11 15:00:00 UTC,Dundee Utd,Livingston,Premiership 2021/2022,0,1,"0:0, 0:1",Tannadice Park,Dundee,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/dundee-utd-livingston-6L7tUgw1/
2025-08-25 13:59:46 UTC,2022-01-26 19:45:00 UTC,Rangers,Livingston,Premiership 2021/2022,1,0,"0:0, 1:0",Ibrox Stadium,Glasgow,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/rangers-livingston-zc3Dmuzi/
2025-08-25 13:59:47 UTC,2021-12-22 19:45:00 UTC,St Johnstone,Ross County,Premiership 2021/2022,1,2,"1:1, 0:1",McDiarmid Park,Perth,Scotland,"[{'odds_over': '4.45', 'odds_under': '1.21', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '4.40', 'odds_under': '1.18', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '4.40', 'odds_under': '1.18', 'bookmaker_name': '22Bet', 'period': 'FullTime'}]",https://www.oddsportal.com/football/scotland/premiership-2021-2022/st-johnstone-ross-county-Y79YVF8l/
2025-08-25 14:00:44 UTC,2022-03-05 15:00:00 UTC,Motherwell,Dundee FC,Premiership 2021/2022,1,1,"1:1, 0:0",Fir Park,Motherwell,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/motherwell-dundee-fc-bXm4Ty5t/
2025-08-25 14:00:59 UTC,2022-02-20 15:00:00 UTC,Celtic,Dundee FC,Premiership 2021/2022,3,2,"2:1, 1:1",Celtic Park,Glasgow,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/celtic-dundee-fc-0ILILm72/
2025-08-25 14:01:00 UTC,2022-05-14 11:15:00 UTC,Hearts,Rangers,Premiership 2021/2022,1,3,"1:2, 0:1",Tynecastle Park,Edinburgh,Scotland,"[{'odds_over': '2.20', 'odds_under': '1.67', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '2.19', 'odds_under': '1.68', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.19', 'odds_under': '1.68', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '2.19', 'odds_under': '1.74', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.21', 'odds_under': '1.72', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.15', 'odds_under': '1.65', 'bookmaker_name': 'VOBET', 'period': 'FullTime'}]",https://www.oddsportal.com/football/scotland/premiership-2021-2022/hearts-rangers-MLBzBs7T/
2025-08-25 14:01:21 UTC,2022-02-06 16:00:00 UTC,Rangers,Hearts,Premiership 2021/2022,5,0,"1:0, 4:0",Ibrox Stadium,Glasgow,Scotland,"[{'odds_over': '2.17', 'odds_under': '1.69', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '2.15', 'odds_under': '1.70', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.15', 'odds_under': '1.70', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '2.20', 'odds_under': '1.73', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.22', 'odds_under': '1.71', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]",https://www.oddsportal.com/football/scotland/premiership-2021-2022/rangers-hearts-04tp7lh9/
2025-08-25 14:01:24 UTC,2021-11-27 15:00:00 UTC,Dundee FC,Motherwell,Premiership 2021/2022,3,0,"2:0, 1:0",Dens Park,Dundee,Scotland,"[{'odds_over': '3.30', 'odds_under': '1.33', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '3.20', 'odds_under': '1.35', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '3.20', 'odds_under': '1.35', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '3.32', 'odds_under': '1.33', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.98', 'odds_under': '1.43', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]",https://www.oddsportal.com/football/scotland/premiership-2021-2022/dundee-fc-motherwell-KW5WF3Ij/
2025-08-25 14:01:55 UTC,2021-10-30 14:00:00 UTC,Dundee Utd,St Johnstone,Premiership 2021/2022,0,1,"0:1, 0:0",Tannadice Park,Dundee,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/dundee-utd-st-johnstone-tb0bDAdh/
2025-08-25 14:02:06 UTC,2021-12-26 15:00:00 UTC,Hearts,Ross County,Premiership 2021/2022,2,1,"2:0, 0:1",Tynecastle Park,Edinburgh,Scotland,"[{'odds_over': '2.37', 'odds_under': '1.58', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '2.38', 'odds_under': '1.58', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.38', 'odds_under': '1.58', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '2.35', 'odds_under': '1.64', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.42', 'odds_under': '1.61', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]",https://www.oddsportal.com/football/scotland/premiership-2021-2022/hearts-ross-county-6u4F3fUJ/
2025-08-25 14:03:16 UTC,2021-10-27 18:45:00 UTC,Livingston,Dundee Utd,Premiership 2021/2022,1,1,"1:1, 0:0",The Home of the Set Fare Arena,Livingston,Scotland,"[{'odds_over': '4.20', 'odds_under': '1.23', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '4.20', 'odds_under': '1.23', 'bookmaker_name': '22Bet', 'period': 'FullTime'}]",https://www.oddsportal.com/football/scotland/premiership-2021-2022/livingston-dundee-utd-zLwXdkCB/
2025-08-25 14:04:18 UTC,2021-12-18 15:00:00 UTC,Motherwell,St Johnstone,Premiership 2021/2022,2,0,"1:0, 1:0",Fir Park,Motherwell,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2021-2022/motherwell-st-johnstone-0rTFrghf/
