scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_5_market,match_url
2025-08-25 16:50:58 UTC,2024-02-06 20:00:00 UTC,Rangers,Aberdeen,Premiership 2023/2024,2,1,"1:1, 1:0",Ibrox Stadium,Glasgow,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/rangers-aberdeen-xvs6E9EM/
2025-08-25 16:50:58 UTC,2024-01-27 15:00:00 UTC,St Johnstone,Motherwell,Premiership 2023/2024,1,1,"1:1, 0:0",McDiarmid Park,Perth,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/st-johnstone-motherwell-279K2CFA/
2025-08-25 16:50:57 UTC,2023-09-16 14:00:00 UTC,Motherwell,St. Mirren,Premiership 2023/2024,0,1,"0:0, 0:1",Fir Park,Motherwell,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/motherwell-st-mirren-U1LEno7M/
2025-08-25 16:50:58 UTC,2024-04-06 14:00:00 UTC,Livingston,Aberdeen,Premiership 2023/2024,0,0,"0:0, 0:0",The Home of the Set Fare Arena,Livingston,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/livingston-aberdeen-IZ9AUtMH/
2025-08-25 16:54:17 UTC,2024-04-27 14:00:00 UTC,Kilmarnock,Hearts,Premiership 2023/2024,0,0,"0:0, 0:0",Rugby Park,Kilmarnock,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/kilmarnock-hearts-WEkgB07N/
2025-08-25 16:54:14 UTC,2023-08-26 14:00:00 UTC,Motherwell,Kilmarnock,Premiership 2023/2024,2,1,"0:1, 2:0",Fir Park,Motherwell,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/motherwell-kilmarnock-6a8OyUh4/
2025-08-25 16:54:13 UTC,2023-12-06 19:45:00 UTC,Celtic,Hibernian,Premiership 2023/2024,4,1,"2:0, 2:1",Celtic Park,Glasgow,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/celtic-hibernian-bgDF9QR1/
2025-08-25 16:54:15 UTC,2024-02-24 15:00:00 UTC,Kilmarnock,Aberdeen,Premiership 2023/2024,2,0,"1:0, 1:0",Rugby Park,Kilmarnock,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/kilmarnock-aberdeen-lbSuRnbS/
2025-08-25 16:56:12 UTC,2024-05-18 11:30:00 UTC,Dundee FC,Kilmarnock,Premiership 2023/2024,1,1,"1:1, 0:0",Dens Park,Dundee,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/dundee-fc-kilmarnock-A5ASPaMG/
2025-08-25 16:56:13 UTC,2024-05-05 12:00:00 UTC,Rangers,Kilmarnock,Premiership 2023/2024,4,1,"1:1, 3:0",Ibrox Stadium,Glasgow,Scotland,[],https://www.oddsportal.com/football/scotland/premiership-2023-2024/rangers-kilmarnock-pOIxH4wn/
