scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market,match_url
2025-08-25 21:08:58 UTC,2019-09-14 16:00:00 UTC,Napoli,Sampdoria,Serie A 2019/2020,2,0,"1:0, 1:0",Stadio Diego Armando Maradona,Naples,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/napoli-sampdoria-tIb2G33P/
2025-08-25 21:09:00 UTC,2020-07-01 19:45:00 UTC,Fiorentina,Sassuolo,Serie A 2019/2020,1,3,"0:2, 1:1",Stadio Artemio Franchi,Florence,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/fiorentina-sassuolo-f9UBDab5/
2025-08-25 21:08:58 UTC,2020-02-22 14:00:00 UTC,Bologna,Udinese,Serie A 2019/2020,1,1,"0:1, 1:0",Stadio Renato Dall'Ara,Bologna,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/bologna-udinese-hQBCfQzT/
2025-08-25 21:09:01 UTC,2020-07-28 19:45:00 UTC,Inter,Napoli,Serie A 2019/2020,2,0,"1:0, 1:0",Stadio Giuseppe Meazza (San Siro),Milan,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/inter-napoli-zLuhL5I4/
2025-08-25 21:10:57 UTC,2020-02-22 17:00:00 UTC,Spal,Juventus,Serie A 2019/2020,1,2,"0:1, 1:1",Stadio Paolo Mazza,Ferrara,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/spal-juventus-xhv1xREp/
2025-08-25 21:10:57 UTC,2020-01-12 17:15:00 UTC,Verona,Genoa,Serie A 2019/2020,2,1,"0:1, 2:0",Stadio Marc'Antonio Bentegodi,Verona,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/verona-genoa-fcCSqFLH/
2025-08-25 21:11:12 UTC,2019-09-28 18:45:00 UTC,Sassuolo,Atalanta,Serie A 2019/2020,1,4,"0:4, 1:0",Mapei Stadium – Città del Tricolore,Reggio Emilia,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/sassuolo-atalanta-xK4TyQmg/
2025-08-25 21:11:11 UTC,2020-07-12 17:30:00 UTC,Parma,Bologna,Serie A 2019/2020,2,2,"0:2, 2:0",Stadio Ennio Tardini,Parma,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/parma-bologna-f7P3WD4p/
2025-08-25 21:13:34 UTC,2020-02-02 17:00:00 UTC,Lecce,Torino,Serie A 2019/2020,4,0,"2:0, 2:0",Stadio Via del Mare,Lecce,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/lecce-torino-OhhCVI10/
2025-08-25 21:13:34 UTC,2019-10-31 20:00:00 UTC,AC Milan,Spal,Serie A 2019/2020,1,0,"0:0, 1:0",Stadio Giuseppe Meazza (San Siro),Milan,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2019-2020/ac-milan-spal-zyvFyxB7/
