scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_5_market,match_url
2025-08-26 09:25:12 UTC,2025-05-04 18:45:00 UTC,Bologna,Juventus,Serie A 2024/2025,1,1,"0:1, 1:0",Stadio Renato Dall'Ara,Bologna,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/bologna-juventus-lYYCCxlD/
2025-08-26 09:25:13 UTC,2025-04-28 16:30:00 UTC,Udinese,Bologna,Serie A 2024/2025,0,0,"0:0, 0:0",Bluenergy Stadium - Stadio Friuli,Udine,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/udinese-bologna-ptxdGKll/
2025-08-26 09:25:14 UTC,2024-11-03 17:00:00 UTC,Verona,AS Roma,Serie A 2024/2025,3,2,"2:1, 1:1",Stadio Marc'Antonio Bentegodi,Verona,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/verona-as-roma-WvkEqfS8/
2025-08-26 09:25:13 UTC,2025-04-20 18:45:00 UTC,AC Milan,Atalanta,Serie A 2024/2025,0,1,"0:0, 0:1",Stadio Giuseppe Meazza (San Siro),Milan,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/ac-milan-atalanta-lWu8jzAd/
2025-08-26 09:27:15 UTC,2024-11-10 14:00:00 UTC,Fiorentina,Verona,Serie A 2024/2025,3,1,"1:1, 2:0",Stadio Artemio Franchi,Florence,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/fiorentina-verona-hU52hOAt/
2025-08-26 09:27:08 UTC,2025-04-06 13:00:00 UTC,Empoli,Cagliari,Serie A 2024/2025,0,0,"0:0, 0:0",Stadio Carlo Castellani,Empoli,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/empoli-cagliari-rgFMRgyR/
2025-08-26 09:27:10 UTC,2025-03-01 19:45:00 UTC,Udinese,Parma,Serie A 2024/2025,1,0,"1:0, 0:0",Bluenergy Stadium - Stadio Friuli,Udine,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/udinese-parma-rLXdwBHk/
2025-08-26 09:27:14 UTC,2025-03-14 19:45:00 UTC,Genoa,Lecce,Serie A 2024/2025,2,1,"2:0, 0:1",Stadio Luigi Ferraris,Genoa,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/genoa-lecce-IVmk4vM5/
2025-08-26 09:29:07 UTC,2024-09-16 16:30:00 UTC,Parma,Udinese,Serie A 2024/2025,2,3,"2:0, 0:3",Stadio Ennio Tardini,Parma,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/parma-udinese-WIJkQBF8/
2025-08-26 09:29:03 UTC,2025-03-30 18:45:00 UTC,Napoli,AC Milan,Serie A 2024/2025,2,1,"2:0, 0:1",Stadio Diego Armando Maradona,Naples,Italy,[],https://www.oddsportal.com/football/italy/serie-a-2024-2025/napoli-ac-milan-tASB9fFr/
2025-08-26 09:29:01 UTC,2025-02-16 19:45:00 UTC,Juventus,Inter,Serie A 2024/2025,1,0,"0:0, 1:0",Allianz Stadium,Turin,Italy,"[{'odds_over': '3.92', 'odds_under': '1.29', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '3.50', 'odds_under': '1.33', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '3.44', 'odds_under': '1.31', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '3.92', 'odds_under': '1.28', 'bookmaker_name': 'Alphabet', 'period': 'FullTime'}, {'odds_over': '3.51', 'odds_under': '1.33', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'odds_over': '3.50', 'odds_under': '1.33', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'odds_over': '3.40', 'odds_under': '1.28', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '3.50', 'odds_under': '1.33', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'odds_over': '3.27', 'odds_under': '1.26', 'bookmaker_name': 'Duelbits', 'period': 'FullTime'}, {'odds_over': '3.70', 'odds_under': '1.27', 'bookmaker_name': 'GambleCity', 'period': 'FullTime'}, {'odds_over': '3.50', 'odds_under': '1.33', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '4.00', 'odds_under': '1.29', 'bookmaker_name': 'VOBET', 'period': 'FullTime'}, {'odds_over': '3.80(347)', 'odds_under': '1.34(4592)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.80(347)', 'odds_under': '1.34(4592)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.80(347)', 'odds_under': '1.34(4592)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2024-2025/juventus-inter-WIHfs2d2/
2025-08-26 09:29:05 UTC,2024-10-05 16:00:00 UTC,Atalanta,Genoa,Serie A 2024/2025,5,1,"1:0, 4:1",Gewiss Stadium,Bergamo,Italy,"[{'odds_over': '2.75', 'odds_under': '1.50', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '2.69', 'odds_under': '1.50', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.66', 'odds_under': '1.48', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '2.60', 'odds_under': '1.47', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '2.70', 'odds_under': '1.50', 'bookmaker_name': 'Alphabet', 'period': 'FullTime'}, {'odds_over': '2.59', 'odds_under': '1.54', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'odds_over': '2.45', 'odds_under': '1.49', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '2.63', 'odds_under': '1.53', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.59', 'odds_under': '1.55', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.75', 'odds_under': '1.51', 'bookmaker_name': 'VOBET', 'period': 'FullTime'}, {'odds_over': '2.72(15)', 'odds_under': '1.57(600)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.72(15)', 'odds_under': '1.57(600)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.72(15)', 'odds_under': '1.57(600)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2024-2025/atalanta-genoa-EB8yv2aJ/
2025-08-26 09:30:12 UTC,2025-02-02 11:30:00 UTC,Juventus,Empoli,Serie A 2024/2025,4,1,"0:1, 4:0",Allianz Stadium,Turin,Italy,"[{'odds_over': '2.91', 'odds_under': '1.43', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '2.88', 'odds_under': '1.42', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '3.92', 'odds_under': '1.28', 'bookmaker_name': 'Alphabet', 'period': 'FullTime'}, {'odds_over': '3.03', 'odds_under': '1.41', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'odds_over': '2.75', 'odds_under': '1.40', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '3.02', 'odds_under': '1.41', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'odds_over': '2.96', 'odds_under': '1.43', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.90', 'odds_under': '1.40', 'bookmaker_name': 'Duelbits', 'period': 'FullTime'}, {'odds_over': '3.04', 'odds_under': '1.41', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '3.73', 'odds_under': '1.32', 'bookmaker_name': 'VOBET', 'period': 'FullTime'}, {'odds_over': '3.15(170)', 'odds_under': '1.46(163)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.15(170)', 'odds_under': '1.46(163)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.15(170)', 'odds_under': '1.46(163)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2024-2025/juventus-empoli-t0ciuOTg/
2025-08-26 09:30:16 UTC,2025-03-29 14:00:00 UTC,Como,Empoli,Serie A 2024/2025,1,1,"0:0, 1:1",Stadio Giuseppe Sinigaglia,Como,Italy,"[{'odds_over': '3.60', 'odds_under': '1.33', 'bookmaker_name': '10x10bet', 'period': 'FullTime'}, {'odds_over': '3.50', 'odds_under': '1.33', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '3.44', 'odds_under': '1.31', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '3.58', 'odds_under': '1.32', 'bookmaker_name': 'Alphabet', 'period': 'FullTime'}, {'odds_over': '3.55', 'odds_under': '1.29', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'odds_over': '2.95', 'odds_under': '1.35', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'odds_over': '3.10', 'odds_under': '1.33', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '3.37', 'odds_under': '1.35', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'odds_over': '3.38', 'odds_under': '1.31', 'bookmaker_name': 'Duelbits', 'period': 'FullTime'}, {'odds_over': '3.45', 'odds_under': '1.31', 'bookmaker_name': 'GambleCity', 'period': 'FullTime'}, {'odds_over': '3.30', 'odds_under': '1.36', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '3.65', 'odds_under': '1.33', 'bookmaker_name': 'VOBET', 'period': 'FullTime'}, {'odds_over': '3.65(377)', 'odds_under': '1.36(3987)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.65(377)', 'odds_under': '1.36(3987)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '3.65(377)', 'odds_under': '1.36(3987)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/italy/serie-a-2024-2025/como-empoli-QZcmHoHi/
