scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-26 14:28:43 UTC,2020-09-25 18:00:00 UTC,Twente,Groningen,Eredivisie 2020/2021,3,1,"2:0, 1:1",De Grolsch Veste,Enschede,Netherlands,[],https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/twente-groningen-priivvKb/
2025-08-26 14:28:49 UTC,2020-10-03 14:30:00 UTC,Vitesse,Heracles,Eredivisie 2020/2021,3,0,"2:0, 1:0",GelreDome,Arnhem,Netherlands,[],https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/vitesse-heracles-6T5ZwVPF/
2025-08-26 14:28:47 UTC,2020-12-20 11:15:00 UTC,Vitesse,Feyenoord,Eredivisie 2020/2021,1,0,"1:0, 0:0",GelreDome,Arnhem,Netherlands,[],https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/vitesse-feyenoord-KhmcPpTC/
2025-08-26 14:28:51 UTC,2021-01-31 15:45:00 UTC,AZ Alkmaar,Ajax,Eredivisie 2020/2021,0,3,"0:1, 0:2",AFAS Stadion,Alkmaar,Netherlands,[],https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/az-alkmaar-ajax-AuFjNFJm/
2025-08-26 14:29:46 UTC,2021-02-14 13:30:00 UTC,Feyenoord,Willem II,Eredivisie 2020/2021,5,0,"1:0, 4:0",De Kuip,Rotterdam,Netherlands,[],https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/feyenoord-willem-ii-by2sWA2I/
2025-08-26 14:30:15 UTC,2021-03-21 15:45:00 UTC,Heracles,Sparta Rotterdam,Eredivisie 2020/2021,1,1,"0:0, 1:1",Asito Stadium,Almelo,Netherlands,[],https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/heracles-sparta-rotterdam-phMB8A5m/
2025-08-26 14:30:46 UTC,2020-12-13 11:15:00 UTC,Vitesse,Heerenveen,Eredivisie 2020/2021,1,1,"1:0, 0:1",GelreDome,Arnhem,Netherlands,"[{'odds_over': '1.57', 'odds_under': '2.56', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.57', 'odds_under': '2.56', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.56', 'odds_under': '2.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.53', 'odds_under': '2.35', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.51', 'odds_under': '2.63', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.54', 'odds_under': '2.60', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.60(160)', 'odds_under': '2.62(464)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.60(160)', 'odds_under': '2.62(464)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.60(160)', 'odds_under': '2.62(464)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/vitesse-heerenveen-h42CnHU8/
2025-08-26 14:30:56 UTC,2020-12-13 13:30:00 UTC,Willem II,Sparta Rotterdam,Eredivisie 2020/2021,1,3,"0:2, 1:1",Koning Willem II Stadion,Tilburg,Netherlands,"[{'odds_over': '1.83', 'odds_under': '2.08', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.83', 'odds_under': '2.08', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.78', 'odds_under': '2.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.75', 'odds_under': '1.95', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.86', 'odds_under': '2.04', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.88', 'odds_under': '2.02', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.91(17)', 'odds_under': '2.08(19)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.91(17)', 'odds_under': '2.08(19)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.91(17)', 'odds_under': '2.08(19)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/willem-ii-sparta-rotterdam-nR1GoypF/
2025-08-26 14:31:00 UTC,2021-02-28 15:45:00 UTC,AZ Alkmaar,Feyenoord,Eredivisie 2020/2021,4,2,"2:2, 2:0",AFAS Stadion,Alkmaar,Netherlands,"[{'odds_over': '1.50', 'odds_under': '2.77', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.50', 'odds_under': '2.77', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.40', 'odds_under': '2.90', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.49', 'odds_under': '2.71', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'odds_over': '1.45', 'odds_under': '2.55', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.42', 'odds_under': '2.92', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.45', 'odds_under': '2.88', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.52(12)', 'odds_under': '2.90(36)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.52(12)', 'odds_under': '2.90(36)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.52(12)', 'odds_under': '2.90(36)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/az-alkmaar-feyenoord-C62zva0d/
2025-08-26 14:31:15 UTC,2020-09-19 14:30:00 UTC,AZ Alkmaar,Zwolle,Eredivisie 2020/2021,1,1,"0:1, 1:0",AFAS Stadion,Alkmaar,Netherlands,"[{'odds_over': '1.50', 'odds_under': '2.63', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.50', 'odds_under': '2.63', 'bookmaker_name': '22Bet', 'period': 'FullTime'}, {'odds_over': '1.47', 'odds_under': '2.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.48', 'odds_under': '2.45', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.47', 'odds_under': '2.75', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.49', 'odds_under': '2.74', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.56(136)', 'odds_under': '2.74(24)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.56(136)', 'odds_under': '2.74(24)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.56(136)', 'odds_under': '2.74(24)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/az-alkmaar-zwolle-4OVHPv55/
