scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-31 00:38:48 UTC,2021-05-22 16:00:00 UTC,Osasuna,Real Sociedad,LaLiga 2020/2021,0,1,"0:0, 0:1",Estadio El Sadar,Pamplona,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/osasuna-real-sociedad-pOtQ4Gs1/
2025-08-31 00:38:48 UTC,2021-05-22 16:00:00 UTC,Real Madrid,Villarreal,LaLiga 2020/2021,2,1,"0:1, 2:0",Alfredo di Stéfano Stadium,Madrid,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/real-madrid-villarreal-votU3zc7/
2025-08-31 00:41:47 UTC,2021-05-16 16:30:00 UTC,Alaves,Granada CF,LaLiga 2020/2021,4,2,"2:1, 2:1",Estadio Mendizorrotza,Vitoria-Gasteiz,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/alaves-granada-cf-v3Za01jF/
2025-08-31 00:41:48 UTC,2021-05-16 16:30:00 UTC,Ath Bilbao,Real Madrid,LaLiga 2020/2021,0,1,"0:0, 0:1",Estadio San Mamés,Bilbao,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/ath-bilbao-real-madrid-IgY3aL5L/
2025-08-31 00:44:45 UTC,2021-05-16 16:30:00 UTC,Betis,Huesca,LaLiga 2020/2021,1,0,"0:0, 1:0",Estadio Benito Villamarín,Sevilla,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/betis-huesca-GrTwgJrk/
2025-08-31 00:44:44 UTC,2021-05-16 16:30:00 UTC,Cadiz CF,Elche,LaLiga 2020/2021,1,3,"1:0, 0:3",Estadio Nuevo Mirandilla,Cadiz,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/cadiz-elche-CAMnicD1/
2025-08-31 00:46:52 UTC,2021-05-16 16:30:00 UTC,Getafe,Levante,LaLiga 2020/2021,2,1,"1:1, 1:0",Coliseum,Getafe,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/getafe-levante-fZRshwbe/
2025-08-31 00:46:51 UTC,2021-05-16 16:30:00 UTC,Real Sociedad,Valladolid,LaLiga 2020/2021,4,1,"4:0, 0:1",Reale Arena,San Sebastian,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/real-sociedad-valladolid-j1LjjHS7/
2025-08-31 00:50:22 UTC,2021-05-13 17:00:00 UTC,Valladolid,Villarreal,LaLiga 2020/2021,0,2,"0:0, 0:2",Estadio José Zorrilla,Valladolid,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/valladolid-villarreal-WxWi2NL2/
2025-08-31 00:50:22 UTC,2021-05-12 20:00:00 UTC,Atl. Madrid,Real Sociedad,LaLiga 2020/2021,2,1,"2:0, 0:1",Metropolitano Stadium,Madrid,Spain,https://www.oddsportal.com/football/spain/laliga-2020-2021/atl-madrid-real-sociedad-IF7O0Apb/
