scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_0_market
2025-08-22 20:24:23 UTC,2022-02-06 13:30:00 UTC,Willem II,Waalwijk,Eredivisie 2021/2022,3,1,"3:0, 0:1",Koning Willem II Stadion,Tilburg,Netherlands,"[{""odds_over"": ""2.5"", ""odds_under"": ""1.49"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 20:24:24 UTC,2021-12-19 13:30:00 UTC,G.A. Eagles,Nijmegen,Eredivisie 2021/2022,0,2,"0:2, 0:0",De Adelaarshorst,Deventer,Netherlands,"[{""odds_over"": ""2.75"", ""odds_under"": ""1.41"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 20:24:44 UTC,2021-12-02 17:45:00 UTC,AZ Alkmaar,Sittard,Eredivisie 2021/2022,2,1,"1:1, 1:0",AFAS Stadion,Alkmaar,Netherlands,"[{""odds_over"": ""1.54"", ""odds_under"": ""2.35"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 20:24:45 UTC,2021-10-17 10:15:00 UTC,AZ Alkmaar,Utrecht,Eredivisie 2021/2022,5,1,"3:0, 2:1",AFAS Stadion,Alkmaar,Netherlands,"[{""odds_over"": ""1.98"", ""odds_under"": ""1.78"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 20:25:08 UTC,2022-05-11 18:00:00 UTC,Twente,Groningen,Eredivisie 2021/2022,3,0,"1:0, 2:0",De Grolsch Veste,Enschede,Netherlands,"[{""odds_over"": ""2.38"", ""odds_under"": ""1.59"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.4"", ""odds_under"": ""1.53"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 20:25:09 UTC,2021-08-20 18:00:00 UTC,Nijmegen,Zwolle,Eredivisie 2021/2022,2,0,"2:0, 0:0",Goffertstadion,Nijmegen,Netherlands,"[{""odds_over"": ""2.45"", ""odds_under"": ""1.51"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 20:25:30 UTC,2021-12-18 17:45:00 UTC,Sparta Rotterdam,Vitesse,Eredivisie 2021/2022,2,2,"0:2, 2:0",Sparta Stadion Het Kasteel,Rotterdam,Netherlands,"[{""odds_over"": ""3.1"", ""odds_under"": ""1.34"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 20:25:31 UTC,2022-04-23 14:30:00 UTC,Nijmegen,Ajax,Eredivisie 2021/2022,0,1,"0:0, 0:1",Goffertstadion,Nijmegen,Netherlands,"[{""odds_over"": ""1.56"", ""odds_under"": ""2.51"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""1.53"", ""odds_under"": ""2.4"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 20:25:52 UTC,2021-11-28 19:00:00 UTC,Vitesse,AZ Alkmaar,Eredivisie 2021/2022,0,0,"0:0, 0:0",GelreDome,Arnhem,Netherlands,"[{""odds_over"": ""2.6"", ""odds_under"": ""1.46"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 20:25:53 UTC,2022-01-22 20:00:00 UTC,Willem II,Twente,Eredivisie 2021/2022,0,1,"0:1, 0:0",Koning Willem II Stadion,Tilburg,Netherlands,"[{""odds_over"": ""3.15"", ""odds_under"": ""1.33"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
