scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_5_market
2025-08-18 21:18:35 UTC,2019-08-16 18:30:00 UTC,Bayern Munich,Hertha Berlin,Bundesliga 2019/2020,2,2,"1:2, 1:0",Allianz Arena,Munich,Germany,"[{'odds_over': '1.79', 'odds_under': '2.07', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.86', 'odds_under': '2.03', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.77', 'odds_under': '2.05', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.80', 'odds_under': '2.05', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-18 21:21:03 UTC,2019-08-17 13:30:00 UTC,Dortmund,Augsburg,Bundesliga 2019/2020,5,1,"1:1, 4:0",Signal Iduna Park,Dortmund,Germany,"[{'odds_over': '1.85', 'odds_under': '2.00', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.91', 'odds_under': '1.97', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.83', 'odds_under': '1.97', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.85', 'odds_under': '1.95', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-18 21:22:11 UTC,2019-08-17 13:30:00 UTC,Wolfsburg,FC Koln,Bundesliga 2019/2020,2,1,"1:0, 1:1",Volkswagen Arena,Wolfsburg,Germany,"[{'odds_over': '2.60', 'odds_under': '1.52', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '2.78', 'odds_under': '1.49', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.65', 'odds_under': '1.46', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '2.60', 'odds_under': '1.50', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-18 21:30:47 UTC,2019-08-17 13:30:00 UTC,Freiburg,Mainz,Bundesliga 2019/2020,3,0,"0:0, 3:0",Dreisamstadion,Freiburg,Germany,"[{'odds_over': '3.35', 'odds_under': '1.35', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '3.40', 'odds_under': '1.35', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.25', 'odds_under': '1.34', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '3.30', 'odds_under': '1.35', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-18 21:33:18 UTC,2019-08-17 13:30:00 UTC,Bayer Leverkusen,Paderborn,Bundesliga 2019/2020,3,2,"2:2, 1:0",BayArena,Leverkusen,Germany,"[{'odds_over': '1.72', 'odds_under': '2.18', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '1.78', 'odds_under': '2.13', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '1.70', 'odds_under': '2.13', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '1.70', 'odds_under': '2.15', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-18 21:34:01 UTC,2019-08-17 13:30:00 UTC,Werder Bremen,Dusseldorf,Bundesliga 2019/2020,1,3,"0:1, 1:2",Weserstadion,Bremen,Germany,"[{'odds_over': '2.55', 'odds_under': '1.54', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '2.65', 'odds_under': '1.53', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.55', 'odds_under': '1.49', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '2.50', 'odds_under': '1.55', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-18 21:50:09 UTC,2019-08-17 16:30:00 UTC,B. Monchengladbach,Schalke,Bundesliga 2019/2020,0,0,"0:0, 0:0",Borussia-Park,Mönchengladbach,Germany,"[{'odds_over': '3.10', 'odds_under': '1.39', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '3.15', 'odds_under': '1.41', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.15', 'odds_under': '1.36', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '3.05', 'odds_under': '1.40', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-18 21:54:04 UTC,2019-08-18 13:30:00 UTC,Eintracht Frankfurt,Hoffenheim,Bundesliga 2019/2020,1,0,"1:0, 0:0",Deutsche Bank Park,Frankfurt,Germany,"[{'odds_over': '2.23', 'odds_under': '1.69', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '2.35', 'odds_under': '1.65', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.20', 'odds_under': '1.66', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '2.20', 'odds_under': '1.70', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-18 21:32:55 UTC,2019-08-18 16:00:00 UTC,Union Berlin,RB Leipzig,Bundesliga 2019/2020,0,4,"0:3, 0:1",Stadion An der Alten Försterei,Berlin,Germany,"[{'odds_over': '2.60', 'odds_under': '1.53', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '2.73', 'odds_under': '1.50', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.65', 'odds_under': '1.48', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '2.55', 'odds_under': '1.50', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-18 22:01:13 UTC,2019-08-23 18:30:00 UTC,FC Koln,Dortmund,Bundesliga 2019/2020,1,3,"1:0, 0:3",RheinEnergieStadion,Cologne,Germany,"[{'odds_over': '2.10', 'odds_under': '1.77', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '2.10', 'odds_under': '1.80', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.06', 'odds_under': '1.76', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '2.10', 'odds_under': '1.75', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
