scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-30 20:23:30 UTC,2021-05-22 13:30:00 UTC,Dortmund,Bayer Leverkusen,Bundesliga 2020/2021,3,1,"1:0, 2:1",Signal Iduna Park,Dortmund,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/dortmund-bayer-leverkusen-6qbU6NLd/
2025-08-30 20:23:30 UTC,2021-05-22 13:30:00 UTC,Eintracht Frankfurt,Freiburg,Bundesliga 2020/2021,3,1,"0:0, 3:1",Deutsche Bank Park,Frankfurt,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/eintracht-frankfurt-freiburg-I1Au4L5F/
2025-08-30 20:25:19 UTC,2021-05-22 13:30:00 UTC,Hoffenheim,Hertha Berlin,Bundesliga 2020/2021,2,1,"0:1, 2:0",PreZero Arena,Sinsheim,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/hoffenheim-hertha-berlin-pzcY5sy3/
2025-08-30 20:25:18 UTC,2021-05-22 13:30:00 UTC,Union Berlin,RB Leipzig,Bundesliga 2020/2021,2,1,"0:0, 2:1",Stadion An der Alten Försterei,Berlin,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/union-berlin-rb-leipzig-0Qap3uLL/
2025-08-30 20:27:44 UTC,2021-05-22 13:30:00 UTC,Stuttgart,Arminia Bielefeld,Bundesliga 2020/2021,0,2,"0:0, 0:2",MHPArena,Stuttgart,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/vfb-stuttgart-arminia-bielefeld-AakKdwbk/
2025-08-30 20:27:34 UTC,2021-05-22 13:30:00 UTC,Werder Bremen,B. Monchengladbach,Bundesliga 2020/2021,2,4,"0:1, 2:3",Weserstadion,Bremen,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/werder-bremen-b-monchengladbach-W8jGcJrq/
2025-08-30 20:28:57 UTC,2021-05-22 13:30:00 UTC,Wolfsburg,Mainz,Bundesliga 2020/2021,2,3,"0:1, 2:2",Volkswagen Arena,Wolfsburg,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/wolfsburg-mainz-vBBy51j9/
2025-08-30 20:30:05 UTC,2021-05-15 13:30:00 UTC,Arminia Bielefeld,Hoffenheim,Bundesliga 2020/2021,1,1,"1:1, 0:0",Schüco Arena,Bielefeld,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/arminia-bielefeld-hoffenheim-l8TqaB2j/
2025-08-30 20:31:42 UTC,2021-05-15 13:30:00 UTC,Bayer Leverkusen,Union Berlin,Bundesliga 2020/2021,1,1,"1:0, 0:1",BayArena,Leverkusen,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/bayer-leverkusen-union-berlin-jDoc8Fu4/
2025-08-30 20:32:04 UTC,2021-05-15 13:30:00 UTC,Freiburg,Bayern Munich,Bundesliga 2020/2021,2,2,"1:1, 1:1",Dreisamstadion,Freiburg,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/freiburg-bayern-munich-2mk17ZfA/
2025-08-30 20:34:27 UTC,2021-05-09 16:00:00 UTC,Hertha Berlin,Arminia Bielefeld,Bundesliga 2020/2021,0,0,"0:0, 0:0",Olympiastadion,Berlin,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/hertha-berlin-arminia-bielefeld-r7OVifeN/
2025-08-30 20:35:20 UTC,2021-05-09 11:30:00 UTC,FC Koln,Freiburg,Bundesliga 2020/2021,1,4,"0:2, 1:2",RheinEnergieStadion,Cologne,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/1-fc-koln-freiburg-dASZjEAT/
2025-08-30 20:36:08 UTC,2021-05-08 16:30:00 UTC,Bayern Munich,B. Monchengladbach,Bundesliga 2020/2021,6,0,"4:0, 2:0",Allianz Arena,Munich,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/bayern-munich-b-monchengladbach-dUAIdIth/
2025-08-30 20:37:26 UTC,2021-05-08 13:30:00 UTC,Dortmund,RB Leipzig,Bundesliga 2020/2021,3,2,"1:0, 2:2",Signal Iduna Park,Dortmund,Germany,https://www.oddsportal.com/football/germany/bundesliga-2020-2021/dortmund-rb-leipzig-jiAMexdb/
