scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market
2025-08-20 10:41:14 UTC,2020-09-19 16:00:00 UTC,Fiorentina,Torino,Serie A 2020/2021,1,0,"0:0, 1:0",Stadio Artemio Franchi,Florence,Italy,"[{'odds_over': '2.30', 'odds_under': '1.58', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:42:40 UTC,2020-09-19 18:45:00 UTC,Verona,AS Roma,Serie A 2020/2021,,,,Stadio Marc'Antonio Bentegodi,Verona,Italy,"[{'odds_over': '2.17', 'odds_under': '1.65', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:48:53 UTC,2020-09-20 10:30:00 UTC,Parma,Napoli,Serie A 2020/2021,0,2,"0:0, 0:2",Stadio Ennio Tardini,Parma,Italy,"[{'odds_over': '2.25', 'odds_under': '1.60', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:38:49 UTC,2020-09-20 13:00:00 UTC,Genoa,Crotone,Serie A 2020/2021,4,1,"3:1, 1:0",Stadio Luigi Ferraris,Genoa,Italy,"[{'odds_over': '2.85', 'odds_under': '1.39', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:54:04 UTC,2020-09-20 16:00:00 UTC,Sassuolo,Cagliari,Serie A 2020/2021,1,1,"0:0, 1:1",Mapei Stadium – Città del Tricolore,Reggio Emilia,Italy,"[{'odds_over': '2.02', 'odds_under': '1.75', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:15:09 UTC,2020-09-20 18:45:00 UTC,Juventus,Sampdoria,Serie A 2020/2021,3,0,"1:0, 2:0",Allianz Stadium,Turin,Italy,"[{'odds_over': '2.50', 'odds_under': '1.50', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:47:09 UTC,2020-09-21 18:45:00 UTC,AC Milan,Bologna,Serie A 2020/2021,2,0,"1:0, 1:0",Stadio Giuseppe Meazza (San Siro),Milan,Italy,"[{'odds_over': '1.84', 'odds_under': '1.91', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:39:56 UTC,2020-09-26 13:00:00 UTC,Torino,Atalanta,Serie A 2020/2021,2,4,"2:3, 0:1",Stadio Olimpico di Torino,Turin,Italy,"[{'odds_over': '1.81', 'odds_under': '1.95', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:44:34 UTC,2020-09-26 16:00:00 UTC,Cagliari,Lazio,Serie A 2020/2021,0,2,"0:1, 0:1",Unipol Domus,Cagliari,Italy,"[{'odds_over': '2.17', 'odds_under': '1.65', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:06:22 UTC,2020-09-26 16:00:00 UTC,Sampdoria,Benevento,Serie A 2020/2021,2,3,"2:1, 0:2",Stadio Luigi Ferraris,Genoa,Italy,"[{'odds_over': '2.45', 'odds_under': '1.51', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:18:07 UTC,2020-09-26 18:45:00 UTC,Inter,Fiorentina,Serie A 2020/2021,4,3,"1:1, 3:2",Stadio Giuseppe Meazza (San Siro),Milan,Italy,"[{'odds_over': '1.93', 'odds_under': '1.83', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:38:06 UTC,2020-09-27 10:30:00 UTC,Spezia,Sassuolo,Serie A 2020/2021,1,4,"1:1, 0:3",Stadio Dino Manuzzi,Cesena,Italy,"[{'odds_over': '2.25', 'odds_under': '1.59', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:54:03 UTC,2020-09-27 13:00:00 UTC,Verona,Udinese,Serie A 2020/2021,1,0,"0:0, 1:0",Stadio Marc'Antonio Bentegodi,Verona,Italy,"[{'odds_over': '3.40', 'odds_under': '1.29', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:07:33 UTC,2020-09-27 16:00:00 UTC,Napoli,Genoa,Serie A 2020/2021,6,0,"1:0, 5:0",Stadio Diego Armando Maradona,Naples,Italy,"[{'odds_over': '1.75', 'odds_under': '2.02', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:14:46 UTC,2020-09-27 16:00:00 UTC,Crotone,AC Milan,Serie A 2020/2021,0,2,"0:1, 0:1",Stadio Ezio Scida,Crotone,Italy,"[{'odds_over': '2.60', 'odds_under': '1.47', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:46:00 UTC,2020-09-27 18:45:00 UTC,AS Roma,Juventus,Serie A 2020/2021,2,2,"2:1, 0:1",Stadio Olimpico,Rome,Italy,"[{'odds_over': '2.04', 'odds_under': '1.73', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:42:46 UTC,2020-09-28 18:45:00 UTC,Bologna,Parma,Serie A 2020/2021,4,1,"2:0, 2:1",Stadio Renato Dall'Ara,Bologna,Italy,"[{'odds_over': '2.20', 'odds_under': '1.63', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:01:42 UTC,2020-09-30 16:00:00 UTC,Benevento,Inter,Serie A 2020/2021,2,5,"1:4, 1:1",Stadio Ciro Vigorito,Benevento,Italy,"[{'odds_over': '1.68', 'odds_under': '2.12', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:35:51 UTC,2020-09-30 16:00:00 UTC,Udinese,Spezia,Serie A 2020/2021,0,2,"0:1, 0:1",Bluenergy Stadium - Stadio Friuli,Udine,Italy,"[{'odds_over': '2.75', 'odds_under': '1.42', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:28:56 UTC,2020-09-30 18:45:00 UTC,Lazio,Atalanta,Serie A 2020/2021,1,4,"0:3, 1:1",Stadio Olimpico,Rome,Italy,"[{'odds_over': '1.63', 'odds_under': '2.20', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:01:21 UTC,2020-10-02 18:45:00 UTC,Fiorentina,Sampdoria,Serie A 2020/2021,1,2,"0:1, 1:1",Stadio Artemio Franchi,Florence,Italy,"[{'odds_over': '2.00', 'odds_under': '1.76', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:22:08 UTC,2020-10-03 13:00:00 UTC,Sassuolo,Crotone,Serie A 2020/2021,4,1,"1:0, 3:1",Mapei Stadium – Città del Tricolore,Reggio Emilia,Italy,"[{'odds_over': '1.75', 'odds_under': '2.02', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:38:41 UTC,2020-10-03 18:45:00 UTC,Udinese,AS Roma,Serie A 2020/2021,0,1,"0:0, 0:1",Bluenergy Stadium - Stadio Friuli,Udine,Italy,"[{'odds_over': '2.20', 'odds_under': '1.63', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:12:53 UTC,2020-10-04 10:30:00 UTC,Atalanta,Cagliari,Serie A 2020/2021,5,2,"4:1, 1:1",Gewiss Stadium,Bergamo,Italy,"[{'odds_over': '1.45', 'odds_under': '2.65', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:53:19 UTC,2020-10-04 13:00:00 UTC,Benevento,Bologna,Serie A 2020/2021,1,0,"0:0, 1:0",Stadio Ciro Vigorito,Benevento,Italy,"[{'odds_over': '1.89', 'odds_under': '1.86', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:09:40 UTC,2020-10-04 13:00:00 UTC,Lazio,Inter,Serie A 2020/2021,1,1,"0:1, 1:0",Stadio Olimpico,Rome,Italy,"[{'odds_over': '1.76', 'odds_under': '2.00', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:18:02 UTC,2020-10-04 13:00:00 UTC,Parma,Verona,Serie A 2020/2021,1,0,"1:0, 0:0",Stadio Ennio Tardini,Parma,Italy,"[{'odds_over': '2.65', 'odds_under': '1.44', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 10:12:56 UTC,2020-10-04 16:00:00 UTC,AC Milan,Spezia,Serie A 2020/2021,3,0,"0:0, 3:0",Stadio Giuseppe Meazza (San Siro),Milan,Italy,"[{'odds_over': '2.13', 'odds_under': '1.71', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-20 09:39:53 UTC,2020-10-17 13:00:00 UTC,Napoli,Atalanta,Serie A 2020/2021,4,1,"4:0, 0:1",Stadio Diego Armando Maradona,Naples,Italy,"[{'odds_over': '1.84', 'odds_under': '1.96', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
