scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market
2025-08-22 15:03:46 UTC,2019-08-09 19:30:00 UTC,Portimonense,BSAD,Primeira Liga 2019/2020,0,0,"0:0, 0:0",Estádio Municipal de Portimão,Portimão,Portugal,"[{'odds_over': '2.50', 'odds_under': '1.49', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:19:56 UTC,2019-08-10 15:30:00 UTC,Santa Clara,Famalicao,Primeira Liga 2019/2020,0,2,"0:1, 0:1",Estádio de São Miguel,Ponta Delgada,Portugal,"[{'odds_over': '3.15', 'odds_under': '1.33', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:44:36 UTC,2019-08-10 18:00:00 UTC,Gil Vicente,FC Porto,Primeira Liga 2019/2020,2,1,"0:0, 2:1",Estádio Cidade de Barcelos,Barcelos,Portugal,"[{'odds_over': '2.13', 'odds_under': '1.68', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:27:57 UTC,2019-08-10 20:30:00 UTC,Benfica,Pacos Ferreira,Primeira Liga 2019/2020,5,0,"2:0, 3:0",Estádio da Luz,Lisbon,Portugal,"[{'odds_over': '1.83', 'odds_under': '1.93', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:43:06 UTC,2019-08-11 15:00:00 UTC,Boavista,Aves,Primeira Liga 2019/2020,2,1,"1:1, 1:0",Estádio do Bessa Século XXI,Porto,Portugal,"[{'odds_over': '3.75', 'odds_under': '1.25', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:46:47 UTC,2019-08-11 17:30:00 UTC,Maritimo,Sporting CP,Primeira Liga 2019/2020,1,1,"1:1, 0:0",Estádio do Marítimo,Funchal,Portugal,"[{'odds_over': '2.65', 'odds_under': '1.45', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:33:36 UTC,2019-08-11 20:00:00 UTC,Braga,Moreirense,Primeira Liga 2019/2020,3,1,"1:0, 2:1",Estádio Municipal de Braga,Braga,Portugal,"[{'odds_over': '2.50', 'odds_under': '1.49', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:42:00 UTC,2019-08-12 19:15:00 UTC,Vitoria Setubal,Tondela,Primeira Liga 2019/2020,0,0,"0:0, 0:0",Estádio do Bonfim,Setúbal,Portugal,"[{'odds_over': '3.60', 'odds_under': '1.26', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:11:00 UTC,2019-08-16 19:30:00 UTC,Famalicao,Rio Ave,Primeira Liga 2019/2020,1,0,"0:0, 1:0",Estadio Municipal de Famalicao,Vila Nova de Famalicao,Portugal,"[{'odds_over': '2.16', 'odds_under': '1.66', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:50:45 UTC,2019-08-17 15:30:00 UTC,Moreirense,Gil Vicente,Primeira Liga 2019/2020,3,0,"2:0, 1:0",Parque Joaquim de Almeida Freitas,Moreira de Conegos,Portugal,"[{'odds_over': '3.20', 'odds_under': '1.32', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:50:25 UTC,2019-08-17 18:00:00 UTC,BSAD,Benfica,Primeira Liga 2019/2020,0,2,"0:0, 0:2",Estádio Nacional do Jamor,Lisbon - Oeiras,Portugal,"[{'odds_over': '1.72', 'odds_under': '2.06', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:01:35 UTC,2019-08-17 20:30:00 UTC,FC Porto,Vitoria Setubal,Primeira Liga 2019/2020,4,0,"2:0, 2:0",Estádio do Dragão,Porto,Portugal,"[{'odds_over': '1.79', 'odds_under': '1.97', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:17:23 UTC,2019-08-18 15:00:00 UTC,Pacos Ferreira,Santa Clara,Primeira Liga 2019/2020,0,1,"0:1, 0:0",Estádio da Capital do Móvel,Paços de Ferreira,Portugal,"[{'odds_over': '3.10', 'odds_under': '1.34', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:54:46 UTC,2019-08-18 15:00:00 UTC,Aves,Maritimo,Primeira Liga 2019/2020,3,1,"2:1, 1:0",Estádio do CD das Aves,Vila das Aves,Portugal,"[{'odds_over': '3.75', 'odds_under': '1.25', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:20:17 UTC,2019-08-18 17:30:00 UTC,Vitoria Guimaraes,Boavista,Primeira Liga 2019/2020,1,1,"1:0, 0:1",Estádio D. Afonso Henriques,Guimarães,Portugal,"[{'odds_over': '3.10', 'odds_under': '1.34', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:23:33 UTC,2019-08-18 20:00:00 UTC,Sporting CP,Braga,Primeira Liga 2019/2020,2,1,"2:0, 0:1",Estádio José Alvalade,Lisbon,Portugal,"[{'odds_over': '2.20', 'odds_under': '1.61', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-22 15:39:08 UTC,2019-08-19 19:15:00 UTC,Tondela,Portimonense,Primeira Liga 2019/2020,1,2,"0:2, 1:0",Estádio João Cardoso,Tondela,Portugal,"[{'odds_over': '2.90', 'odds_under': '1.38', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
