scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_5_market
2025-08-22 18:53:40 UTC,2020-12-19 15:00:00 UTC,Maritimo,BSAD,Primeira Liga 2020/2021,1,0,"0:0, 1:0",Estádio do Marítimo,Funchal,Portugal,"[{""odds_over"": ""5.4"", ""odds_under"": ""1.13"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""6.0"", ""odds_under"": ""1.14"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""5.3"", ""odds_under"": ""1.14"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 18:53:41 UTC,2021-05-16 19:00:00 UTC,Maritimo,Vitoria Guimaraes,Primeira Liga 2020/2021,0,0,"0:0, 0:0",Estádio do Marítimo,Funchal,Portugal,"[{""odds_over"": ""4.8"", ""odds_under"": ""1.19"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""4.55"", ""odds_under"": ""1.19"", ""bookmaker_name"": ""BETFAN"", ""period"": ""FullTime""}, {""odds_over"": ""4.95"", ""odds_under"": ""1.19"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""4.55"", ""odds_under"": ""1.18"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 18:54:01 UTC,2021-02-28 20:00:00 UTC,Nacional,Braga,Primeira Liga 2020/2021,1,2,"0:2, 1:0",Estádio da Madeira,Funchal,Portugal,"[{""odds_over"": ""2.6"", ""odds_under"": ""1.46"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.84"", ""odds_under"": ""1.45"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.6"", ""odds_under"": ""1.46"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 18:54:02 UTC,2021-02-05 21:00:00 UTC,Boavista,Gil Vicente,Primeira Liga 2020/2021,1,2,"1:1, 0:1",Estádio do Bessa Século XXI,Porto,Portugal,"[{""odds_over"": ""6.0"", ""odds_under"": ""1.11"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""6.6"", ""odds_under"": ""1.12"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""6.3"", ""odds_under"": ""1.1"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 18:54:22 UTC,2020-11-07 20:30:00 UTC,Vitoria Guimaraes,Sporting CP,Primeira Liga 2020/2021,0,4,"0:2, 0:2",Estádio D. Afonso Henriques,Guimarães,Portugal,"[{""odds_over"": ""3.3"", ""odds_under"": ""1.3"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.65"", ""odds_under"": ""1.3"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.3"", ""odds_under"": ""1.31"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 18:54:23 UTC,2021-03-13 18:00:00 UTC,Benfica,Boavista,Primeira Liga 2020/2021,2,0,"1:0, 1:0",Estádio da Luz,Lisbon,Portugal,"[{""odds_over"": ""2.48"", ""odds_under"": ""1.5"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.6"", ""odds_under"": ""1.52"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.5"", ""odds_under"": ""1.5"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 18:54:44 UTC,2020-10-24 19:30:00 UTC,FC Porto,Gil Vicente,Primeira Liga 2020/2021,1,0,"1:0, 0:0",Estádio do Dragão,Porto,Portugal,"[{""odds_over"": ""2.75"", ""odds_under"": ""1.42"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.8"", ""odds_under"": ""1.46"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""2.8"", ""odds_under"": ""1.41"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 18:54:45 UTC,2021-02-19 20:30:00 UTC,Boavista,Moreirense,Primeira Liga 2020/2021,1,0,"0:0, 1:0",Estádio do Bessa Século XXI,Porto,Portugal,"[{""odds_over"": ""4.1"", ""odds_under"": ""1.21"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""4.55"", ""odds_under"": ""1.22"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""4.25"", ""odds_under"": ""1.2"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 18:55:05 UTC,2021-02-08 19:00:00 UTC,Maritimo,Santa Clara,Primeira Liga 2020/2021,1,2,"0:0, 1:2",Estádio do Marítimo,Funchal,Portugal,"[{""odds_over"": ""4.5"", ""odds_under"": ""1.18"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""5.1"", ""odds_under"": ""1.19"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""4.45"", ""odds_under"": ""1.18"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
2025-08-22 18:55:06 UTC,2020-11-07 18:00:00 UTC,Famalicao,Maritimo,Primeira Liga 2020/2021,2,1,"2:1, 0:0",Estadio Municipal de Famalicao,Vila Nova de Famalicao,Portugal,"[{""odds_over"": ""3.3"", ""odds_under"": ""1.3"", ""bookmaker_name"": ""Betclic.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.6"", ""odds_under"": ""1.31"", ""bookmaker_name"": ""eFortuna.pl"", ""period"": ""FullTime""}, {""odds_over"": ""3.3"", ""odds_under"": ""1.31"", ""bookmaker_name"": ""LV BET"", ""period"": ""FullTime""}]"
