scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_5_market,match_url
2025-08-25 14:07:53 UTC,2019-04-28 18:00:00 UTC,Molde,Rosenborg,Eliteserien 2019,3,0,"3:0, 0:0",Aker Stadion,Molde,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/molde-rosenborg-IHxmCwZ0/
2025-08-25 14:07:53 UTC,2019-04-14 16:00:00 UTC,Stabaek,Rosenborg,Eliteserien 2019,3,1,"1:1, 2:0",Nadderud Stadion,Bekkestua,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/stabaek-rosenborg-UT5CMWji/
2025-08-25 14:07:53 UTC,2019-11-02 17:30:00 UTC,Molde,Kristiansund,Eliteserien 2019,2,0,"1:0, 1:0",Aker Stadion,Molde,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/molde-kristiansund-0CnI8Y2k/
2025-08-25 14:07:53 UTC,2019-06-15 16:00:00 UTC,Haugesund,Brann,Eliteserien 2019,1,1,"0:1, 1:0",Haugesund Stadion,Haugesund,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/haugesund-brann-bB60r2Fd/
2025-08-25 14:09:57 UTC,2019-07-13 19:00:00 UTC,Bodo/Glimt,Ranheim,Eliteserien 2019,5,1,"1:0, 4:1",Aspmyra Stadion,Bod,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/bodo-glimt-ranheim-UiSDAuGn/
2025-08-25 14:09:57 UTC,2019-07-01 17:00:00 UTC,Sarpsborg 08,Stromsgodset,Eliteserien 2019,2,2,"0:1, 2:1",Sarpsborg Stadion,Sarpsborg,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/sarpsborg-08-stromsgodset-Gtf6ElHK/
2025-08-25 14:09:56 UTC,2019-05-05 16:00:00 UTC,Odd,Stromsgodset,Eliteserien 2019,2,1,"1:0, 1:1",Skagerak Arena,Skien,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/odds-bk-stromsgodset-KtJsYKeK/
2025-08-25 14:09:57 UTC,2019-06-23 16:00:00 UTC,Tromso,Rosenborg,Eliteserien 2019,1,0,"0:0, 1:0",Romssa Arena,Troms,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/tromso-rosenborg-d68xtUAe/
2025-08-25 14:11:56 UTC,2019-05-05 16:00:00 UTC,Haugesund,Molde,Eliteserien 2019,1,2,"0:1, 1:1",Haugesund Stadion,Haugesund,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/haugesund-molde-GC4DSbJs/
2025-08-25 14:11:56 UTC,2019-11-24 17:00:00 UTC,Valerenga,Molde,Eliteserien 2019,2,4,"1:2, 1:2",Intility Arena,Oslo,Norway,[],https://www.oddsportal.com/football/norway/eliteserien-2019/valerenga-molde-dIf2uXwR/
