scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_5_market
2025-08-21 15:44:09 UTC,2021-07-31 12:30:00 UTC,Rangers,Livingston,Premiership 2021/2022,3,0,"1:0, 2:0",Ibrox Stadium,Glasgow,Scotland,"[{'odds_over': '2.80', 'odds_under': '1.43', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '2.55', 'odds_under': '1.48', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '2.74', 'odds_under': '1.45', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.80', 'odds_under': '1.41', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '2.70', 'odds_under': '1.43', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-21 15:48:53 UTC,2021-07-31 14:00:00 UTC,Dundee FC,St. Mirren,Premiership 2021/2022,2,2,"1:1, 1:1",Dens Park,Dundee,Scotland,"[{'odds_over': '4.10', 'odds_under': '1.23', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '4.00', 'odds_under': '1.22', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '4.30', 'odds_under': '1.21', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '4.10', 'odds_under': '1.21', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '3.75', 'odds_under': '1.25', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-21 15:57:04 UTC,2021-07-31 14:00:00 UTC,Ross County,St Johnstone,Premiership 2021/2022,0,0,"0:0, 0:0",Global Energy Stadium,Dingwall,Scotland,"[{'odds_over': '4.70', 'odds_under': '1.18', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '4.70', 'odds_under': '1.17', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '4.60', 'odds_under': '1.18', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '4.40', 'odds_under': '1.19', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '3.65', 'odds_under': '1.26', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-21 15:25:00 UTC,2021-07-31 19:00:00 UTC,Hearts,Celtic,Premiership 2021/2022,2,1,"1:0, 1:1",Tynecastle Park,Edinburgh,Scotland,"[{'odds_over': '2.90', 'odds_under': '1.40', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '2.76', 'odds_under': '1.41', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.05', 'odds_under': '1.38', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '2.90', 'odds_under': '1.38', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '2.95', 'odds_under': '1.36', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-21 15:54:14 UTC,2021-08-01 14:00:00 UTC,Aberdeen,Dundee Utd,Premiership 2021/2022,2,0,"1:0, 1:0",Pittodrie Stadium,Aberdeen,Scotland,"[{'odds_over': '4.40', 'odds_under': '1.20', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '4.25', 'odds_under': '1.20', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '4.40', 'odds_under': '1.19', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '4.30', 'odds_under': '1.20', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '4.20', 'odds_under': '1.20', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-21 15:45:18 UTC,2021-08-01 15:30:00 UTC,Motherwell,Hibernian,Premiership 2021/2022,2,3,"2:1, 0:2",Fir Park,Motherwell,Scotland,"[{'odds_over': '3.85', 'odds_under': '1.25', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '3.75', 'odds_under': '1.24', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.85', 'odds_under': '1.25', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.85', 'odds_under': '1.24', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}, {'odds_over': '4.00', 'odds_under': '1.22', 'bookmaker_name': 'STS.pl', 'period': 'FullTime'}]"
2025-08-21 15:32:27 UTC,2021-08-07 11:30:00 UTC,Dundee Utd,Rangers,Premiership 2021/2022,1,0,"0:0, 1:0",Tannadice Park,Dundee,Scotland,"[{'odds_over': '3.20', 'odds_under': '1.34', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '3.05', 'odds_under': '1.35', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.05', 'odds_under': '1.38', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.05', 'odds_under': '1.35', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 15:48:49 UTC,2021-08-07 14:00:00 UTC,St. Mirren,Hearts,Premiership 2021/2022,1,2,"0:1, 1:1",The SMISA Stadium,Paisley,Scotland,"[{'odds_over': '3.55', 'odds_under': '1.28', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '3.65', 'odds_under': '1.26', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '4.00', 'odds_under': '1.25', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.60', 'odds_under': '1.26', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 15:33:28 UTC,2021-08-08 14:00:00 UTC,Livingston,Aberdeen,Premiership 2021/2022,1,2,"1:0, 0:2",The Home of the Set Fare Arena,Livingston,Scotland,"[{'odds_over': '5.20', 'odds_under': '1.15', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '5.10', 'odds_under': '1.15', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '5.50', 'odds_under': '1.15', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '5.10', 'odds_under': '1.15', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-21 15:34:12 UTC,2021-08-08 14:00:00 UTC,Hibernian,Ross County,Premiership 2021/2022,3,0,"3:0, 0:0",Easter Road,Edinburgh,Scotland,"[{'odds_over': '3.35', 'odds_under': '1.31', 'bookmaker_name': 'Betclic.pl', 'period': 'FullTime'}, {'odds_over': '3.30', 'odds_under': '1.31', 'bookmaker_name': 'BETFAN', 'period': 'FullTime'}, {'odds_over': '3.50', 'odds_under': '1.30', 'bookmaker_name': 'eFortuna.pl', 'period': 'FullTime'}, {'odds_over': '3.40', 'odds_under': '1.29', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
