scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market
2025-08-17 10:44:13 UTC,2019-08-16 19:00:00 UTC,Ath Bilbao,Barcelona,LaLiga 2019/2020,1,0,"0:0, 1:0",Estadio San Mamés,Bilbao,Spain,"[{'odds_over': '2.45', 'odds_under': '1.55', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 10:23:05 UTC,2019-08-17 15:00:00 UTC,Celta Vigo,Real Madrid,LaLiga 2019/2020,1,3,"0:1, 1:2",Estadio de Balaídos,Vigo,Spain,"[{'odds_over': '1.74', 'odds_under': '2.09', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 11:16:13 UTC,2019-08-17 17:00:00 UTC,Valencia,Real Sociedad,LaLiga 2019/2020,1,1,"0:0, 1:1",Estadio de Mestalla,Valencia,Spain,"[{'odds_over': '2.75', 'odds_under': '1.43', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 10:38:46 UTC,2019-08-17 18:00:00 UTC,Mallorca,Eibar,LaLiga 2019/2020,2,1,"1:0, 1:1",Estadi Mallorca Son Moix,Palma de Mallorca,Spain,"[{'odds_over': '3.20', 'odds_under': '1.35', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 10:27:06 UTC,2019-08-17 19:00:00 UTC,Villarreal,Granada CF,LaLiga 2019/2020,4,4,"1:1, 3:3",Estadio de la Ceramica,Villarreal,Spain,"[{'odds_over': '2.55', 'odds_under': '1.51', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 10:51:27 UTC,2019-08-17 19:00:00 UTC,Leganes,Osasuna,LaLiga 2019/2020,0,1,"0:0, 0:1",Estadio Municipal de Butarque,Leganes,Spain,"[{'odds_over': '4.55', 'odds_under': '1.20', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 11:15:08 UTC,2019-08-18 15:00:00 UTC,Alaves,Levante,LaLiga 2019/2020,1,0,"0:0, 1:0",Estadio Mendizorrotza,Vitoria-Gasteiz,Spain,"[{'odds_over': '3.00', 'odds_under': '1.39', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 10:59:52 UTC,2019-08-18 17:00:00 UTC,Espanyol,Sevilla,LaLiga 2019/2020,0,2,"0:1, 0:1",RCDE Stadium,Cornella de Llobregat,Spain,"[{'odds_over': '2.65', 'odds_under': '1.48', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 11:18:22 UTC,2019-08-18 19:00:00 UTC,Betis,Valladolid,LaLiga 2019/2020,1,2,"0:0, 1:2",Estadio Benito Villamarín,Sevilla,Spain,"[{'odds_over': '2.85', 'odds_under': '1.42', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 10:56:32 UTC,2019-08-18 20:00:00 UTC,Atl. Madrid,Getafe,LaLiga 2019/2020,1,0,"1:0, 0:0",Metropolitano Stadium,Madrid,Spain,"[{'odds_over': '3.75', 'odds_under': '1.27', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 11:11:55 UTC,2019-08-23 18:00:00 UTC,Granada CF,Sevilla,LaLiga 2019/2020,0,1,"0:0, 0:1",Estadio Nuevo Los Cármenes,Granada,Spain,"[{'odds_over': '2.70', 'odds_under': '1.45', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 10:18:43 UTC,2019-08-23 20:00:00 UTC,Levante,Villarreal,LaLiga 2019/2020,2,1,"0:1, 2:0",Estadi Ciutat de València,Valencia,Spain,"[{'odds_over': '1.99', 'odds_under': '1.80', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
2025-08-17 10:35:10 UTC,2019-08-24 15:00:00 UTC,Osasuna,Eibar,LaLiga 2019/2020,0,0,"0:0, 0:0",Estadio El Sadar,Pamplona,Spain,"[{'odds_over': '3.45', 'odds_under': '1.31', 'bookmaker_name': 'LV BET', 'period': 'FullTime'}]"
