scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-31 02:20:48 UTC,2021-12-14 18:00:00 UTC,Halmstad,Helsingborg,Allsvenskan 2021,1,3,"1:1, 0:2",Örjans Vall,Halmstad,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/halmstad-helsingborg-r9i06ONG/
2025-08-31 02:20:48 UTC,2021-12-11 14:00:00 UTC,Helsingborg,Halmstad,Allsvenskan 2021,0,1,"0:1, 0:0",Olympia,Helsingborg,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/helsingborg-halmstad-4Ihd748A/
2025-08-31 02:25:29 UTC,2021-12-04 14:00:00 UTC,Ostersund,Degerfors,Allsvenskan 2021,0,1,"0:0, 0:1",Jamtkraft Arena,Ostersund,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/ostersund-degerfors-pzwgje77/
2025-08-31 02:25:29 UTC,2021-12-04 14:00:00 UTC,Varberg,Mjallby,Allsvenskan 2021,0,3,"0:1, 0:2",Paskbergsvallen,Varberg,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/varberg-mjallby-l8qphHxe/
2025-08-31 02:31:19 UTC,2021-11-22 18:00:00 UTC,Norrkoping,Djurgarden,Allsvenskan 2021,1,1,"1:1, 0:0",Platinumcars Arena,Norrkping,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/norrkoping-djurgarden-rRz3bbrU/
2025-08-31 02:31:19 UTC,2021-11-22 18:00:00 UTC,Orebro,Kalmar,Allsvenskan 2021,1,2,"0:1, 1:1",Behrn Arena,rebro,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/orebro-kalmar-f54LGubb/
2025-08-31 02:33:06 UTC,2021-11-22 18:00:00 UTC,Ostersund,Mjallby,Allsvenskan 2021,0,2,"0:0, 0:2",Jamtkraft Arena,Ostersund,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/ostersund-mjallby-hjNOFaD4/
2025-08-31 02:33:06 UTC,2021-11-21 16:30:00 UTC,Sirius,Goteborg,Allsvenskan 2021,3,3,"2:2, 1:1",Studenternas IP,Uppsala,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/sirius-ifk-goteborg-pzNUgIjo/
2025-08-31 02:36:22 UTC,2021-11-21 14:00:00 UTC,Halmstad,Elfsborg,Allsvenskan 2021,0,1,"0:0, 0:1",Örjans Vall,Halmstad,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/halmstad-elfsborg-02obavTN/
2025-08-31 02:36:23 UTC,2021-11-20 14:00:00 UTC,Malmo FF,Hacken,Allsvenskan 2021,2,2,"1:0, 1:2",Eleda Stadion,Malm,Sweden,https://www.oddsportal.com/football/sweden/allsvenskan-2021/malmo-ff-hacken-YkGCI1To/
