scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market,match_url
2025-08-26 02:38:06 UTC,2022-08-14 13:00:00 UTC,Malmo FF,Sundsvall,Allsvenskan 2022,3,1,"3:0, 0:1",Eleda Stadion,Malm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/malmo-ff-sundsvall-pIH30PSl/
2025-08-26 02:38:05 UTC,2022-10-09 15:30:00 UTC,AIK,Helsingborg,Allsvenskan 2022,2,0,"0:0, 2:0",Strawberry Arena,Solna,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/aik-helsingborg-ML9PkTFM/
2025-08-26 02:38:05 UTC,2022-04-21 17:00:00 UTC,Helsingborg,Elfsborg,Allsvenskan 2022,1,0,"1:0, 0:0",Olympia,Helsingborg,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/helsingborg-elfsborg-xxrDwT87/
2025-08-26 02:38:05 UTC,2022-05-11 17:00:00 UTC,AIK,Malmo FF,Allsvenskan 2022,2,0,"1:0, 1:0",Strawberry Arena,Solna,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/aik-malmo-ff-A3oAfc0b/
2025-08-26 02:39:52 UTC,2022-05-02 17:00:00 UTC,Goteborg,Kalmar,Allsvenskan 2022,1,2,"1:0, 0:2",Gamla Ullevi,Gteborg,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/ifk-goteborg-kalmar-vsIUiJTH/
2025-08-26 02:39:53 UTC,2022-10-10 17:10:00 UTC,Hammarby,Varberg,Allsvenskan 2022,5,1,"3:0, 2:1",3Arena,Stockholm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/hammarby-varberg-pERiqRhj/
2025-08-26 02:39:52 UTC,2022-09-11 15:30:00 UTC,Malmo FF,Norrkoping,Allsvenskan 2022,2,1,"0:1, 2:0",Eleda Stadion,Malm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/malmo-ff-norrkoping-2iR4PW1H/
2025-08-26 02:39:54 UTC,2022-04-03 13:00:00 UTC,Goteborg,Varnamo,Allsvenskan 2022,2,1,"1:0, 1:1",Gamla Ullevi,Gteborg,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/ifk-goteborg-varnamo-h42lWPqp/
2025-08-26 02:42:04 UTC,2022-05-08 15:30:00 UTC,Kalmar,Hammarby,Allsvenskan 2022,2,0,"2:0, 0:0",Guldfågeln Arena,Kalmar,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/kalmar-hammarby-Im5d6IrB/
2025-08-26 02:42:03 UTC,2022-10-23 15:30:00 UTC,Hacken,Malmo FF,Allsvenskan 2022,2,1,"1:0, 1:1",Bravida Arena,Gteborg,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/hacken-malmo-ff-zRvNfFcJ/
2025-08-26 02:42:06 UTC,2022-09-18 15:30:00 UTC,Djurgarden,Goteborg,Allsvenskan 2022,3,0,"2:0, 1:0",3Arena,Stockholm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/djurgarden-ifk-goteborg-6PgRtYWi/
2025-08-26 02:42:07 UTC,2022-05-22 13:00:00 UTC,Hammarby,Norrkoping,Allsvenskan 2022,3,0,"1:0, 2:0",3Arena,Stockholm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/hammarby-norrkoping-WEDIBDKj/
2025-08-26 02:43:42 UTC,2022-10-31 18:00:00 UTC,Elfsborg,Helsingborg,Allsvenskan 2022,3,0,"1:0, 2:0",Borås Arena,Bors,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/elfsborg-helsingborg-YZa2i18O/
2025-08-26 02:43:43 UTC,2022-10-20 17:00:00 UTC,Hammarby,Sirius,Allsvenskan 2022,1,1,"0:0, 1:1",3Arena,Stockholm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/hammarby-sirius-KUlb0JTs/
2025-08-26 02:44:05 UTC,2022-04-10 13:00:00 UTC,Varberg,Kalmar,Allsvenskan 2022,0,3,"0:2, 0:1",Paskbergsvallen,Varberg,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2022/varberg-kalmar-nmwTsNrd/
