scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-26 03:31:34 UTC,2023-07-03 17:00:00 UTC,Mjallby,Kalmar,Allsvenskan 2023,1,1,"1:1, 0:0",Strandvallen,Hllevik,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/mjallby-kalmar-fV7k6MT2/
2025-08-26 03:31:35 UTC,2023-07-08 13:00:00 UTC,AIK,Hacken,Allsvenskan 2023,1,2,"1:0, 0:2",Strawberry Arena,Solna,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/aik-hacken-tnA13KDL/
2025-08-26 03:31:34 UTC,2023-05-25 17:00:00 UTC,Degerfors,Hammarby,Allsvenskan 2023,2,2,"0:1, 2:1",Stora Valla,Degerfors,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/degerfors-hammarby-rH9cNZLi/
2025-08-26 03:32:01 UTC,2023-08-13 13:00:00 UTC,Goteborg,Djurgarden,Allsvenskan 2023,2,1,"0:1, 2:0",Gamla Ullevi,Gteborg,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/ifk-goteborg-djurgarden-Qa1EJiLG/
2025-08-26 03:34:25 UTC,2023-05-04 17:00:00 UTC,Norrkoping,Hammarby,Allsvenskan 2023,2,0,"0:0, 2:0",Platinumcars Arena,Norrkping,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/norrkoping-hammarby-K4sRL7Sd/
2025-08-26 03:34:27 UTC,2023-04-03 17:10:00 UTC,Elfsborg,Hacken,Allsvenskan 2023,0,2,"0:1, 0:1",Borås Arena,Bors,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/elfsborg-hacken-27J1dWsl/
2025-08-26 03:34:24 UTC,2023-06-03 15:30:00 UTC,Norrkoping,Brommapojkarna,Allsvenskan 2023,0,2,"0:0, 0:2",Platinumcars Arena,Norrkping,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/norrkoping-brommapojkarna-KvGvhW8h/
2025-08-26 03:34:25 UTC,2023-07-10 17:00:00 UTC,Norrkoping,Halmstad,Allsvenskan 2023,1,2,"0:0, 1:2",Platinumcars Arena,Norrkping,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/norrkoping-halmstad-YqoxcIjk/
2025-08-26 03:37:15 UTC,2023-08-07 17:00:00 UTC,Malmo FF,Halmstad,Allsvenskan 2023,3,0,"1:0, 2:0",Eleda Stadion,Malm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/malmo-ff-halmstad-IV5ZIKU5/
2025-08-26 03:37:15 UTC,2023-06-11 15:30:00 UTC,Djurgarden,Norrkoping,Allsvenskan 2023,2,2,"1:2, 1:0",3Arena,Stockholm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/djurgarden-norrkoping-8MNdnSxU/
2025-08-26 03:37:29 UTC,2023-11-24 18:00:00 UTC,Utsikten,Brommapojkarna,Allsvenskan 2023,0,7,"0:4, 0:3",Bravida Arena,Gteborg,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/utsikten-brommapojkarna-WdIJdQoJ/
2025-08-26 03:38:18 UTC,2023-04-01 15:30:00 UTC,Djurgarden,Brommapojkarna,Allsvenskan 2023,3,1,"2:0, 1:1",3Arena,Stockholm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/djurgarden-brommapojkarna-YievuVCD/
2025-08-26 03:39:26 UTC,2023-05-09 17:00:00 UTC,Hammarby,Mjallby,Allsvenskan 2023,0,0,"0:0, 0:0",3Arena,Stockholm,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/hammarby-mjallby-QPSLAsKe/
2025-08-26 03:39:26 UTC,2023-08-07 17:00:00 UTC,Varberg,Mjallby,Allsvenskan 2023,0,3,"0:1, 0:2",Paskbergsvallen,Varberg,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/varberg-mjallby-js91Mgyb/
2025-08-26 03:39:27 UTC,2023-07-16 13:00:00 UTC,Elfsborg,Goteborg,Allsvenskan 2023,1,1,"0:1, 1:0",Borås Arena,Bors,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/elfsborg-ifk-goteborg-dOJqGccR/
2025-08-26 03:40:55 UTC,2023-06-10 15:30:00 UTC,Varberg,Halmstad,Allsvenskan 2023,1,2,"0:0, 1:2",Paskbergsvallen,Varberg,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/varberg-halmstad-SQfN2mNA/
2025-08-26 03:42:17 UTC,2023-04-08 13:00:00 UTC,Degerfors,Halmstad,Allsvenskan 2023,3,1,"1:1, 2:0",Stora Valla,Degerfors,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/degerfors-halmstad-UHJtc3Yb/
2025-08-26 03:42:19 UTC,2023-11-12 14:00:00 UTC,Sirius,Norrkoping,Allsvenskan 2023,2,0,"0:0, 2:0",Studenternas IP,Uppsala,Sweden,[],https://www.oddsportal.com/football/sweden/allsvenskan-2023/sirius-norrkoping-tnn5FKzr/
