scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-30 17:13:44 UTC,2021-05-23 18:45:00 UTC,Atalanta,AC Milan,Serie A 2020/2021,0,2,"0:1, 0:1",Gewiss Stadium,Bergamo,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/atalanta-ac-milan-zTgyEAHp/
2025-08-30 17:13:45 UTC,2021-05-23 18:45:00 UTC,Bologna,Juventus,Serie A 2020/2021,1,4,"0:3, 1:1",Stadio Renato Dall'Ara,Bologna,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/bologna-juventus-h8jCJWgN/
2025-08-30 17:15:53 UTC,2021-05-23 18:45:00 UTC,Napoli,Verona,Serie A 2020/2021,1,1,"0:0, 1:1",Stadio Diego Armando Maradona,Naples,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/napoli-verona-OlzWZiv4/
2025-08-30 17:15:53 UTC,2021-05-23 18:45:00 UTC,Sassuolo,Lazio,Serie A 2020/2021,2,0,"1:0, 1:0",Mapei Stadium – Città del Tricolore,Reggio Emilia,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sassuolo-lazio-WbkGIj9T/
2025-08-30 17:18:32 UTC,2021-05-23 13:00:00 UTC,Inter,Udinese,Serie A 2020/2021,5,1,"2:0, 3:1",Stadio Giuseppe Meazza (San Siro),Milan,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/inter-udinese-tQpRzYOc/
2025-08-30 17:18:33 UTC,2021-05-22 18:45:00 UTC,Cagliari,Genoa,Serie A 2020/2021,0,1,"0:1, 0:0",Unipol Domus,Cagliari,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/cagliari-genoa-boi8KCvH/
2025-08-30 17:23:18 UTC,2021-05-16 13:00:00 UTC,Benevento,Crotone,Serie A 2020/2021,1,1,"1:0, 0:1",Stadio Ciro Vigorito,Benevento,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/benevento-crotone-6iSU6gAH/
2025-08-30 17:23:18 UTC,2021-05-16 13:00:00 UTC,Udinese,Sampdoria,Serie A 2020/2021,0,1,"0:0, 0:1",Bluenergy Stadium - Stadio Friuli,Udine,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/udinese-sampdoria-G2emPzQo/
2025-08-30 17:27:41 UTC,2021-05-12 18:45:00 UTC,Atalanta,Benevento,Serie A 2020/2021,2,0,"1:0, 1:0",Gewiss Stadium,Bergamo,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/atalanta-benevento-v35zcItg/
2025-08-30 17:27:41 UTC,2021-05-12 18:45:00 UTC,Bologna,Genoa,Serie A 2020/2021,0,2,"0:1, 0:1",Stadio Renato Dall'Ara,Bologna,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/bologna-genoa-zVbqedB5/
2025-08-30 17:29:47 UTC,2021-05-12 18:45:00 UTC,Inter,AS Roma,Serie A 2020/2021,3,1,"2:1, 1:0",Stadio Giuseppe Meazza (San Siro),Milan,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/inter-as-roma-4Aj0iEAU/
2025-08-30 17:29:47 UTC,2021-05-12 18:45:00 UTC,Lazio,Parma,Serie A 2020/2021,1,0,"0:0, 1:0",Stadio Olimpico,Rome,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/lazio-parma-QJidhfeO/
2025-08-30 17:32:28 UTC,2021-05-12 18:45:00 UTC,Torino,AC Milan,Serie A 2020/2021,0,7,"0:2, 0:5",Stadio Olimpico di Torino,Turin,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/torino-ac-milan-re2igztI/
2025-08-30 17:32:27 UTC,2021-05-12 16:30:00 UTC,Cagliari,Fiorentina,Serie A 2020/2021,0,0,"0:0, 0:0",Unipol Domus,Cagliari,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/cagliari-fiorentina-dv0udxda/
2025-08-30 17:34:06 UTC,2021-05-11 18:45:00 UTC,Napoli,Udinese,Serie A 2020/2021,5,1,"2:1, 3:0",Stadio Diego Armando Maradona,Naples,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/napoli-udinese-Kzt9BHen/
2025-08-30 17:34:07 UTC,2021-05-09 18:45:00 UTC,Juventus,AC Milan,Serie A 2020/2021,0,3,"0:1, 0:2",Allianz Stadium,Turin,Italy,https://www.oddsportal.com/football/italy/serie-a-2020-2021/juventus-ac-milan-Gp2Ch3k7/
