scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-31 01:51:45 UTC,2022-05-29 14:30:00 UTC,Luzern,Schaffhausen,Super League 2021/2022,2,0,"1:0, 1:0",Swissporarena,Luzern,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/luzern-schaffhausen-46x3GvL6/
2025-08-31 01:51:46 UTC,2022-05-26 16:00:00 UTC,Schaffhausen,Luzern,Super League 2021/2022,2,2,"1:1, 1:1",Berformance Arena Schaffhausen,Schaffhausen,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/schaffhausen-luzern-QFwaHK50/
2025-08-31 01:53:31 UTC,2022-05-22 14:30:00 UTC,Basel,Lugano,Super League 2021/2022,2,1,"1:1, 1:0",St. Jakob-Park,Basel,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/basel-lugano-WWlqGhyr/
2025-08-31 01:53:32 UTC,2022-05-22 14:30:00 UTC,Sion,Servette,Super League 2021/2022,3,3,"1:0, 2:3",Stade de Tourbillon,Sion,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/sion-servette-pzgmFCjl/
2025-08-31 01:55:19 UTC,2022-05-22 14:30:00 UTC,St. Gallen,Lausanne,Super League 2021/2022,4,0,"1:0, 3:0",Kybunpark,St. Gallen,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/st-gallen-lausanne-SbrhEW5f/
2025-08-31 01:55:19 UTC,2022-05-22 14:30:00 UTC,Young Boys,Grasshoppers,Super League 2021/2022,3,0,"1:0, 2:0",Stadion Wankdorf,Bern,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/young-boys-grasshoppers-6ksdDjL0/
2025-08-31 02:00:33 UTC,2022-05-11 18:30:00 UTC,Servette,Lugano,Super League 2021/2022,2,2,"0:1, 2:1",Stade de Genève,Geneva,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/servette-lugano-b32D2Z6r/
2025-08-31 02:00:33 UTC,2022-05-11 18:30:00 UTC,Sion,Luzern,Super League 2021/2022,1,3,"0:1, 1:2",Stade de Tourbillon,Sion,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/sion-luzern-Sx7H1gMl/
2025-08-31 02:02:21 UTC,2022-05-10 18:30:00 UTC,Young Boys,St. Gallen,Super League 2021/2022,4,1,"1:0, 3:1",Stadion Wankdorf,Bern,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/young-boys-st-gallen-6T5L0Dye/
2025-08-31 02:02:21 UTC,2022-05-08 14:30:00 UTC,Lausanne,Basel,Super League 2021/2022,0,0,"0:0, 0:0",Stade de la Tuiliere,Lausanne,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/lausanne-basel-rX9VAca2/
2025-08-31 02:06:44 UTC,2022-05-01 12:15:00 UTC,Sion,Young Boys,Super League 2021/2022,1,2,"0:0, 1:2",Stade de Tourbillon,Sion,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/sion-young-boys-Qeuo3otd/
2025-08-31 02:06:44 UTC,2022-04-30 18:30:00 UTC,Servette,St. Gallen,Super League 2021/2022,0,2,"0:0, 0:2",Stade de Genève,Geneva,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/servette-st-gallen-WYus4RQk/
2025-08-31 02:08:49 UTC,2022-04-30 16:00:00 UTC,Lugano,Grasshoppers,Super League 2021/2022,1,1,"0:0, 1:1",Stadio di Cornaredo,Lugano,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/lugano-grasshoppers-ClaA9m3S/
2025-08-31 02:08:49 UTC,2022-04-24 14:30:00 UTC,Basel,Luzern,Super League 2021/2022,3,0,"1:0, 2:0",St. Jakob-Park,Basel,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/basel-luzern-xCK7kSBd/
2025-08-31 02:14:04 UTC,2022-04-16 15:30:00 UTC,Zurich,Young Boys,Super League 2021/2022,2,1,"1:0, 1:1",Letzigrund Stadion,Zrich,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/zurich-young-boys-bLL3j8dj/
2025-08-31 02:14:03 UTC,2022-04-10 14:30:00 UTC,Lugano,Sion,Super League 2021/2022,1,3,"0:2, 1:1",Stadio di Cornaredo,Lugano,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/lugano-sion-Us96EKrt/
2025-08-31 02:18:13 UTC,2022-04-03 14:30:00 UTC,Basel,Young Boys,Super League 2021/2022,2,2,"1:0, 1:2",St. Jakob-Park,Basel,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2021-2022/basel-young-boys-CjAmbaba/
