scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-30 23:07:14 UTC,2021-05-23 16:00:00 UTC,NAC Breda,Nijmegen,Eredivisie 2020/2021,1,2,"0:1, 1:1",Rat Verlegh Stadion,Breda,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/nac-breda-nijmegen-0l2TMCUh/
2025-08-30 23:07:14 UTC,2021-05-23 10:15:00 UTC,Feyenoord,Utrecht,Eredivisie 2020/2021,2,0,"1:0, 1:0",De Kuip,Rotterdam,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/feyenoord-utrecht-bsc291ap/
2025-08-30 23:12:13 UTC,2021-05-16 12:30:00 UTC,Heerenveen,Sparta Rotterdam,Eredivisie 2020/2021,1,2,"0:2, 1:0",Abe Lenstra Stadion,Heerenveen,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/heerenveen-sparta-rotterdam-Krdvlbtf/
2025-08-30 23:12:13 UTC,2021-05-16 12:30:00 UTC,Twente,Den Haag,Eredivisie 2020/2021,3,2,"2:2, 1:0",De Grolsch Veste,Enschede,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/twente-den-haag-OzgepGuJ/
2025-08-30 23:15:28 UTC,2021-05-16 12:30:00 UTC,Vitesse,Ajax,Eredivisie 2020/2021,1,3,"1:2, 0:1",GelreDome,Arnhem,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/vitesse-ajax-thczkvRm/
2025-08-30 23:14:51 UTC,2021-05-16 12:30:00 UTC,Willem II,Sittard,Eredivisie 2020/2021,2,1,"1:0, 1:1",Koning Willem II Stadion,Tilburg,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/willem-ii-sittard-QRi5f03Q/
2025-08-30 23:21:51 UTC,2021-05-13 12:30:00 UTC,Sparta Rotterdam,Utrecht,Eredivisie 2020/2021,0,0,"0:0, 0:0",Sparta Stadion Het Kasteel,Rotterdam,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sparta-rotterdam-utrecht-4dFYtsZQ/
2025-08-30 23:22:05 UTC,2021-05-13 12:30:00 UTC,Waalwijk,Twente,Eredivisie 2020/2021,2,1,"0:0, 2:1",Mandemakers Stadion,Waalwijk,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/waalwijk-twente-8QJgx1sr/
2025-08-30 23:24:29 UTC,2021-05-09 12:30:00 UTC,Feyenoord,Ajax,Eredivisie 2020/2021,0,3,"0:1, 0:2",De Kuip,Rotterdam,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/feyenoord-ajax-GzZwLaC7/
2025-08-30 23:24:29 UTC,2021-05-09 12:30:00 UTC,Zwolle,Den Haag,Eredivisie 2020/2021,0,1,"0:1, 0:0",MAC³PARK Stadion,Zwolle,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/zwolle-den-haag-xpzzMuc1/
2025-08-30 23:26:35 UTC,2021-05-09 10:15:00 UTC,FC Emmen,Groningen,Eredivisie 2020/2021,0,4,"0:1, 0:3",De Oude Meerdijk,Emmen,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/fc-emmen-groningen-WrHQr34E/
2025-08-30 23:26:36 UTC,2021-05-08 19:00:00 UTC,Venlo,Waalwijk,Eredivisie 2020/2021,3,3,"2:2, 1:1",Covebo Stadion - De Koel,Venlo,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/venlo-waalwijk-nesNOsDr/
2025-08-30 23:28:22 UTC,2021-05-08 18:00:00 UTC,AZ Alkmaar,Sittard,Eredivisie 2020/2021,1,0,"1:0, 0:0",AFAS Stadion,Alkmaar,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/az-alkmaar-sittard-Q5GUsNJK/
2025-08-30 23:28:22 UTC,2021-05-08 16:45:00 UTC,Heerenveen,Utrecht,Eredivisie 2020/2021,0,0,"0:0, 0:0",Abe Lenstra Stadion,Heerenveen,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/heerenveen-utrecht-8AVVMLse/
2025-08-30 23:30:27 UTC,2021-05-08 14:30:00 UTC,Twente,Heracles,Eredivisie 2020/2021,1,1,"0:0, 1:1",De Grolsch Veste,Enschede,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/twente-heracles-IuDMqqk8/
2025-08-30 23:36:46 UTC,2021-04-25 12:30:00 UTC,Ajax,AZ Alkmaar,Eredivisie 2020/2021,2,0,"0:0, 2:0",Johan Cruijff Arena,Amsterdam,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/ajax-az-alkmaar-O0tDTWbA/
2025-08-30 23:36:32 UTC,2021-04-25 12:30:00 UTC,Den Haag,Sittard,Eredivisie 2020/2021,0,3,"0:1, 0:2",WerkTalent Stadion,Den Haag,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/den-haag-sittard-2iuHSjEG/
2025-08-30 23:38:19 UTC,2021-04-25 10:15:00 UTC,FC Emmen,Heracles,Eredivisie 2020/2021,3,1,"0:0, 3:1",De Oude Meerdijk,Emmen,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/fc-emmen-heracles-txi8UCq4/
2025-08-30 23:38:23 UTC,2021-04-24 16:45:00 UTC,PSV,Groningen,Eredivisie 2020/2021,1,0,"0:0, 1:0",Philips Stadion,Eindhoven,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/psv-groningen-fLldXEao/
2025-08-30 23:39:36 UTC,2021-04-24 16:45:00 UTC,Sparta Rotterdam,Venlo,Eredivisie 2020/2021,2,0,"1:0, 1:0",Sparta Stadion Het Kasteel,Rotterdam,Netherlands,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sparta-rotterdam-venlo-ERWmT2mU/
