league,season,match_url
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/oostende-genk-xYaork7o/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/leuven-waregem-CWiuU7Do/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/antwerp-royale-union-sg-UkwEX5qt/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/antwerp-royale-union-sg-KSoXIguQ/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/st-truiden-gent-hUe7NNdT/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/rfc-seraing-club-brugge-t28tF5ek/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/leuven-charleroi-6gcHl0eS/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/st-liege-beerschot-va-APt6EJnl/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/cercle-brugge-genk-OQcoEPAe/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/kv-mechelen-beerschot-va-40N3DX2m/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/club-brugge-anderlecht-zoFYFWNh/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/oostende-club-brugge-x4t7l6n8/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/cercle-brugge-eupen-4STvc3aN/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/eupen-beerschot-va-ju0ZJuPQ/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/eupen-kortrijk-8YTK8faS/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/cercle-brugge-leuven-0zJYwqsA/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/anderlecht-charleroi-OK4l1qWD/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/cercle-brugge-antwerp-IX6Co9em/
Belgium Pro League,2021-2022,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2021-2022/genk-oostende-QHQLtoci/
