league,season,match_url
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/hobro-esbjerg-Y9Oheylf/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/aarhus-aalborg-U7SzTZb3/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/midtjylland-odense-dOLcYUzq/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/brondby-fc-copenhagen-tbpV2FR6/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/aarhus-odense-j59iGxQJ/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/sonderjyske-fc-copenhagen-EPX5lmQm/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/midtjylland-sonderjyske-MDqEqvkr/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/silkeborg-fc-copenhagen-Qsbrk0RK/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/esbjerg-aarhus-lGei1uSq/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/esbjerg-midtjylland-lvjVQPjU/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/midtjylland-randers-fc-CYjesQJD/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/odense-silkeborg-zFjrU6rd/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/odense-aarhus-ARaSIkyd/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/fc-copenhagen-lyngby-dbQC7SWP/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/randers-fc-nordsjaelland-lrQIooA6/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/sonderjyske-silkeborg-M7A7z95S/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/silkeborg-sonderjyske-xK8ewBL9/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/silkeborg-sonderjyske-xtQUD3ga/
Denmark Superliga,2019-2020,https://www.oddsportal.com/football/denmark/superliga-2019-2020/brondby-aarhus-CbIsB1wI/
