league,season,match_url
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-united-newcastle-utd-UFnQzVmf/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/chelsea-manchester-city-C6lXN3R2/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/southampton-arsenal-pI7L1DA0/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/wolves-tottenham-MoRBLbrj/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/brighton-bournemouth-M7pSDP22/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/west-ham-burnley-lEMMMZ3N/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/aston-villa-wolves-CUnKMEnQ/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/leicester-bournemouth-8nk5luaA/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/west-ham-tottenham-ULTDmEW6/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/watford-west-ham-8nTZYaaN/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/everton-west-ham-zwulzqug/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/brighton-watford-6V2mx0oK/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-city-liverpool-2FgiFWv0/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/leicester-chelsea-EyvAOtHK/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/newcastle-utd-watford-4ErEnJTM/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/arsenal-bournemouth-ADxk5OuJ/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/everton-watford-CMYZmQhg/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/arsenal-manchester-city-0Glu8uEj/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/arsenal-liverpool-0QuQHpIe/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/southampton-sheffield-utd-2XhOe000/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/chelsea-newcastle-utd-2Pttx5At/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/tottenham-everton-KY8zBx5B/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-city-newcastle-utd-EeU9PyK4/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/sheffield-utd-norwich-OSjXhqSS/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/watford-southampton-OUs0DA9C/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/norwich-wolves-fcYsOi4l/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/bournemouth-tottenham-G02q9GZN/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/watford-norwich-ANNINFlH/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-united-tottenham-rcXF3QM4/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/wolves-chelsea-QkKTtlc1/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/tottenham-manchester-city-tnOlHb9f/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/norwich-tottenham-QuTA51Ar/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/sheffield-utd-west-ham-AT0oa5WB/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/brighton-west-ham-GfuRknOt/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/wolves-bournemouth-6XeUaiuD/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/newcastle-utd-manchester-city-YRDXjmwa/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/burnley-tottenham-ljd8bmbi/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/aston-villa-manchester-city-nVe6899P/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/newcastle-utd-aston-villa-xh4D3Zul/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/wolves-arsenal-YyDvAdKH/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-united-aston-villa-v5ETiTNh/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-city-arsenal-OnDpq8b4/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/leicester-crystal-palace-dWHFF0jt/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/burnley-leicester-zBY7G61n/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/watford-chelsea-8OEouVMk/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/wolves-leicester-2LzuSFNC/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/chelsea-watford-zTBlKtrP/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/arsenal-burnley-0r5HVrwP/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/wolves-liverpool-23D1c4IL/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/liverpool-newcastle-utd-29Av3vE3/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/norwich-manchester-united-hxYuYDFM/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/everton-leicester-lCkmGCPg/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/crystal-palace-manchester-city-dntpyPPn/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/bournemouth-southampton-ns47UN11/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/aston-villa-brighton-Q3kEto2P/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/leicester-burnley-hEZhZ2fa/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/arsenal-wolves-pSIekFpc/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/brighton-manchester-united-GbiuIYfs/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/west-ham-aston-villa-tOiSfKF6/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/chelsea-aston-villa-MmWJ2pxB/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/sheffield-utd-wolves-hnTDOeZA/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/chelsea-bournemouth-tCRRVr6c/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-city-leicester-lb6At0KF/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/crystal-palace-southampton-UDctjMAe/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/liverpool-arsenal-GIeNwOph/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/watford-burnley-ncv9lfH0/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/watford-brighton-CtJstxeF/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/chelsea-west-ham-dSLaBHOD/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/leicester-everton-YiqTgkgt/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/everton-newcastle-utd-YNPl06Y2/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/tottenham-leicester-YwQxp31l/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/tottenham-watford-x2y5W0vI/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/watford-sheffield-utd-jXcOJNfC/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/burnley-liverpool-tzblhNao/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-city-tottenham-6qYwmp8a/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/norwich-burnley-l6l6kPwR/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/arsenal-crystal-palace-djlwEhOj/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/west-ham-southampton-YsELzp6p/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-city-wolves-Mi67N5em/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/crystal-palace-sheffield-utd-KEv6PM1E/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/aston-villa-watford-fXQp1nJd/
England Premier League,2019-2020,https://www.oddsportal.com/football/england/premier-league-2019-2020/southampton-manchester-city-AcdWgvVC/
