league,season,match_url
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/lille-nantes-ttg1bs4p/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/lille-marseille-46dbMfkL/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/angers-rennes-I7auTvJ4/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/marseille-brest-ClBJKSeQ/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/monaco-amiens-sc-jLoosG8c/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/angers-st-etienne-nyNAB90M/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/angers-nimes-6ytJMlRD/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/metz-montpellier-21tNbQH9/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/nantes-reims-I1CYjHIu/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/metz-strasbourg-YaLnoM50/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/reims-dijon-QN3aIHD6/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/bordeaux-montpellier-6yneyH1e/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/lyon-bordeaux-Ae39jm7a/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/strasbourg-brest-2D6NN1RI/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/angers-monaco-WfoVWVpj/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/nimes-metz-rwk2C436/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/rennes-marseille-0C0o6NsQ/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/amiens-sc-montpellier-I9IzlOLs/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/st-etienne-montpellier-hYiyb5lD/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/amiens-sc-reims-WdjwEHvB/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/reims-nantes-zocIazwp/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/amiens-sc-lyon-IemgpX1N/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/strasbourg-metz-CvfjL4Bc/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/strasbourg-nantes-CIUcEBG3/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/metz-nimes-hlGXinu6/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/bordeaux-strasbourg-jqUXXBVq/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/nantes-monaco-lvIgcDt5/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/amiens-sc-toulouse-G4ED8G3O/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/reims-nice-UP92P5ao/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/monaco-marseille-4IEplF2b/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/brest-angers-hQXp1jIJ/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/lyon-monaco-xlrADaJH/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/bordeaux-monaco-lteK1mkl/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/toulouse-monaco-h6iZEcP4/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/nimes-dijon-QiqMGDeo/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/dijon-rennes-d6bSaRJ0/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/marseille-nantes-xlO2lDYD/
France Ligue 1,2019-2020,https://www.oddsportal.com/football/france/ligue-1-2019-2020/brest-nice-OlYGfZxc/
