league,season,match_url
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/spal-genoa-p8CYIQa4/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/udinese-fiorentina-4IfUC7jc/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/bologna-inter-x40piHAf/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/ac-milan-juventus-lWBGsvDo/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/inter-udinese-40FJiKQO/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/ac-milan-sampdoria-IiH3kJit/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/cagliari-parma-fD4aYKHs/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/bologna-genoa-6kT5ufVO/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/napoli-sampdoria-tIb2G33P/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/fiorentina-sassuolo-f9UBDab5/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/bologna-udinese-hQBCfQzT/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/inter-napoli-zLuhL5I4/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/lazio-napoli-t8mcafL4/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/brescia-napoli-OpKeb8y4/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/spal-lazio-jilxA1tg/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/torino-atalanta-0jJj5Mme/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/spal-juventus-xhv1xREp/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/verona-genoa-fcCSqFLH/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/bologna-napoli-GvoIopAl/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/verona-cagliari-AqBXggpI/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/sassuolo-atalanta-xK4TyQmg/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/parma-bologna-f7P3WD4p/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/cagliari-lecce-MDHkfHdi/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/sampdoria-as-roma-Yq7vnVSc/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/torino-genoa-dWVX6ftc/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/atalanta-cagliari-rs1thcel/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/genoa-as-roma-AmNEQWJ3/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/udinese-verona-KhHm4w8P/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/spal-inter-rmUu5YA9/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/inter-ac-milan-trrtob1m/
Italy Serie A,2019-2020,https://www.oddsportal.com/football/italy/serie-a-2019-2020/as-roma-inter-pKxZs29D/
