league,season,match_url
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/bologna-udinese-x0f1BKIP/
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/inter-as-roma-UcZu4xBa/
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/udinese-cagliari-j9kr3y98/
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/genoa-spezia-Sr6YTFyh/
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/napoli-verona-xbkIKdtl/
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/cagliari-venezia-S0TO2fpM/
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/empoli-sassuolo-lh7UUeMo/
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/empoli-inter-8UcFNkwn/
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/empoli-venezia-S0BPaXSl/
Italy Serie A,2021-2022,https://www.oddsportal.com/football/italy/serie-a-2021-2022/lazio-verona-6JIXmKLf/
