league,season,match_url
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/g-a-eagles-feyenoord-zyAcUu4q/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/heerenveen-g-a-eagles-pE5zlhl5/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/ajax-psv-U1krt4jR/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/g-a-eagles-utrecht-vuia6u3t/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/vitesse-psv-IDp7vHet/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/fc-volendam-sparta-rotterdam-vaFyqC5F/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/waalwijk-psv-C8aVU3Oq/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/excelsior-psv-x86s7C6I/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/zwolle-fc-volendam-fNqT58Pd/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/twente-heerenveen-445t6Hj7/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/ajax-nijmegen-fPCNjf4n/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/zwolle-sittard-tpqyurmp/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/heerenveen-heracles-GtOLZnB4/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/heerenveen-ajax-SdXUWaDD/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/nijmegen-sittard-hIP72c25/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/g-a-eagles-sittard-rDgC2rpF/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/feyenoord-zwolle-8l85SJYe/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/sittard-heerenveen-jBjvspyL/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/nijmegen-waalwijk-80b0Hpfp/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/excelsior-g-a-eagles-r7IKaenO/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/utrecht-zwolle-GhIY8Yy6/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/feyenoord-excelsior-SWTIb6zK/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/ajax-g-a-eagles-nJDU9EMa/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/waalwijk-g-a-eagles-08GXqhj9/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/utrecht-g-a-eagles-fqawwDjn/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/heracles-az-alkmaar-8SEQAf7g/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/g-a-eagles-twente-bLVPitlm/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/vitesse-sittard-SAxKkjzh/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/g-a-eagles-az-alkmaar-ADEZ20A8/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/az-alkmaar-heerenveen-hprhK7BH/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/almere-city-nijmegen-vB9gh4Dm/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/g-a-eagles-ajax-0nsII9h3/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/g-a-eagles-psv-YDrX4Sv3/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/sittard-psv-OGIw2KPE/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/fc-volendam-heerenveen-YwSNwjt4/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/psv-sparta-rotterdam-ADh4mLAL/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/fc-volendam-zwolle-Ecc7ZbYI/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/waalwijk-zwolle-IJRmucI1/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/feyenoord-psv-noSLhMYt/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/utrecht-vitesse-WMg0l1eF/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/psv-feyenoord-hfNcjTP9/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/feyenoord-vitesse-O4jyOkCh/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/fc-volendam-utrecht-SxycAWsg/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/az-alkmaar-psv-W8psHdHb/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/excelsior-almere-city-fiHLuLx2/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/zwolle-heerenveen-YZ5NdSVq/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/twente-feyenoord-6VGYWpeN/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/nijmegen-g-a-eagles-6R6nvNJm/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/ajax-fc-volendam-4tNgFLTK/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/vitesse-nijmegen-fqw8NXja/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/feyenoord-twente-MwgnMrae/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/twente-sittard-MVv0PgMn/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/almere-city-psv-tlZndtNr/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/zwolle-almere-city-ji6WlYYb/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/nijmegen-almere-city-ALhmLmdB/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/heracles-psv-QBs4nQfA/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/psv-g-a-eagles-nic4G49j/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/g-a-eagles-heerenveen-zm83ZqGS/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/ajax-excelsior-AZROlAkb/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/az-alkmaar-fc-volendam-pI5jwsZg/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/nijmegen-g-a-eagles-n3wjt3qK/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/az-alkmaar-vitesse-jyG7fZMC/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/sparta-rotterdam-feyenoord-21WSZhAB/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/zwolle-az-alkmaar-ATQ3hbM7/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/feyenoord-waalwijk-dl9vmC3B/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/heracles-nijmegen-21AcKDAO/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/vitesse-fc-volendam-jgc8pJsD/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/utrecht-ajax-WzsdJRQN/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/waalwijk-almere-city-lrAo6WLO/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/g-a-eagles-sparta-rotterdam-UPL9xkRo/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/zwolle-nijmegen-OSGknxIO/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/zwolle-waalwijk-dhLGqqdQ/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/almere-city-waalwijk-lhP58AC5/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/almere-city-feyenoord-nNPBthdo/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/heracles-vitesse-Uw9anuD0/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/sittard-heracles-lAnqwMHd/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/psv-zwolle-WYBTpYz3/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/psv-excelsior-GbeSenoj/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/heerenveen-utrecht-U1VKKVzI/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/psv-waalwijk-W40Uiz27/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/excelsior-heracles-2P8DeI2r/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/nijmegen-vitesse-re4p5y6D/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/utrecht-almere-city-dv2Y7wMf/
Eredivisie,2023-2024,https://www.oddsportal.com/football/netherlands/eredivisie-2023-2024/heerenveen-vitesse-0rXrtw3e/
