league,season,match_url
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hearts-st-johnstone-8GWqO57I/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/st-mirren-rangers-EwTpRYCD/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/rangers-aberdeen-hWYNFp8p/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/aberdeen-st-mirren-zL1t1fNJ/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/ross-county-dundee-utd-SArV72z4/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/st-johnstone-aberdeen-UDoxJm02/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/celtic-motherwell-Kn6Ggcc3/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/kilmarnock-ross-county-UafyKgB8/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/aberdeen-hearts-8U34M1kc/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/kilmarnock-motherwell-KpqR8rLc/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/dundee-utd-rangers-QP8eUenr/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/motherwell-aberdeen-8jguJDQE/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hearts-celtic-MmndKQaT/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/aberdeen-rangers-4KerKd6p/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/dundee-utd-st-mirren-SdahYkVP/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/dundee-utd-ross-county-2VJXymli/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/dundee-utd-aberdeen-YaVaoZ4q/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/motherwell-st-johnstone-x8pALCoK/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/ross-county-celtic-Shg3Aed2/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/dundee-utd-st-mirren-lvCCKuK9/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hearts-hibernian-0zPtSEc7/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/motherwell-st-mirren-U1X1OTJi/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hearts-rangers-63hCeYps/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/aberdeen-hibernian-65gB3grP/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hibernian-kilmarnock-bXof6kaa/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/aberdeen-st-johnstone-6uSOZHOK/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/rangers-dundee-utd-dEKLXFzp/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hibernian-rangers-pxnKT9ws/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/motherwell-ross-county-dUt7ne8Q/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/ross-county-motherwell-6qtsubrA/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/livingston-motherwell-8KAXVdbr/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/celtic-aberdeen-nqLceGXE/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/celtic-livingston-lO5p0ExQ/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/celtic-hibernian-6FM7LL43/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/st-johnstone-kilmarnock-2XSUf1vP/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/ross-county-hibernian-j7MGhWUa/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/motherwell-livingston-UyUO9qNl/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/ross-county-celtic-dhRtGj9s/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/st-johnstone-dundee-utd-0YcmMnVG/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hibernian-st-johnstone-Gd6geAY7/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/kilmarnock-hearts-tQY7qDZe/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/celtic-kilmarnock-KrWSYyvR/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hearts-motherwell-zLqsbX5n/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/dundee-utd-celtic-QisuPohC/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/motherwell-hearts-fau34TTB/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/kilmarnock-ross-county-Gr7TkIkE/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/ross-county-kilmarnock-t4uTRm8g/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/rangers-dundee-utd-l2faBysd/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/st-mirren-aberdeen-lSVkD3Bj/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/aberdeen-dundee-utd-x88OAAkh/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/ross-county-aberdeen-8lACPIrN/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hibernian-aberdeen-l8VovIcG/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/livingston-motherwell-dApYCfH7/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/celtic-ross-county-jBCS9U4b/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/celtic-st-mirren-YeeCQDo7/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hearts-aberdeen-lGw7FyE1/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hearts-hibernian-OdnQEGne/
Premiership,2022-2023,https://www.oddsportal.com/football/scotland/premiership-2022-2023/hibernian-hearts-bHo6MhWD/
