league,season,match_url
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/getafe-leganes-2Ljmp4K7/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/betis-sevilla-I7NlJUGp/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/ath-bilbao-granada-cf-QicgI9ml/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/valencia-villarreal-6PXRW82s/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/espanyol-real-sociedad-StqQF19a/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/valladolid-espanyol-0OMZlNtG/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/celta-vigo-granada-cf-6kNkIZD0/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/leganes-celta-vigo-UROnSpHC/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/leganes-atl-madrid-CfndC7oA/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/betis-real-madrid-6qUagxY1/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/real-madrid-espanyol-Ekc5pSWt/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/valladolid-sevilla-WjuLzI3F/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/osasuna-real-madrid-4hXBsKHh/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/leganes-ath-bilbao-AP0GQINH/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/granada-cf-villarreal-f1EAxmhn/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/betis-real-sociedad-t4uk1BDk/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/celta-vigo-ath-bilbao-2eugzTjq/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/betis-osasuna-6erzldEC/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/real-madrid-getafe-plIF0EtL/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/celta-vigo-sevilla-YFDhxPuD/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/osasuna-getafe-femfc0iQ/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/getafe-real-sociedad-OE5PkcS2/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/villarreal-valencia-Snl8sZZr/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/espanyol-villarreal-OUiqop51/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/ath-bilbao-osasuna-j9ZNvI1B/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/eibar-real-sociedad-nyTWxdWN/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/barcelona-leganes-hYV97ShC/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/betis-ath-bilbao-vwWZUnXg/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/atl-madrid-leganes-0rsKEUsk/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/alaves-getafe-nF392eT5/
Spain La Liga,2019-2020,https://www.oddsportal.com/football/spain/laliga-2019-2020/ath-bilbao-villarreal-ERQwlsdM/
