league,season,match_url
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-zurich-UPHf7Z1p/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-lugano-COPvHMlC/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-basel-OnNe0w83/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-basel-hQuwqKKI/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-servette-x6XRJO4g/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-zurich-jyfo7oLm/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-zurich-h0j233KC/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-st-gallen-QTKBz8o2/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-vaduz-WUJFdwkI/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-zurich-jFpEVL35/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-vaduz-veNNfHJU/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-lausanne-6TqsrvzP/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-zurich-4EW2xUGk/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-young-boys-xlWfWtyD/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-zurich-rVWJjQz7/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-servette-E9Pm9SiR/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-zurich-jVYyo13h/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-luzern-bwF6ETSD/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-lugano-lWkP5MQu/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-st-gallen-WjTnY260/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-lausanne-2F7yaTBT/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-st-gallen-l8XFi6L0/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-basel-fusTrWwM/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-lausanne-Q9hQOAnj/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-sion-OO8Xa9dN/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-sion-WnDog4rQ/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-luzern-Ycf3fmKp/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-basel-GvVbV0jJ/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-lugano-zo9njgpd/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-vaduz-vJ9LzHqd/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-zurich-vHEe11zm/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-luzern-jFIAf8yr/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-basel-AJHvnsln/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-basel-bcshQQRP/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-lugano-WSIzmNYu/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-sion-pxOnF0JO/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-servette-xfZ4Nohr/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-lausanne-dYzOkpjD/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-luzern-8IH2lLe5/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-sion-AHYBhn6f/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-basel-AucgSzvA/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-basel-nmmHgGXp/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-lugano-dzlMPjXq/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-st-gallen-Mg7VwpdP/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-luzern-GdWVIrKa/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-lugano-zN4tVxfi/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-young-boys-I7Da0Lkg/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-lausanne-pv1kbdPT/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-st-gallen-4vKKLpzs/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-servette-t2zzy5Ms/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-servette-2i1YDdx3/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-vaduz-MF0Ae9NR/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-servette-b5F8cyhM/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-sion-COoAW1la/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-servette-GrLAnaQH/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-luzern-zPec4q56/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-sion-hSECde7S/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-zurich-UN6HIN6D/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-young-boys-CAEJpweU/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-lausanne-2wMaacN9/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-luzern-40iUNU1d/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-sion-t0ssjmok/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-young-boys-pGjwDGi9/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-vaduz-SY23a0Md/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-servette-Clg7g7Zj/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-lausanne-I5MWuf89/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-vaduz-Ekc2cVhF/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-lugano-Sh16dk8L/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-zurich-pfgMn2Lg/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-zurich-xhM6muBB/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-luzern-WAiUptj6/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-lugano-2V3Hmr6m/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-servette-h2wvc70b/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-st-gallen-04OJec4O/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-sion-b7AFoJuO/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-st-gallen-GMJm2awi/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-sion-4jlGoYg3/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-luzern-xnylramB/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-vaduz-OOnxiTVr/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-lausanne-KjrBFcf4/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-lausanne-rVIOK4km/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-young-boys-f7sVRw3U/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-luzern-ShNyCU78/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-basel-dYdg5Pk0/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-st-gallen-YVuXsjgS/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-lugano-t0JS0ksH/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-servette-xSxGEH9A/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-lausanne-42dcRfgG/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-lugano-Wjk62NZI/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-lausanne-65VCnEvc/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-sion-rRWjXML6/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-lugano-KWXO6NCP/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-basel-AuJOsGwc/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-basel-EDuklRF1/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-vaduz-fofKeILL/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-st-gallen-KAQhsJ2H/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-st-gallen-OAyHKqx1/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-basel-SMlT4ttn/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-st-gallen-lhRaIaAo/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-lugano-vgl8uoEQ/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-lausanne-8Y5Q30eh/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-servette-A1jYq05C/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-young-boys-O2gcZ34t/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-young-boys-xUDADmrK/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-luzern-8GGb6gHj/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-luzern-2wxYKhWq/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-sion-C4gueoVA/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-vaduz-Kj2G4n0r/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-basel-U5HEgSjl/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-servette-63IEC7cQ/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-st-gallen-8C4t8R5s/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-servette-jX7DJ3i7/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-lausanne-IPh1YNJn/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-lugano-0Uk6PYNS/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-basel-Uad5XsZh/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-servette-6oPrGt4I/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-st-gallen-ED3pUd9c/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-zurich-bLLzI2Z5/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-st-gallen-CUC3au5a/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-servette-AFV6baK5/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-sion-dxgkTGO3/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-zurich-rge1QE8M/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-sion-GIyKDyPG/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-young-boys-O02UExNd/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-lausanne-hdEsfpTJ/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-young-boys-x4nOqCOF/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-zurich-KluWbTVo/
Super League,2020-2021,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-young-boys-AuyOCevN/
